Date,ESRX
2012-06-18,53.790001000000004
2012-06-19,54.009997999999996
2012-06-20,53.740002000000004
2012-06-21,52.400002
2012-06-22,52.959998999999996
2012-06-25,51.895
2012-06-26,52.139998999999996
2012-06-27,53.5
2012-06-28,54.790001000000004
2012-06-29,55.830002
2012-07-02,55.384997999999996
2012-07-03,55.009997999999996
2012-07-05,54.48
2012-07-06,54.060001
2012-07-09,54.360001000000004
2012-07-10,55.34
2012-07-11,56.169998
2012-07-12,55.790001000000004
2012-07-13,57.349998
2012-07-16,57.75
2012-07-17,57.959998999999996
2012-07-18,57.689999
2012-07-19,58.759997999999996
2012-07-20,57.209998999999996
2012-07-23,57.009997999999996
2012-07-24,56.630001
2012-07-25,56.599998
2012-07-26,56.84
2012-07-27,57.950001
2012-07-30,57.849998
2012-07-31,57.939999
2012-08-01,57.099998
2012-08-02,56.169998
2012-08-03,56.720001
2012-08-06,55.98
2012-08-07,56.02
2012-08-08,60.73
2012-08-09,62.509997999999996
2012-08-10,61.919998
2012-08-13,61.66
2012-08-14,60.970001
2012-08-15,60.849998
2012-08-16,60.889998999999996
2012-08-17,60.860001000000004
2012-08-20,60.169998
2012-08-21,61.040001000000004
2012-08-22,60.709998999999996
2012-08-23,61.580002
2012-08-24,61.759997999999996
2012-08-27,61.900002
2012-08-28,61.919998
2012-08-29,61.830002
2012-08-30,61.73
2012-08-31,62.619999
2012-09-04,63.055
2012-09-05,62.849998
2012-09-06,63.75
2012-09-07,63.299999
2012-09-10,61.75
2012-09-11,61.709998999999996
2012-09-12,62.25
2012-09-13,62.93
2012-09-14,62.84
2012-09-17,62.599998
2012-09-18,62.959998999999996
2012-09-19,62.98
2012-09-20,62.400002
2012-09-21,63.360001000000004
2012-09-24,63.029999
2012-09-25,62.860001000000004
2012-09-26,63.25
2012-09-27,64.25
2012-09-28,62.630001
2012-10-01,63.220001
2012-10-02,63.805
2012-10-03,65.279999
2012-10-04,65.449997
2012-10-05,64.959999
2012-10-08,64.139999
2012-10-09,62.59
2012-10-10,62.93
2012-10-11,63.099998
2012-10-12,63.560001
2012-10-15,63.700001
2012-10-16,64.650002
2012-10-17,64.540001
2012-10-18,63.790501
2012-10-19,62.560001
2012-10-22,63.16
2012-10-23,61.959998999999996
2012-10-24,62.220001
2012-10-25,63.23
2012-10-26,62.240002000000004
2012-10-31,61.544998
2012-11-01,62.5
2012-11-02,62.02
2012-11-05,62.880001
2012-11-06,55.150002
2012-11-07,54.950001
2012-11-08,54.809399
2012-11-09,53.349998
2012-11-12,51.919998
2012-11-13,50.98
2012-11-14,50.049999
2012-11-15,50.759997999999996
2012-11-16,52.130001
2012-11-19,52.18
2012-11-20,51.959998999999996
2012-11-21,51.490002000000004
