Date,NXST
2003-11-25,13.35
2003-11-26,13.4
2003-11-28,13.78
2003-12-01,13.7
2003-12-02,13.64
2003-12-03,13.24
2003-12-04,13.1
2003-12-05,13.67
2003-12-08,13.75
2003-12-09,13.03
2003-12-10,12.36
2003-12-11,13.0
2003-12-12,13.25
2003-12-15,13.16
2003-12-16,13.41
2003-12-17,13.36
2003-12-18,13.44
2003-12-19,13.45
2003-12-22,13.45
2003-12-23,13.6
2003-12-24,13.62
2003-12-26,13.65
2003-12-29,13.65
2003-12-30,13.75
2003-12-31,13.71
2004-01-02,13.75
2004-01-05,13.9
2004-01-06,13.75
2004-01-07,14.4
2004-01-08,14.1
2004-01-09,14.1
2004-01-12,13.88
2004-01-13,14.15
2004-01-14,14.43
2004-01-15,14.17
2004-01-16,14.07
2004-01-20,13.99
2004-01-21,14.24
2004-01-22,14.25
2004-01-23,14.15
2004-01-26,13.65
2004-01-27,13.71
2004-01-28,13.5
2004-01-29,13.5
2004-01-30,13.42
2004-02-02,13.38
2004-02-03,13.25
2004-02-04,13.0
2004-02-05,12.73
2004-02-06,12.79
2004-02-09,12.77
2004-02-10,13.21
2004-02-11,13.6
2004-02-12,13.65
2004-02-13,13.5
2004-02-17,13.5
2004-02-18,13.39
2004-02-19,13.4
2004-02-20,13.4
2004-02-23,13.32
2004-02-24,12.83
2004-02-25,13.05
2004-02-26,13.1
2004-02-27,12.86
2004-03-01,13.0
2004-03-02,12.8
2004-03-03,12.98
2004-03-04,12.95
2004-03-05,12.86
2004-03-08,12.99
2004-03-09,12.86
2004-03-10,12.95
2004-03-11,12.75
2004-03-12,12.72
2004-03-15,12.35
2004-03-16,12.43
2004-03-17,12.5
2004-03-18,12.4
2004-03-19,12.45
2004-03-22,12.29
2004-03-23,12.09
2004-03-24,11.71
2004-03-25,10.7
2004-03-26,11.0
2004-03-29,10.89
2004-03-30,11.2
2004-03-31,11.69
2004-04-01,11.78
2004-04-02,11.7
2004-04-05,11.88
2004-04-06,11.98
2004-04-07,12.01
2004-04-08,11.87
2004-04-12,12.11
2004-04-13,12.24
2004-04-14,12.42
2004-04-15,12.27
2004-04-16,12.5
2004-04-19,12.61
2004-04-20,12.36
2004-04-21,12.4
2004-04-22,12.5
2004-04-23,12.25
2004-04-26,12.17
2004-04-27,12.33
2004-04-28,12.0
2004-04-29,12.21
2004-04-30,12.31
2004-05-03,12.12
2004-05-04,11.81
2004-05-05,12.01
2004-05-06,11.93
2004-05-07,11.3
2004-05-10,10.9
2004-05-11,11.0
2004-05-12,11.04
2004-05-13,10.95
2004-05-14,10.51
2004-05-17,10.3
2004-05-18,10.45
2004-05-19,10.32
2004-05-20,10.32
2004-05-21,10.59
