Date,ROSE
2016-03-31,9.95
2016-04-01,9.95
2016-04-04,
2016-04-05,9.95
2016-04-06,9.95
2016-04-07,9.95
2016-04-08,9.95
2016-04-11,9.95
2016-04-12,9.95
2016-04-13,9.95
2016-04-14,9.95
2016-04-15,9.95
2016-04-18,9.95
2016-04-19,9.95
2016-04-20,9.95
2016-04-21,9.95
2016-04-22,9.95
2016-04-25,9.95
2016-04-26,9.95
2016-04-27,9.95
2016-04-28,9.95
2016-04-29,9.93
2016-05-02,9.95
2016-05-03,9.92
2016-05-04,9.92
2016-05-05,9.92
2016-05-06,9.93
2016-05-09,9.95
2016-05-10,9.95
2016-05-11,9.95
2016-05-12,9.95
2016-05-13,9.98
2016-05-16,9.98
2016-05-17,9.9
2016-05-18,9.9
2016-05-19,9.9
2016-05-20,9.9
2016-05-23,9.9
2016-05-24,9.9
2016-05-25,9.9
2016-05-26,9.9
2016-05-27,9.9
2016-05-31,9.9
2016-06-01,9.9
2016-06-02,9.9
2016-06-03,9.9
2016-06-06,9.9
2016-06-07,9.9
2016-06-08,9.9
2016-06-09,9.9
2016-06-10,9.9
2016-06-13,9.9
2016-06-14,9.9
2016-06-15,9.9
2016-06-16,9.9
2016-06-17,9.9
2016-06-20,9.9
2016-06-21,9.9
2016-06-22,9.94
2016-06-23,9.94
2016-06-24,9.94
2016-06-27,9.94
2016-06-28,9.98
2016-06-29,10.05
2016-06-30,10.0
2016-07-01,10.0
2016-07-05,10.0
2016-07-06,10.0
2016-07-07,10.0
2016-07-08,10.0
2016-07-11,10.0
2016-07-12,10.0
2016-07-13,10.05
2016-07-14,10.05
2016-07-15,9.964
2016-07-18,9.96
2016-07-19,9.957
2016-07-20,9.957
2016-07-21,9.91
2016-07-22,9.91
2016-07-25,9.91
2016-07-26,9.91
2016-07-27,9.91
2016-07-28,9.91
2016-07-29,10.1
2016-08-01,10.1
2016-08-02,10.1
2016-08-03,10.1
2016-08-04,10.1
2016-08-05,10.1
2016-08-08,10.1
