Date,SRG
2015-07-06,37.099998
2015-07-07,37.73
2015-07-08,37.200001
2015-07-09,37.32
2015-07-10,37.5
2015-07-13,37.439999
2015-07-14,37.43
2015-07-15,37.700001
2015-07-16,37.959998999999996
2015-07-17,39.5
2015-07-20,40.099998
2015-07-21,40.380001
2015-07-22,39.900002
2015-07-23,39.650002
2015-07-24,39.400002
2015-07-27,38.75
2015-07-28,38.549999
2015-07-29,38.380001
2015-07-30,38.82
2015-07-31,38.560001
2015-08-03,37.220001
2015-08-04,36.970001
2015-08-05,37.049999
2015-08-06,37.099998
2015-08-07,37.619999
2015-08-10,38.939999
2015-08-11,39.599998
2015-08-12,39.41
2015-08-13,39.990002000000004
2015-08-14,40.75
2015-08-17,42.59
2015-08-18,43.0
2015-08-19,44.0
2015-08-20,42.779999
2015-08-21,41.880001
2015-08-24,39.869999
2015-08-25,39.860001000000004
2015-08-26,39.709998999999996
2015-08-27,39.639998999999996
2015-08-28,39.549999
2015-08-31,39.689999
2015-09-01,39.200001
2015-09-02,39.23
2015-09-03,39.549999
2015-09-04,39.900002
2015-09-08,41.380001
2015-09-09,41.509997999999996
2015-09-10,42.57
2015-09-11,42.07
2015-09-14,41.549999
2015-09-15,41.490002000000004
2015-09-16,41.439999
2015-09-17,41.509997999999996
2015-09-18,41.279999
2015-09-21,42.189999
2015-09-22,41.099998
2015-09-23,40.82
2015-09-24,40.099998
2015-09-25,40.830002
2015-09-28,38.52
2015-09-29,38.07
2015-09-30,37.25
2015-10-01,38.549999
2015-10-02,38.619999
2015-10-05,38.529999
2015-10-06,38.360001000000004
2015-10-07,38.700001
2015-10-08,39.220001
2015-10-09,39.150002
2015-10-12,39.720001
2015-10-13,38.959998999999996
2015-10-14,38.639998999999996
2015-10-15,39.75
2015-10-16,39.43
2015-10-19,39.139998999999996
2015-10-20,39.75
2015-10-21,40.0
2015-10-22,40.25
2015-10-23,40.16
2015-10-26,40.75
2015-10-27,40.959998999999996
2015-10-28,41.450001
2015-10-29,41.900002
2015-10-30,42.130001
