Date,CWEN
2015-05-15,24.5
2015-05-18,23.75
2015-05-19,23.57
2015-05-20,23.5
2015-05-21,23.530001000000002
2015-05-22,23.559998999999998
2015-05-26,24.9
2015-05-27,26.01
2015-05-28,26.73
2015-05-29,27.07
2015-06-01,27.110001
2015-06-02,27.07
2015-06-03,27.01
2015-06-04,26.24
2015-06-05,26.59
2015-06-08,26.6
2015-06-09,26.24
2015-06-10,26.219998999999998
2015-06-11,26.01
2015-06-12,25.459999
2015-06-15,24.940001000000002
2015-06-16,24.870001000000002
2015-06-17,24.77
2015-06-18,24.42
2015-06-19,24.469998999999998
2015-06-22,24.58
2015-06-23,22.639999
2015-06-24,23.540001
2015-06-25,23.5
2015-06-26,22.98
2015-06-29,22.190001000000002
2015-06-30,21.889999
2015-07-01,21.57
2015-07-02,21.879998999999998
2015-07-06,22.1
2015-07-07,22.360001
2015-07-08,22.120001000000002
2015-07-09,21.780001000000002
2015-07-10,22.16
2015-07-13,22.26
2015-07-14,22.1
2015-07-15,21.309998999999998
2015-07-16,21.35
2015-07-17,20.35
2015-07-20,19.360001
2015-07-21,19.35
2015-07-22,19.459999
2015-07-23,19.469998999999998
2015-07-24,18.98
2015-07-27,19.709999
2015-07-28,19.35
2015-07-29,19.07
2015-07-30,19.059998999999998
2015-07-31,19.290001
2015-08-03,18.83
2015-08-04,16.0
2015-08-05,17.0
2015-08-06,15.65
2015-08-07,15.94
2015-08-10,16.07
2015-08-11,15.85
2015-08-12,16.33
2015-08-13,16.610001
2015-08-14,16.889999
2015-08-17,17.290001
2015-08-18,17.02
2015-08-19,17.309998999999998
2015-08-20,17.200001
2015-08-21,16.57
2015-08-24,16.209999
2015-08-25,16.030001000000002
2015-08-26,15.92
2015-08-27,16.41
2015-08-28,16.290001
2015-08-31,16.059998999999998
2015-09-01,15.58
2015-09-02,15.75
2015-09-03,16.040001
2015-09-04,15.56
2015-09-08,15.66
2015-09-09,15.26
2015-09-10,14.92
2015-09-11,14.58
2015-09-14,14.36
2015-09-15,14.84
2015-09-16,15.35
2015-09-17,15.43
2015-09-18,15.63
2015-09-21,15.17
2015-09-22,14.52
2015-09-23,14.0
2015-09-24,13.53
2015-09-25,12.8
2015-09-28,12.04
2015-09-29,11.44
2015-09-30,11.61
2015-10-01,11.56
2015-10-02,12.93
2015-10-05,14.4
2015-10-06,14.37
2015-10-07,14.71
2015-10-08,14.92
2015-10-09,14.94
2015-10-12,14.04
2015-10-13,14.05
2015-10-14,14.35
2015-10-15,15.05
2015-10-16,14.54
2015-10-19,14.6
2015-10-20,14.71
2015-10-21,14.21
2015-10-22,14.53
2015-10-23,14.02
2015-10-26,13.52
2015-10-27,13.06
2015-10-28,13.57
2015-10-29,14.17
2015-10-30,14.44
2015-11-02,14.98
2015-11-03,15.06
2015-11-04,15.99
2015-11-05,15.97
2015-11-06,16.459999
2015-11-09,16.59
2015-11-10,16.559998999999998
2015-11-11,15.85
2015-11-12,14.85
2015-11-13,14.68
2015-11-16,15.46
2015-11-17,14.75
2015-11-18,14.96
2015-11-19,14.81
2015-11-20,14.32
2015-11-23,14.5
2015-11-24,15.29
2015-11-25,14.85
2015-11-27,13.86
2015-11-30,14.14
2015-12-01,14.03
2015-12-02,13.09
2015-12-03,13.08
2015-12-04,12.55
2015-12-07,11.95
2015-12-08,12.3
2015-12-09,13.15
2015-12-10,13.0
2015-12-11,12.29
2015-12-14,11.73
2015-12-15,12.43
2015-12-16,13.95
2015-12-17,14.58
2015-12-18,14.77
2015-12-21,14.37
2015-12-22,14.85
2015-12-23,15.17
2015-12-24,15.1
2015-12-28,14.98
2015-12-29,14.74
2015-12-30,14.52
2015-12-31,14.76
2016-01-04,14.82
2016-01-05,14.5
2016-01-06,13.95
2016-01-07,13.21
2016-01-08,13.19
2016-01-11,13.5
2016-01-12,13.01
2016-01-13,12.49
2016-01-14,13.26
2016-01-15,12.64
2016-01-19,12.13
2016-01-20,11.97
2016-01-21,12.37
2016-01-22,12.85
2016-01-25,12.17
2016-01-26,12.6
2016-01-27,13.0
2016-01-28,13.26
2016-01-29,13.24
2016-02-01,13.04
2016-02-02,13.31
2016-02-03,13.17
2016-02-04,12.93
2016-02-05,12.35
2016-02-08,12.1
2016-02-09,12.09
2016-02-10,11.67
2016-02-11,10.89
2016-02-12,11.11
2016-02-16,11.61
2016-02-17,12.73
2016-02-18,12.7
2016-02-19,12.69
2016-02-22,12.7
2016-02-23,12.04
2016-02-24,12.52
2016-02-25,12.86
2016-02-26,12.44
2016-02-29,13.07
2016-03-01,13.76
2016-03-02,13.72
2016-03-03,13.72
2016-03-04,13.5
2016-03-07,13.8
2016-03-08,13.63
2016-03-09,13.89
2016-03-10,14.31
2016-03-11,14.77
2016-03-14,14.45
2016-03-15,14.05
2016-03-16,14.06
2016-03-17,14.06
2016-03-18,14.04
2016-03-21,14.15
2016-03-22,14.07
2016-03-23,13.38
2016-03-24,13.69
2016-03-28,13.73
2016-03-29,14.36
2016-03-30,14.17
2016-03-31,14.24
2016-04-01,14.43
2016-04-04,14.13
2016-04-05,14.04
2016-04-06,14.07
2016-04-07,14.09
2016-04-08,14.31
2016-04-11,14.4
2016-04-12,14.5
2016-04-13,14.65
2016-04-14,14.77
2016-04-15,14.88
2016-04-18,14.87
2016-04-19,15.2
2016-04-20,14.71
2016-04-21,14.75
2016-04-22,15.19
2016-04-25,15.66
2016-04-26,16.09
2016-04-27,16.280001000000002
2016-04-28,16.209999
2016-04-29,16.18
2016-05-02,16.360001
2016-05-03,15.85
2016-05-04,16.02
2016-05-05,15.52
2016-05-06,15.94
2016-05-09,15.19
2016-05-10,15.24
2016-05-11,15.1
2016-05-12,14.62
2016-05-13,14.81
2016-05-16,15.23
2016-05-17,15.28
2016-05-18,14.96
2016-05-19,14.9
2016-05-20,15.16
2016-05-23,15.43
2016-05-24,15.74
2016-05-25,15.54
2016-05-26,15.66
2016-05-27,15.37
2016-05-31,15.46
2016-06-01,15.53
2016-06-02,15.51
2016-06-03,15.7
