Date,CVI
2007-10-23,20.25
2007-10-24,20.879998999999998
2007-10-25,22.200001
2007-10-26,23.73
2007-10-29,23.4
2007-10-30,22.75
2007-10-31,22.799999
2007-11-01,22.1
2007-11-02,22.450001
2007-11-05,22.0
2007-11-06,22.74
2007-11-07,22.4
2007-11-08,22.040001
2007-11-09,22.370001000000002
2007-11-12,21.969998999999998
2007-11-13,21.879998999999998
2007-11-14,21.959999
2007-11-15,21.48
2007-11-16,21.68
2007-11-19,21.91
2007-11-20,21.76
2007-11-21,21.65
2007-11-23,21.85
2007-11-26,21.66
2007-11-27,21.5
2007-11-28,21.51
2007-11-29,21.620001000000002
2007-11-30,22.02
2007-12-03,22.0
2007-12-04,21.940001000000002
2007-12-05,21.75
2007-12-06,21.549999
2007-12-07,21.450001
2007-12-10,21.35
2007-12-11,21.27
2007-12-12,22.43
2007-12-13,22.08
2007-12-14,23.200001
2007-12-17,23.74
2007-12-18,23.540001
2007-12-19,24.34
2007-12-20,24.5
2007-12-21,24.73
2007-12-24,25.700001
2007-12-26,25.33
2007-12-27,24.959999
2007-12-28,25.059998999999998
2007-12-31,24.940001000000002
2008-01-02,25.0
2008-01-03,23.91
2008-01-04,24.309998999999998
2008-01-07,24.4
2008-01-08,25.190001000000002
2008-01-09,24.93
2008-01-10,25.129998999999998
2008-01-11,24.91
2008-01-14,26.0
2008-01-15,25.450001
2008-01-16,25.51
2008-01-17,24.780001000000002
2008-01-18,25.35
2008-01-22,24.82
2008-01-23,24.799999
2008-01-24,25.139999
2008-01-25,25.27
2008-01-28,25.940001000000002
2008-01-29,26.83
2008-01-30,26.17
2008-01-31,26.51
2008-02-01,26.68
2008-02-04,26.26
2008-02-05,24.98
2008-02-06,24.59
2008-02-07,24.959999
2008-02-08,26.02
2008-02-11,26.23
2008-02-12,26.610001
2008-02-13,27.18
2008-02-14,27.01
2008-02-15,26.83
2008-02-19,27.190001000000002
2008-02-20,27.0
2008-02-21,26.459999
2008-02-22,26.76
2008-02-25,27.74
2008-02-26,29.32
2008-02-27,29.549999
2008-02-28,29.32
2008-02-29,28.1
2008-03-03,27.41
2008-03-04,27.09
2008-03-05,26.99
2008-03-06,25.889999
2008-03-07,25.08
2008-03-10,24.58
2008-03-11,26.190001000000002
2008-03-12,24.59
2008-03-13,23.950001
2008-03-14,21.959999
2008-03-17,22.41
2008-03-18,24.18
2008-03-19,24.07
2008-03-20,24.639999
2008-03-24,25.530001000000002
2008-03-25,25.059998999999998
2008-03-26,24.450001
2008-03-27,23.16
2008-03-28,22.870001000000002
2008-03-31,23.030001000000002
2008-04-01,24.190001000000002
2008-04-02,24.799999
2008-04-03,24.610001
2008-04-04,24.24
2008-04-07,23.950001
2008-04-08,23.940001000000002
2008-04-09,23.4
2008-04-10,23.889999
2008-04-11,23.120001000000002
2008-04-14,23.809998999999998
2008-04-15,22.84
2008-04-16,23.450001
2008-04-17,23.469998999999998
2008-04-18,23.68
2008-04-21,24.07
2008-04-22,23.940001000000002
2008-04-23,23.5
2008-04-24,23.299999
2008-04-25,23.09
2008-04-28,23.0
2008-04-29,22.450001
2008-04-30,21.530001000000002
2008-05-01,21.58
2008-05-02,21.4
2008-05-05,21.540001
2008-05-06,20.799999
2008-05-07,20.450001
2008-05-08,19.98
2008-05-09,19.92
2008-05-12,21.129998999999998
2008-05-13,21.43
2008-05-14,22.299999
2008-05-15,22.75
2008-05-16,24.23
2008-05-19,23.84
2008-05-20,24.190001000000002
2008-05-21,24.4
2008-05-22,24.809998999999998
2008-05-23,25.01
2008-05-27,25.629998999999998
2008-05-28,25.639999
2008-05-29,26.02
2008-05-30,26.68
2008-06-02,28.24
2008-06-03,27.6
2008-06-04,26.27
2008-06-05,26.040001
2008-06-06,25.0
2008-06-09,25.290001
2008-06-10,24.959999
2008-06-11,24.74
2008-06-12,25.32
2008-06-13,25.540001
2008-06-16,24.92
2008-06-17,25.43
2008-06-18,24.98
2008-06-19,24.75
2008-06-20,22.549999
2008-06-23,21.200001
2008-06-24,20.690001000000002
2008-06-25,19.950001
2008-06-26,18.59
2008-06-27,19.4
2008-06-30,19.25
2008-07-01,19.09
2008-07-02,18.32
2008-07-03,17.940001000000002
2008-07-07,17.9
2008-07-08,17.879998999999998
2008-07-09,16.58
2008-07-10,16.25
2008-07-11,16.34
2008-07-14,16.27
2008-07-15,16.040001
2008-07-16,16.1
2008-07-17,15.82
2008-07-18,15.67
2008-07-21,16.49
2008-07-22,16.110001
2008-07-23,14.83
2008-07-24,14.28
2008-07-25,14.86
2008-07-28,13.99
2008-07-29,13.85
2008-07-30,15.69
2008-07-31,15.85
2008-08-01,16.08
2008-08-04,15.4
2008-08-05,15.57
2008-08-06,16.18
2008-08-07,15.19
2008-08-08,15.89
2008-08-11,15.82
2008-08-12,15.7
2008-08-13,16.33
2008-08-14,14.31
2008-08-15,13.42
2008-08-18,12.1
2008-08-19,11.7
2008-08-20,12.05
2008-08-21,11.53
2008-08-22,11.74
2008-08-25,12.25
2008-08-26,13.03
2008-08-27,13.32
2008-08-28,13.85
2008-08-29,13.94
2008-09-02,12.83
2008-09-03,13.83
2008-09-04,13.65
2008-09-05,13.84
2008-09-08,14.07
2008-09-09,10.78
2008-09-10,10.68
2008-09-11,11.65
2008-09-12,12.91
2008-09-15,10.52
2008-09-16,11.2
2008-09-17,11.07
2008-09-18,12.05
2008-09-19,12.99
2008-09-22,11.77
2008-09-23,11.21
2008-09-24,11.01
