Date,CXW
1997-07-15,96.25
1997-07-16,96.666664
1997-07-17,100.416664
1997-07-18,101.25
1997-07-21,100.833336
1997-07-22,103.125
1997-07-23,103.333336
1997-07-24,103.125
1997-07-25,103.125
1997-07-28,101.458336
1997-07-29,98.958336
1997-07-30,100.208336
1997-07-31,103.333336
1997-08-01,105.0
1997-08-04,104.166664
1997-08-05,104.166664
1997-08-06,104.583336
1997-08-07,103.75
1997-08-08,102.708336
1997-08-11,100.833336
1997-08-12,100.833336
1997-08-13,101.875
1997-08-14,102.083336
1997-08-15,102.291664
1997-08-18,102.083336
1997-08-19,102.708336
1997-08-20,103.541664
1997-08-21,104.791664
1997-08-22,105.41666399999998
1997-08-25,106.25
1997-08-26,107.5
1997-08-27,105.83333600000002
1997-08-28,106.45833600000002
1997-08-29,110.41666399999998
1997-09-02,115.20833600000002
1997-09-03,114.58333600000002
1997-09-04,117.91666399999998
1997-09-05,118.33333600000002
1997-09-08,115.625
1997-09-09,117.08333600000002
1997-09-10,115.625
1997-09-11,116.04166399999998
1997-09-12,116.875
1997-09-15,116.25
1997-09-16,115.0
1997-09-17,113.33333600000002
1997-09-18,112.5
1997-09-19,111.66666399999998
1997-09-22,114.16666399999998
1997-09-23,113.54166399999998
1997-09-24,114.58333600000002
1997-09-25,115.41666399999998
1997-09-26,115.625
1997-09-29,121.04166399999998
1997-09-30,125.83333600000002
1997-10-01,121.66666399999998
1997-10-02,121.04166399999998
1997-10-03,121.66666399999998
1997-10-06,122.08333600000002
1997-10-07,124.375
1997-10-08,123.33333600000002
1997-10-09,122.08333600000002
1997-10-10,121.04166399999998
1997-10-13,117.91666399999998
1997-10-14,117.08333600000002
1997-10-15,116.45833600000002
1997-10-16,120.41666399999998
1997-10-17,120.0
1997-10-20,119.79166399999998
1997-10-21,118.33333600000002
1997-10-22,117.08333600000002
1997-10-23,110.0
1997-10-24,113.33333600000002
1997-10-27,112.5
1997-10-28,113.33333600000002
1997-10-29,112.5
1997-10-30,111.66666399999998
1997-10-31,115.0
1997-11-03,115.41666399999998
1997-11-04,115.41666399999998
1997-11-05,116.45833600000002
1997-11-06,117.08333600000002
1997-11-07,115.625
1997-11-10,117.29166399999998
1997-11-11,116.66666399999998
1997-11-12,115.20833600000002
1997-11-13,114.58333600000002
1997-11-14,115.41666399999998
1997-11-17,119.79166399999998
1997-11-18,119.375
1997-11-19,119.79166399999998
1997-11-20,117.91666399999998
1997-11-21,117.70833600000002
1997-11-24,117.91666399999998
1997-11-25,117.91666399999998
1997-11-26,117.5
1997-11-28,118.75
1997-12-01,125.0
1997-12-02,126.04166399999998
1997-12-03,131.25
1997-12-04,131.25
1997-12-05,131.666672
1997-12-08,131.666672
1997-12-09,130.625
1997-12-10,130.416672
1997-12-11,130.416672
1997-12-12,131.25
1997-12-15,134.166672
1997-12-16,135.208328
1997-12-17,135.833328
1997-12-18,136.666672
1997-12-19,135.0
1997-12-22,134.166672
1997-12-23,133.541672
1997-12-24,133.333328
1997-12-26,133.75
1997-12-29,137.916672
1997-12-30,142.916672
1997-12-31,148.75
1998-01-02,144.166672
1998-01-05,137.5
1998-01-06,137.5
1998-01-07,137.083328
1998-01-08,137.916672
1998-01-09,137.916672
1998-01-12,138.333328
1998-01-13,139.375
1998-01-14,139.375
1998-01-15,139.375
1998-01-16,139.166672
1998-01-20,138.541672
1998-01-21,136.875
1998-01-22,133.333328
1998-01-23,131.875
1998-01-26,130.416672
1998-01-27,130.0
1998-01-28,131.25
1998-01-29,133.541672
1998-01-30,133.333328
1998-02-02,130.416672
1998-02-03,133.75
1998-02-04,133.958328
1998-02-05,134.166672
1998-02-06,135.0
1998-02-09,137.291672
1998-02-10,140.625
1998-02-11,143.333328
1998-02-12,147.916672
1998-02-13,147.291672
1998-02-17,146.458328
1998-02-18,147.5
1998-02-19,145.0
1998-02-20,146.666672
1998-02-23,147.083328
1998-02-24,146.25
1998-02-25,146.458328
1998-02-26,145.833328
1998-02-27,146.666672
1998-03-02,144.583328
1998-03-03,143.541672
1998-03-04,143.125
1998-03-05,142.916672
1998-03-06,143.125
1998-03-09,142.916672
1998-03-10,142.5
1998-03-11,143.333328
1998-03-12,141.875
1998-03-13,139.166672
1998-03-16,135.625
1998-03-17,135.625
1998-03-18,134.583328
1998-03-19,135.0
1998-03-20,138.75
1998-03-23,138.958328
1998-03-24,135.833328
1998-03-25,138.333328
1998-03-26,139.375
1998-03-27,137.916672
1998-03-30,137.916672
1998-03-31,138.125
1998-04-01,136.041672
1998-04-02,137.083328
1998-04-03,137.291672
1998-04-06,137.916672
1998-04-07,135.208328
1998-04-08,137.291672
1998-04-09,135.416672
1998-04-13,136.458328
