Date,FLS
1980-03-17,1.530864
1980-03-18,1.530864
1980-03-19,1.530864
1980-03-20,1.506173
1980-03-21,1.432099
1980-03-24,1.432099
1980-03-25,1.432099
1980-03-26,1.432099
1980-03-27,1.358025
1980-03-28,1.432099
1980-03-31,1.45679
1980-04-01,1.432099
1980-04-02,1.432099
1980-04-03,1.432099
1980-04-07,1.407407
1980-04-08,1.506173
1980-04-09,1.481481
1980-04-10,1.45679
1980-04-11,1.45679
1980-04-14,1.432099
1980-04-15,1.382716
1980-04-16,1.407407
1980-04-17,1.382716
1980-04-18,1.382716
1980-04-21,1.382716
1980-04-22,1.407407
1980-04-23,1.432099
1980-04-24,1.481481
1980-04-25,1.481481
1980-04-28,1.481481
1980-04-29,1.45679
1980-04-30,1.481481
1980-05-01,1.481481
1980-05-02,1.481481
1980-05-05,1.506173
1980-05-06,1.530864
1980-05-07,1.530864
1980-05-08,1.530864
1980-05-09,1.506173
1980-05-12,1.506173
1980-05-13,1.506173
1980-05-14,1.506173
1980-05-15,1.506173
1980-05-16,1.506173
1980-05-19,1.506173
1980-05-20,1.506173
1980-05-21,1.530864
1980-05-22,1.580247
1980-05-23,1.580247
1980-05-27,1.604938
1980-05-28,1.580247
1980-05-29,1.555556
1980-05-30,1.555556
1980-06-02,1.580247
1980-06-03,1.580247
1980-06-04,1.580247
1980-06-05,1.580247
1980-06-06,1.555556
1980-06-09,1.555556
1980-06-10,1.555556
1980-06-11,1.555556
1980-06-12,1.580247
1980-06-13,1.604938
1980-06-16,1.604938
1980-06-17,1.580247
1980-06-18,1.580247
1980-06-19,1.580247
1980-06-20,1.555556
1980-06-23,1.555556
1980-06-24,1.555556
1980-06-25,1.580247
1980-06-26,1.555556
1980-06-27,1.555556
1980-06-30,1.530864
1980-07-01,1.530864
1980-07-02,1.555556
1980-07-03,1.62963
1980-07-07,1.679012
1980-07-08,1.703704
1980-07-09,1.679012
1980-07-10,1.7530860000000001
1980-07-11,1.7777779999999999
1980-07-14,1.82716
1980-07-15,1.82716
1980-07-16,1.851852
1980-07-17,1.851852
1980-07-18,1.9259259999999998
1980-07-21,1.9259259999999998
1980-07-22,1.82716
1980-07-23,1.8024689999999999
1980-07-24,1.876543
1980-07-25,1.851852
1980-07-28,1.876543
1980-07-29,1.9012349999999998
1980-07-30,1.975309
1980-07-31,1.9506169999999998
1980-08-01,2.0
1980-08-04,2.0
1980-08-05,2.024691
1980-08-06,2.148148
1980-08-07,2.271605
1980-08-08,2.271605
1980-08-11,2.197531
1980-08-12,2.246914
1980-08-13,2.222222
1980-08-14,2.222222
1980-08-15,2.197531
1980-08-18,2.098765
1980-08-19,2.098765
1980-08-20,2.222222
1980-08-21,2.246914
1980-08-22,2.296296
1980-08-25,2.271605
1980-08-26,2.3209880000000003
1980-08-27,2.345679
1980-08-28,2.419753
1980-08-29,2.469136
1980-09-02,2.493827
1980-09-03,2.469136
1980-09-04,2.345679
1980-09-05,2.37037
1980-09-08,2.3209880000000003
1980-09-09,2.3209880000000003
1980-09-10,2.345679
1980-09-11,2.37037
1980-09-12,2.345679
1980-09-15,2.345679
1980-09-16,2.419753
1980-09-17,2.419753
1980-09-18,2.419753
1980-09-19,2.419753
1980-09-22,2.419753
1980-09-23,2.345679
1980-09-24,2.271605
1980-09-25,2.246914
1980-09-26,2.222222
1980-09-29,2.197531
1980-09-30,2.246914
1980-10-01,2.246914
1980-10-02,2.246914
1980-10-03,2.271605
1980-10-06,2.395062
1980-10-07,2.592592
1980-10-08,2.666667
1980-10-09,2.592592
1980-10-10,2.592592
1980-10-13,2.592592
1980-10-14,2.617284
1980-10-15,2.691358
1980-10-16,2.641975
1980-10-17,2.641975
1980-10-20,2.641975
1980-10-21,2.617284
1980-10-22,2.617284
1980-10-23,2.691358
1980-10-24,2.691358
1980-10-27,2.7160490000000004
1980-10-28,2.666667
1980-10-29,2.641975
1980-10-30,2.617284
1980-10-31,2.493827
1980-11-03,2.592592
1980-11-05,2.7160490000000004
1980-11-06,2.641975
1980-11-07,2.641975
1980-11-10,2.641975
1980-11-11,2.617284
1980-11-12,2.617284
1980-11-13,2.641975
1980-11-14,2.641975
1980-11-17,2.617284
1980-11-18,2.617284
1980-11-19,2.617284
1980-11-20,2.617284
1980-11-21,2.5432099999999997
1980-11-24,2.493827
1980-11-25,2.518518
1980-11-26,2.518518
1980-11-28,2.617284
1980-12-01,2.641975
1980-12-02,2.617284
1980-12-03,2.641975
1980-12-04,2.666667
1980-12-05,2.592592
1980-12-08,2.493827
1980-12-09,2.395062
1980-12-10,2.222222
1980-12-11,2.098765
1980-12-12,2.123457
1980-12-15,2.148148
1980-12-16,2.271605
1980-12-17,2.296296
1980-12-18,2.37037
1980-12-19,2.395062
1980-12-22,2.395062
1980-12-23,2.395062
1980-12-24,2.395062
1980-12-26,2.419753
1980-12-29,2.419753
