Date,GNRT
2015-06-25,13.1
2015-06-26,13.51
2015-06-29,13.55
2015-06-30,13.63
2015-07-01,13.73
2015-07-02,13.75
2015-07-06,13.77
2015-07-07,13.72
2015-07-08,13.7
2015-07-09,13.68
2015-07-10,13.62
2015-07-13,13.7
2015-07-14,13.71
2015-07-15,13.94
2015-07-16,14.07
2015-07-17,14.21
2015-07-20,14.3
2015-07-21,14.37
2015-07-22,14.34
2015-07-23,14.07
2015-07-24,14.04
2015-07-27,14.01
2015-07-28,13.97
2015-07-29,14.0
2015-07-30,13.74
2015-07-31,13.72
2015-08-03,13.93
2015-08-04,13.55
2015-08-05,13.77
2015-08-06,13.87
2015-08-07,13.81
2015-08-10,13.85
2015-08-11,13.59
2015-08-12,13.02
2015-08-13,12.89
2015-08-14,13.03
2015-08-17,13.09
2015-08-18,12.88
2015-08-19,12.9
2015-08-20,12.86
2015-08-21,12.97
2015-08-24,12.24
2015-08-25,11.98
2015-08-26,11.79
2015-08-27,12.24
2015-08-28,13.02
2015-08-31,13.0
2015-09-01,12.82
2015-09-02,12.76
2015-09-03,12.95
2015-09-04,12.94
2015-09-08,12.45
2015-09-09,12.47
2015-09-10,12.77
2015-09-11,12.05
2015-09-14,11.99
2015-09-15,11.94
2015-09-16,12.28
2015-09-17,12.81
2015-09-18,12.07
2015-09-21,12.5
2015-09-22,12.23
2015-09-23,12.0
2015-09-24,11.95
2015-09-25,11.7
2015-09-28,10.95
2015-09-29,10.97
2015-09-30,10.95
2015-10-01,11.32
2015-10-02,11.67
2015-10-05,11.79
2015-10-06,11.96
2015-10-07,11.99
2015-10-08,11.75
2015-10-09,12.03
2015-10-12,12.18
2015-10-13,11.58
2015-10-14,11.67
2015-10-15,12.08
2015-10-16,12.04
2015-10-19,11.84
2015-10-20,11.77
2015-10-21,11.49
2015-10-22,11.6
2015-10-23,11.51
2015-10-26,11.28
2015-10-27,10.93
2015-10-28,10.71
2015-10-29,10.39
2015-10-30,10.4
2015-11-02,11.02
2015-11-03,11.02
2015-11-04,10.44
2015-11-05,10.1
2015-11-06,10.12
2015-11-09,9.97
2015-11-10,9.5
2015-11-11,9.16
2015-11-12,9.11
2015-11-13,9.71
2015-11-16,9.97
2015-11-17,9.66
2015-11-18,9.67
2015-11-19,9.54
2015-11-20,9.56
2015-11-23,9.57
2015-11-24,9.66
2015-11-25,9.7
2015-11-27,9.5
2015-11-30,9.69
2015-12-01,9.7
2015-12-02,9.49
2015-12-03,9.39
2015-12-04,9.41
2015-12-07,9.39
2015-12-08,9.33
2015-12-09,9.44
2015-12-10,9.4
2015-12-11,9.28
2015-12-14,9.09
2015-12-15,9.21
2015-12-16,9.61
2015-12-17,9.61
2015-12-18,9.64
2015-12-21,9.38
2015-12-22,8.7
2015-12-23,9.48
2015-12-24,9.68
2015-12-28,9.68
2015-12-29,9.57
2015-12-30,9.46
2015-12-31,9.45
2016-01-04,9.08
2016-01-05,8.67
2016-01-06,8.5
2016-01-07,8.26
2016-01-08,7.99
2016-01-11,7.62
2016-01-12,6.83
2016-01-13,6.25
2016-01-14,6.2
2016-01-15,6.35
2016-01-19,6.32
2016-01-20,6.42
2016-01-21,6.48
2016-01-22,6.79
2016-01-25,6.53
2016-01-26,6.54
2016-01-27,6.47
2016-01-28,6.69
2016-01-29,6.73
2016-02-01,6.79
2016-02-02,6.39
2016-02-03,6.36
2016-02-04,6.35
2016-02-05,6.21
2016-02-08,5.89
2016-02-09,5.36
2016-02-10,5.12
2016-02-11,5.04
2016-02-12,5.34
2016-02-16,5.7
2016-02-17,5.85
2016-02-18,5.87
2016-02-19,6.03
2016-02-22,6.23
2016-02-23,6.0
2016-02-24,5.83
2016-02-25,5.86
2016-02-26,5.82
2016-02-29,6.21
2016-03-01,6.36
2016-03-02,6.17
2016-03-03,6.37
2016-03-04,6.41
2016-03-07,6.56
2016-03-08,5.78
2016-03-09,5.76
2016-03-10,5.56
2016-03-11,6.25
2016-03-14,6.5
2016-03-15,6.28
2016-03-16,6.19
2016-03-17,6.72
2016-03-18,6.63
2016-03-21,6.62
2016-03-22,6.59
2016-03-23,6.47
2016-03-24,6.65
2016-03-28,6.55
2016-03-29,6.59
2016-03-30,6.65
2016-03-31,7.06
2016-04-01,6.89
2016-04-04,6.55
2016-04-05,6.35
2016-04-06,6.49
2016-04-07,6.54
2016-04-08,6.85
2016-04-11,6.84
2016-04-12,7.03
2016-04-13,7.31
2016-04-14,7.54
2016-04-15,7.49
2016-04-18,7.48
2016-04-19,7.79
2016-04-20,7.91
2016-04-21,7.87
2016-04-22,8.13
2016-04-25,8.02
2016-04-26,8.01
2016-04-27,7.99
2016-04-28,7.7
2016-04-29,7.23
2016-05-02,7.41
2016-05-03,7.13
2016-05-04,7.08
2016-05-05,7.09
2016-05-06,7.29
2016-05-09,7.02
2016-05-10,7.28
2016-05-11,7.32
2016-05-12,7.65
2016-05-13,7.59
2016-05-16,7.69
2016-05-17,7.58
2016-05-18,7.56
2016-05-19,7.1
2016-05-20,7.02
2016-05-23,6.82
2016-05-24,6.83
2016-05-25,6.91
2016-05-26,6.81
2016-05-27,6.87
2016-05-31,7.23
2016-06-01,6.76
2016-06-02,6.99
2016-06-03,7.33
2016-06-06,7.48
2016-06-07,7.41
2016-06-08,7.73
2016-06-09,7.62
2016-06-10,7.05
2016-06-13,7.05
2016-06-14,6.67
2016-06-15,6.34
2016-06-16,6.24
2016-06-17,6.45
2016-06-20,6.7
2016-06-21,6.54
2016-06-22,6.64
2016-06-23,6.89
2016-06-24,6.36
2016-06-27,5.84
2016-06-28,6.01
2016-06-29,6.26
2016-06-30,6.4
2016-07-01,6.3
2016-07-05,5.27
2016-07-06,5.49
2016-07-07,5.25
2016-07-08,5.4
