Date,ONE
2018-03-28,10.8
2018-03-29,10.75
2018-04-02,10.76
2018-04-03,10.91
2018-04-04,10.35
2018-04-05,10.3
2018-04-06,10.66
2018-04-09,10.92
2018-04-10,10.93
2018-04-11,10.92
2018-04-12,10.83
2018-04-13,10.75
2018-04-16,10.79
2018-04-17,10.71
2018-04-18,10.7
2018-04-19,10.75
2018-04-20,10.73
2018-04-23,10.7
2018-04-24,10.64
2018-04-25,10.62
2018-04-26,10.64
2018-04-27,11.01
2018-04-30,9.81
2018-05-01,10.91
2018-05-02,10.95
2018-05-03,10.8
2018-05-04,10.82
2018-05-07,10.95
2018-05-08,10.92
2018-05-09,10.95
2018-05-10,10.85
2018-05-11,10.63
2018-05-14,10.39
2018-05-15,10.54
2018-05-16,10.71
2018-05-17,10.48
2018-05-18,10.75
2018-05-21,11.05
2018-05-22,12.05
2018-05-23,13.47
2018-05-24,13.47
2018-05-25,13.38
2018-05-29,13.66
2018-05-30,15.22
2018-05-31,14.81
2018-06-01,15.78
2018-06-04,15.07
2018-06-05,14.09
2018-06-06,14.19
2018-06-07,13.77
2018-06-08,14.28
2018-06-11,13.94
2018-06-12,14.39
2018-06-13,14.15
2018-06-14,13.72
2018-06-15,13.53
2018-06-18,13.03
2018-06-19,12.55
2018-06-20,12.86
2018-06-21,12.6
2018-06-22,12.32
2018-06-25,11.69
2018-06-26,11.59
2018-06-27,10.98
2018-06-28,11.15
2018-06-29,11.1
2018-07-02,12.18
2018-07-03,12.05
2018-07-05,11.96
2018-07-06,11.83
2018-07-09,11.87
2018-07-10,11.55
2018-07-11,11.43
2018-07-12,11.97
2018-07-13,11.84
2018-07-16,11.73
2018-07-17,11.5
2018-07-18,11.47
2018-07-19,11.24
2018-07-20,11.24
2018-07-23,11.29
2018-07-24,11.1
2018-07-25,10.9
2018-07-26,10.59
2018-07-27,10.7
2018-07-30,10.09
2018-07-31,9.9
2018-08-01,10.12
2018-08-02,10.42
2018-08-03,10.34
2018-08-06,10.59
2018-08-07,10.56
2018-08-08,10.72
2018-08-09,10.62
2018-08-10,10.37
2018-08-13,10.54
2018-08-14,9.75
2018-08-15,9.08
2018-08-16,8.95
2018-08-17,8.96
2018-08-20,9.52
2018-08-21,8.9
2018-08-22,8.86
2018-08-23,8.93
2018-08-24,8.75
2018-08-27,8.99
2018-08-28,8.34
2018-08-29,8.48
2018-08-30,8.26
2018-08-31,8.32
2018-09-04,8.16
2018-09-05,8.08
2018-09-06,8.0
2018-09-07,8.08
2018-09-10,7.92
2018-09-11,7.91
2018-09-12,8.45
2018-09-13,9.49
2018-09-14,8.71
2018-09-17,8.65
2018-09-18,8.58
2018-09-19,8.57
2018-09-20,9.01
2018-09-21,8.97
2018-09-24,8.96
2018-09-25,8.9
2018-09-26,8.94
2018-09-27,8.91
2018-09-28,8.92
2018-10-01,8.8
2018-10-02,8.88
2018-10-03,8.48
2018-10-04,8.49
2018-10-05,8.58
2018-10-08,9.78
2018-10-09,8.7
2018-10-10,8.46
2018-10-11,8.31
2018-10-12,8.48
2018-10-15,8.62
2018-10-16,8.86
2018-10-17,8.95
2018-10-18,8.13
2018-10-19,7.8
2018-10-22,7.94
2018-10-23,7.84
2018-10-24,7.62
2018-10-25,7.98
2018-10-26,8.2
2018-10-29,7.94
2018-10-30,7.8
2018-10-31,8.15
2018-11-01,8.06
2018-11-02,8.18
2018-11-05,8.17
2018-11-06,8.0
2018-11-07,8.41
2018-11-08,8.2
2018-11-09,7.87
2018-11-12,8.0
2018-11-13,8.04
2018-11-14,7.79
2018-11-15,7.74
2018-11-16,7.65
2018-11-19,7.59
2018-11-20,7.44
2018-11-21,7.42
2018-11-23,7.49
2018-11-26,7.4
2018-11-27,7.15
2018-11-28,7.09
2018-11-29,7.26
2018-11-30,7.24
2018-12-03,7.75
2018-12-04,7.81
2018-12-06,7.52
2018-12-07,7.0
2018-12-10,7.11
2018-12-11,6.99
2018-12-12,7.35
2018-12-13,7.46
2018-12-14,7.37
2018-12-17,7.47
2018-12-18,7.24
2018-12-19,7.4
2018-12-20,7.44
2018-12-21,7.27
2018-12-24,7.03
2018-12-26,7.5
2018-12-27,7.62
2018-12-28,7.71
2018-12-31,7.8
2019-01-02,8.17
2019-01-03,8.33
2019-01-04,7.97
2019-01-07,8.65
2019-01-08,8.35
2019-01-09,8.54
2019-01-10,8.09
2019-01-11,8.21
2019-01-14,8.31
2019-01-15,8.6
2019-01-16,8.92
2019-01-17,8.59
2019-01-18,8.85
2019-01-22,9.03
2019-01-23,9.12
2019-01-24,8.75
2019-01-25,9.05
2019-01-28,9.0
2019-01-29,8.82
2019-01-30,8.49
2019-01-31,8.33
2019-02-01,7.73
2019-02-04,7.74
2019-02-05,7.91
2019-02-06,7.68
2019-02-07,7.85
2019-02-08,7.94
2019-02-11,8.06
2019-02-12,8.09
2019-02-13,8.38
2019-02-14,8.26
2019-02-15,8.51
2019-02-19,8.28
2019-02-20,8.29
2019-02-21,8.53
2019-02-22,8.6
2019-02-25,8.63
2019-02-26,8.71
2019-02-27,8.97
2019-02-28,8.96
2019-03-01,9.01
2019-03-04,8.98
2019-03-05,8.99
2019-03-06,8.92
2019-03-07,8.82
2019-03-08,8.81
2019-03-11,8.97
2019-03-12,8.65
2019-03-13,8.72
2019-03-14,8.42
2019-03-15,8.75
2019-03-18,8.76
2019-03-19,8.74
2019-03-20,8.53
2019-03-21,8.31
2019-03-22,7.86
2019-03-25,7.75
2019-03-26,7.8
2019-03-27,7.89
2019-03-28,7.84
2019-03-29,7.89
2019-04-01,8.1
2019-04-02,8.2
2019-04-03,8.23
2019-04-04,8.23
2019-04-05,8.34
2019-04-08,8.3
2019-04-09,8.25
2019-04-10,8.5
2019-04-11,8.33
2019-04-12,8.36
2019-04-15,8.12
2019-04-16,7.99
2019-04-17,8.34
2019-04-18,8.37
2019-04-22,8.29
2019-04-23,8.38
2019-04-24,8.5
2019-04-25,8.28
2019-04-26,8.56
2019-04-29,8.75
2019-04-30,8.65
2019-05-01,8.63
2019-05-02,8.78
