Date,ENS
2004-08-02,12.5
2004-08-03,12.5
2004-08-04,12.53
2004-08-05,12.12
2004-08-06,12.1
2004-08-09,11.98
2004-08-10,11.85
2004-08-11,11.99
2004-08-12,12.0
2004-08-13,12.0
2004-08-16,12.0
2004-08-17,12.0
2004-08-18,11.94
2004-08-19,12.0
2004-08-20,12.65
2004-08-23,12.42
2004-08-24,12.52
2004-08-25,12.5
2004-08-26,12.55
2004-08-27,12.53
2004-08-30,12.59
2004-08-31,12.7
2004-09-01,12.84
2004-09-02,12.93
2004-09-03,13.2
2004-09-07,13.11
2004-09-08,13.2
2004-09-09,13.28
2004-09-10,13.4
2004-09-13,13.5
2004-09-14,14.1
2004-09-15,13.98
2004-09-16,13.84
2004-09-17,13.95
2004-09-20,14.03
2004-09-21,13.72
2004-09-22,13.6
2004-09-23,13.35
2004-09-24,12.94
2004-09-27,13.1
2004-09-28,12.82
2004-09-29,12.82
2004-09-30,12.85
2004-10-01,13.3
2004-10-04,13.27
2004-10-05,13.03
2004-10-06,13.48
2004-10-07,13.24
2004-10-08,13.05
2004-10-11,13.08
2004-10-12,13.1
2004-10-13,12.95
2004-10-14,12.8
2004-10-15,12.87
2004-10-18,12.89
2004-10-19,12.8
2004-10-20,13.24
2004-10-21,13.21
2004-10-22,13.05
2004-10-25,13.0
2004-10-26,13.0
2004-10-27,12.87
2004-10-28,12.93
2004-10-29,13.2
2004-11-01,13.02
2004-11-02,13.06
2004-11-03,13.54
2004-11-04,13.48
2004-11-05,13.53
2004-11-08,13.8
2004-11-09,13.84
2004-11-10,14.1
2004-11-11,14.55
2004-11-12,14.38
2004-11-15,14.34
2004-11-16,13.95
2004-11-17,14.0
2004-11-18,13.81
2004-11-19,13.63
2004-11-22,13.44
2004-11-23,14.15
2004-11-24,14.12
2004-11-26,14.13
2004-11-29,13.93
2004-11-30,13.75
2004-12-01,13.75
2004-12-02,13.75
2004-12-03,13.8
2004-12-06,13.77
2004-12-07,13.85
2004-12-08,14.08
2004-12-09,14.47
2004-12-10,14.36
2004-12-13,14.25
2004-12-14,14.2
2004-12-15,14.46
2004-12-16,14.23
2004-12-17,14.37
2004-12-20,14.55
2004-12-21,14.9
2004-12-22,15.53
2004-12-23,15.05
2004-12-27,14.88
2004-12-28,15.35
2004-12-29,15.4
2004-12-30,15.34
2004-12-31,15.25
2005-01-03,15.32
2005-01-04,15.07
2005-01-05,14.27
2005-01-06,14.1
2005-01-07,13.76
2005-01-10,14.09
2005-01-11,14.05
2005-01-12,13.94
2005-01-13,14.01
2005-01-14,14.2
2005-01-18,14.37
2005-01-19,14.1
2005-01-20,13.6
2005-01-21,13.97
2005-01-24,14.09
2005-01-25,14.23
2005-01-26,14.22
2005-01-27,14.53
2005-01-28,14.55
2005-01-31,15.15
2005-02-01,14.99
2005-02-02,14.99
2005-02-03,14.95
2005-02-04,14.94
2005-02-07,15.11
2005-02-08,14.99
2005-02-09,14.69
2005-02-10,14.7
2005-02-11,14.85
2005-02-14,14.95
2005-02-15,14.91
2005-02-16,14.5
2005-02-17,13.69
2005-02-18,13.72
2005-02-22,13.59
2005-02-23,13.75
