Date,OMF
2013-10-16,19.26
2013-10-17,20.0
2013-10-18,20.200001
2013-10-21,19.9
2013-10-22,19.9
2013-10-23,19.92
2013-10-24,19.77
2013-10-25,19.530001000000002
2013-10-28,19.610001
2013-10-29,19.85
2013-10-30,20.27
2013-10-31,20.33
2013-11-01,21.6
2013-11-04,21.629998999999998
2013-11-05,21.51
2013-11-06,21.48
2013-11-07,21.32
2013-11-08,21.360001
2013-11-11,21.389999
2013-11-12,20.33
2013-11-13,20.0
2013-11-14,19.85
2013-11-15,20.059998999999998
2013-11-18,19.49
2013-11-19,19.459999
2013-11-20,19.66
2013-11-21,20.1
2013-11-22,20.18
2013-11-25,20.48
2013-11-26,20.07
2013-11-27,20.889999
2013-11-29,21.08
2013-12-02,21.35
2013-12-03,21.200001
2013-12-04,21.6
2013-12-05,21.83
2013-12-06,21.77
2013-12-09,21.18
2013-12-10,21.799999
2013-12-11,21.41
2013-12-12,21.790001
2013-12-13,22.5
2013-12-16,22.950001
2013-12-17,23.09
2013-12-18,23.610001
2013-12-19,23.459999
2013-12-20,23.58
2013-12-23,24.5
2013-12-24,24.5
2013-12-26,24.6
2013-12-27,25.040001
2013-12-30,25.09
2013-12-31,25.280001000000002
2014-01-02,25.73
2014-01-03,25.15
2014-01-06,25.450001
2014-01-07,27.120001000000002
2014-01-08,27.17
2014-01-09,26.299999
2014-01-10,26.360001
2014-01-13,25.209999
2014-01-14,25.450001
2014-01-15,26.190001000000002
2014-01-16,26.049999
2014-01-17,25.709999
2014-01-21,25.309998999999998
2014-01-22,25.719998999999998
2014-01-23,25.799999
2014-01-24,24.93
2014-01-27,24.870001000000002
2014-01-28,24.639999
2014-01-29,23.43
2014-01-30,23.9
2014-01-31,23.959999
2014-02-03,23.82
2014-02-04,23.83
2014-02-05,23.82
2014-02-06,23.879998999999998
2014-02-07,24.200001
2014-02-10,24.530001000000002
2014-02-11,25.49
2014-02-12,25.889999
2014-02-13,25.6
2014-02-14,25.290001
2014-02-18,25.49
2014-02-19,25.5
2014-02-20,24.57
2014-02-21,26.139999
2014-02-24,28.360001
2014-02-25,28.559998999999998
2014-02-26,27.49
2014-02-27,27.16
2014-02-28,28.17
2014-03-03,28.09
2014-03-04,28.440001000000002
2014-03-05,27.690001000000002
2014-03-06,27.82
2014-03-07,27.959999
2014-03-10,27.860001
2014-03-11,27.290001
2014-03-12,26.15
2014-03-13,25.860001
2014-03-14,24.48
2014-03-17,25.1
2014-03-18,25.84
2014-03-19,25.6
2014-03-20,26.1
2014-03-21,26.1
2014-03-24,25.969998999999998
2014-03-25,25.74
2014-03-26,24.49
2014-03-27,24.6
2014-03-28,25.16
2014-03-31,25.15
2014-04-01,25.040001
2014-04-02,24.709999
2014-04-03,25.209999
2014-04-04,24.76
2014-04-07,23.73
2014-04-08,23.219998999999998
2014-04-09,23.84
2014-04-10,23.57
2014-04-11,22.879998999999998
2014-04-14,22.780001000000002
2014-04-15,22.35
2014-04-16,23.08
2014-04-17,23.74
2014-04-21,23.91
2014-04-22,24.360001
2014-04-23,24.309998999999998
2014-04-24,24.18
2014-04-25,23.85
2014-04-28,24.35
2014-04-29,23.809998999999998
2014-04-30,22.98
2014-05-01,23.540001
2014-05-02,24.1
2014-05-05,24.76
2014-05-06,24.41
2014-05-07,24.209999
2014-05-08,23.780001000000002
2014-05-09,24.07
2014-05-12,24.67
2014-05-13,24.76
2014-05-14,23.84
2014-05-15,23.059998999999998
2014-05-16,23.360001
2014-05-19,22.85
2014-05-20,22.41
2014-05-21,22.43
2014-05-22,23.219998999999998
2014-05-23,23.49
2014-05-27,24.290001
2014-05-28,23.9
2014-05-29,24.24
2014-05-30,23.469998999999998
2014-06-02,24.1
2014-06-03,23.75
2014-06-04,23.889999
2014-06-05,24.809998999999998
2014-06-06,25.790001
2014-06-09,27.27
2014-06-10,26.98
2014-06-11,26.49
2014-06-12,25.4
2014-06-13,25.1
2014-06-16,26.459999
2014-06-17,27.139999
2014-06-18,27.35
2014-06-19,27.059998999999998
2014-06-20,26.450001
2014-06-23,26.690001000000002
2014-06-24,26.07
2014-06-25,26.27
2014-06-26,25.75
2014-06-27,25.639999
2014-06-30,25.950001
2014-07-01,26.559998999999998
2014-07-02,26.07
2014-07-03,25.93
2014-07-07,25.620001000000002
2014-07-08,25.33
2014-07-09,26.07
2014-07-10,25.610001
2014-07-11,25.280001000000002
2014-07-14,25.9
2014-07-15,25.780001000000002
2014-07-16,26.389999
2014-07-17,25.77
2014-07-18,26.34
2014-07-21,25.809998999999998
2014-07-22,27.02
2014-07-23,27.049999
2014-07-24,26.950001
2014-07-25,26.84
2014-07-28,26.440001000000002
2014-07-29,26.75
2014-07-30,26.73
