Date,ATGE
1991-06-21,1.21875
1991-06-24,1.1875
1991-06-25,1.1875
1991-06-26,1.140625
1991-06-27,1.15625
1991-06-28,1.15625
1991-07-01,1.125
1991-07-02,1.15625
1991-07-03,1.125
1991-07-05,1.125
1991-07-08,1.171875
1991-07-09,1.15625
1991-07-10,1.171875
1991-07-11,1.15625
1991-07-12,1.21875
1991-07-15,1.21875
1991-07-16,1.1875
1991-07-17,1.25
1991-07-18,1.3125
1991-07-19,1.265625
1991-07-22,1.25
1991-07-23,1.28125
1991-07-24,1.28125
1991-07-25,1.3125
1991-07-26,1.265625
1991-07-29,1.28125
1991-07-30,1.3125
1991-07-31,1.3125
1991-08-01,1.34375
1991-08-02,1.375
1991-08-05,1.375
1991-08-06,1.40625
1991-08-07,1.5
1991-08-08,1.40625
1991-08-09,1.4375
1991-08-12,1.5625
1991-08-13,1.65625
1991-08-14,1.65625
1991-08-15,1.65625
1991-08-16,1.625
1991-08-19,1.546875
1991-08-20,1.5625
1991-08-21,1.53125
1991-08-22,1.59375
1991-08-23,1.65625
1991-08-26,1.65625
1991-08-27,1.6875
1991-08-28,1.6875
1991-08-29,1.734375
1991-08-30,1.6875
1991-09-03,1.75
1991-09-04,1.75
1991-09-05,1.71875
1991-09-06,1.71875
1991-09-09,1.734375
1991-09-10,1.6875
1991-09-11,1.6875
1991-09-12,1.71875
1991-09-13,1.703125
1991-09-16,1.65625
1991-09-17,1.6875
1991-09-18,1.671875
1991-09-19,1.671875
1991-09-20,1.65625
1991-09-23,1.625
1991-09-24,1.6875
1991-09-25,1.65625
1991-09-26,1.625
1991-09-27,1.65625
1991-09-30,1.71875
1991-10-01,1.75
1991-10-02,1.8125
1991-10-03,1.84375
1991-10-04,1.796875
1991-10-07,1.796875
1991-10-08,1.828125
1991-10-09,1.8125
1991-10-10,1.8125
1991-10-11,1.8125
1991-10-14,1.875
1991-10-15,1.828125
1991-10-16,1.8125
1991-10-17,1.8125
1991-10-18,1.90625
1991-10-21,1.90625
1991-10-22,1.8125
1991-10-23,1.90625
1991-10-24,1.875
1991-10-25,1.96875
1991-10-28,1.96875
1991-10-29,2.0
1991-10-30,1.96875
1991-10-31,1.953125
1991-11-01,1.875
1991-11-04,1.9375
1991-11-05,1.90625
1991-11-06,1.9375
1991-11-07,1.9375
1991-11-08,1.9375
1991-11-11,1.90625
1991-11-12,1.90625
1991-11-13,1.96875
1991-11-14,1.9375
1991-11-15,1.9375
1991-11-18,1.96875
1991-11-19,1.875
1991-11-20,1.90625
1991-11-21,1.890625
1991-11-22,1.9375
1991-11-25,1.75
1991-11-26,1.78125
1991-11-27,1.78125
1991-11-29,1.78125
1991-12-02,1.78125
1991-12-03,1.78125
1991-12-04,1.8125
1991-12-05,1.75
1991-12-06,1.75
1991-12-09,1.71875
1991-12-10,1.640625
1991-12-11,1.6875
1991-12-12,1.625
1991-12-13,1.65625
1991-12-16,1.59375
1991-12-17,1.65625
1991-12-18,1.65625
1991-12-19,1.59375
1991-12-20,1.6875
1991-12-23,1.6875
1991-12-24,1.6875
1991-12-26,1.6875
1991-12-27,1.6875
1991-12-30,1.6875
1991-12-31,1.71875
1992-01-02,1.71875
1992-01-03,1.75
1992-01-06,1.78125
1992-01-07,1.84375
1992-01-08,1.9375
1992-01-09,2.1875
1992-01-10,2.15625
1992-01-13,2.203125
1992-01-14,2.25
1992-01-15,2.25
1992-01-16,2.28125
1992-01-17,2.25
1992-01-20,2.25
1992-01-21,2.28125
1992-01-22,2.25
1992-01-23,2.28125
1992-01-24,2.265625
1992-01-27,2.25
1992-01-28,2.265625
1992-01-29,2.25
1992-01-30,2.28125
1992-01-31,2.28125
1992-02-03,2.375
1992-02-04,2.375
1992-02-05,2.375
1992-02-06,2.375
1992-02-07,2.46875
1992-02-10,2.5
1992-02-11,2.5
1992-02-12,2.46875
1992-02-13,2.5
1992-02-14,2.46875
1992-02-18,2.375
1992-02-19,2.46875
1992-02-20,2.375
1992-02-21,2.375
1992-02-24,2.40625
1992-02-25,2.46875
1992-02-26,2.46875
1992-02-27,2.46875
1992-02-28,2.46875
1992-03-02,2.46875
1992-03-03,2.4375
1992-03-04,2.46875
1992-03-05,2.4375
1992-03-06,2.25
1992-03-09,2.15625
1992-03-10,2.1875
1992-03-11,2.25
1992-03-12,2.25
1992-03-13,2.25
1992-03-16,2.25
1992-03-17,2.28125
1992-03-18,2.1875
1992-03-19,2.28125
1992-03-20,2.375
1992-03-23,2.40625
1992-03-24,2.28125
1992-03-25,2.28125
1992-03-26,2.28125
1992-03-27,2.28125
1992-03-30,2.328125
1992-03-31,2.375
1992-04-01,2.28125
1992-04-02,2.28125
1992-04-03,2.1875
1992-04-06,2.28125
1992-04-07,2.1875
1992-04-08,2.1875
1992-04-09,2.25
1992-04-10,2.234375
1992-04-13,2.1875
1992-04-14,2.1875
1992-04-15,2.28125
1992-04-16,2.1875
1992-04-20,2.28125
1992-04-21,2.28125
1992-04-22,2.1875
1992-04-23,2.1875
1992-04-24,2.1875
1992-04-27,2.1875
1992-04-28,2.1875
1992-04-29,2.1875
1992-04-30,2.1875
1992-05-01,2.1875
1992-05-04,2.25
1992-05-05,2.1875
1992-05-06,2.1875
1992-05-07,2.15625
1992-05-08,2.1875
1992-05-11,2.15625
1992-05-12,2.125
1992-05-13,2.21875
1992-05-14,2.1875
1992-05-15,2.1875
1992-05-18,2.125
1992-05-19,2.1875
1992-05-20,2.1875
1992-05-21,2.078125
1992-05-22,2.09375
1992-05-26,2.09375
1992-05-27,2.09375
1992-05-28,2.140625
1992-05-29,2.140625
1992-06-01,2.1875
1992-06-02,2.21875
1992-06-03,2.1875
1992-06-04,2.1875
1992-06-05,2.171875
1992-06-08,2.21875
1992-06-09,2.109375
1992-06-10,2.15625
1992-06-11,2.09375
1992-06-12,2.09375
1992-06-15,2.046875
1992-06-16,2.03125
1992-06-17,2.03125
1992-06-18,2.03125
1992-06-19,2.03125
1992-06-22,2.125
1992-06-23,2.125
1992-06-24,2.125
1992-06-25,2.03125
1992-06-26,2.03125
1992-06-29,2.125
1992-06-30,2.25
1992-07-01,2.25
1992-07-02,2.25
1992-07-06,2.3125
1992-07-07,2.328125
1992-07-08,2.34375
1992-07-09,2.3125
1992-07-10,2.28125
1992-07-13,2.34375
1992-07-14,2.328125
1992-07-15,2.328125
1992-07-16,2.328125
1992-07-17,2.34375
1992-07-20,2.28125
1992-07-21,2.34375
1992-07-22,2.34375
1992-07-23,2.34375
1992-07-24,2.3125
1992-07-27,2.3125
1992-07-28,2.34375
1992-07-29,2.34375
1992-07-30,2.34375
1992-07-31,2.34375
1992-08-03,2.359375
1992-08-04,2.3125
1992-08-05,2.3125
1992-08-06,2.3125
1992-08-07,2.3125
1992-08-10,2.328125
1992-08-11,2.375
1992-08-12,2.3125
1992-08-13,2.3125
1992-08-14,2.34375
1992-08-17,2.375
1992-08-18,2.3125
1992-08-19,2.3125
1992-08-20,2.4375
1992-08-21,2.375
1992-08-24,2.4375
1992-08-25,2.4375
1992-08-26,2.4375
1992-08-27,2.46875
1992-08-28,2.53125
1992-08-31,2.5625
1992-09-01,2.53125
1992-09-02,2.5625
1992-09-03,2.5
1992-09-04,2.515625
1992-09-08,2.5625
1992-09-09,2.5
1992-09-10,2.5625
1992-09-11,2.5
1992-09-14,2.5625
1992-09-15,2.5
1992-09-16,2.5625
1992-09-17,2.53125
1992-09-18,2.515625
1992-09-21,2.515625
1992-09-22,2.5
1992-09-23,2.5625
1992-09-24,2.5
1992-09-25,2.53125
1992-09-28,2.5625
1992-09-29,2.5625
1992-09-30,2.5625
1992-10-01,2.5625
1992-10-02,2.59375
1992-10-05,2.5
1992-10-06,2.5
1992-10-07,2.53125
1992-10-08,2.59375
1992-10-09,2.59375
1992-10-12,2.59375
1992-10-13,2.71875
1992-10-14,2.671875
1992-10-15,2.625
1992-10-16,2.6875
1992-10-19,2.6875
1992-10-20,2.640625
1992-10-21,2.6875
1992-10-22,2.6875
1992-10-23,2.6875
1992-10-26,2.625
1992-10-27,2.625
1992-10-28,2.625
1992-10-29,2.546875
1992-10-30,2.578125
1992-11-02,2.53125
1992-11-03,2.578125
1992-11-04,2.5625
1992-11-05,2.5625
1992-11-06,2.53125
1992-11-09,2.53125
1992-11-10,2.5625
1992-11-11,2.5625
1992-11-12,2.5
1992-11-13,2.5
1992-11-16,2.5625
1992-11-17,2.5
1992-11-18,2.5
1992-11-19,2.5
1992-11-20,2.515625
1992-11-23,2.5
1992-11-24,2.5
1992-11-25,2.46875
1992-11-27,2.53125
1992-11-30,2.5
1992-12-01,2.53125
1992-12-02,2.53125
1992-12-03,2.53125
1992-12-04,2.53125
1992-12-07,2.484375
1992-12-08,2.484375
1992-12-09,2.359375
1992-12-10,2.40625
1992-12-11,2.34375
1992-12-14,2.390625
1992-12-15,2.40625
1992-12-16,2.375
1992-12-17,2.4375
1992-12-18,2.421875
1992-12-21,2.5
1992-12-22,2.4375
1992-12-23,2.46875
1992-12-24,2.46875
1992-12-28,2.4375
1992-12-29,2.46875
1992-12-30,2.4375
1992-12-31,2.515625
1993-01-04,2.46875
1993-01-05,2.53125
1993-01-06,2.5625
1993-01-07,2.53125
1993-01-08,2.5625
1993-01-11,2.5625
1993-01-12,2.53125
1993-01-13,2.625
1993-01-14,2.625
1993-01-15,2.65625
1993-01-18,2.71875
1993-01-19,2.9375
1993-01-20,2.96875
1993-01-21,2.84375
1993-01-22,2.78125
1993-01-25,2.875
1993-01-26,2.875
1993-01-27,2.78125
1993-01-28,2.8125
1993-01-29,2.8125
1993-02-01,2.75
1993-02-02,2.8125
1993-02-03,2.8125
1993-02-04,2.8125
1993-02-05,2.8125
1993-02-08,2.875
1993-02-09,2.875
1993-02-10,2.90625
1993-02-11,2.9375
1993-02-12,2.9375
1993-02-16,2.8125
1993-02-17,2.65625
1993-02-18,2.78125
1993-02-19,2.84375
