Date,TBPH
2014-05-16,22.959999
2014-05-19,21.969998999999998
2014-05-20,21.52
2014-05-21,21.52
2014-05-22,21.52
2014-05-23,21.52
2014-05-27,21.52
2014-05-28,21.52
2014-05-29,21.52
2014-05-30,21.52
2014-06-02,19.5
2014-06-03,23.51
2014-06-04,24.0
2014-06-05,24.66
2014-06-06,26.48
2014-06-09,26.5
2014-06-10,26.629998999999998
2014-06-11,27.99
2014-06-12,28.0
2014-06-13,28.4
2014-06-16,32.900002
2014-06-17,32.799999
2014-06-18,30.66
2014-06-19,32.18
2014-06-20,34.389998999999996
2014-06-23,34.869999
2014-06-24,34.369999
2014-06-25,33.970001
2014-06-26,33.959998999999996
2014-06-27,33.93
2014-06-30,31.879998999999998
2014-07-01,33.849998
2014-07-02,33.84
2014-07-03,33.990002000000004
2014-07-07,33.689999
2014-07-08,32.66
2014-07-09,32.560001
2014-07-10,30.360001
2014-07-11,30.01
2014-07-14,30.799999
2014-07-15,31.969998999999998
2014-07-16,32.009997999999996
2014-07-17,31.85
2014-07-18,32.09
2014-07-21,32.130001
2014-07-22,32.380001
2014-07-23,31.969998999999998
2014-07-24,31.889999
2014-07-25,31.610001
2014-07-28,30.68
2014-07-29,29.76
2014-07-30,29.690001000000002
2014-07-31,28.030001000000002
2014-08-01,28.950001
2014-08-04,28.889999
2014-08-05,29.860001
2014-08-06,29.48
2014-08-07,29.440001000000002
2014-08-08,29.790001
2014-08-11,28.709999
2014-08-12,28.91
2014-08-13,29.65
2014-08-14,27.889999
2014-08-15,27.440001000000002
2014-08-18,27.75
2014-08-19,26.860001
2014-08-20,26.98
2014-08-21,27.85
2014-08-22,28.35
2014-08-25,28.870001000000002
2014-08-26,29.35
2014-08-27,29.18
2014-08-28,28.639999
2014-08-29,29.365
2014-09-02,29.049999
2014-09-03,28.559998999999998
2014-09-04,27.719998999999998
2014-09-05,28.02
2014-09-08,28.75
2014-09-09,28.4
2014-09-10,28.0
2014-09-11,28.0
2014-09-12,27.0
2014-09-15,26.379998999999998
2014-09-16,26.33
2014-09-17,26.18
2014-09-18,26.549999
2014-09-19,26.33
2014-09-22,25.870001000000002
2014-09-23,25.219998999999998
2014-09-24,25.290001
2014-09-25,24.48
2014-09-26,24.17
2014-09-29,23.41
2014-09-30,23.049999
2014-10-01,22.52
2014-10-02,22.91
2014-10-03,23.190001000000002
2014-10-06,23.115
2014-10-07,22.01
2014-10-08,22.0
2014-10-09,20.67
2014-10-10,20.5
2014-10-13,20.440001000000002
2014-10-14,20.51
2014-10-15,20.67
2014-10-16,20.49
2014-10-17,20.17
2014-10-20,20.719998999999998
2014-10-21,20.67
2014-10-22,20.42
2014-10-23,20.389999
2014-10-24,19.809998999999998
2014-10-27,19.940001000000002
2014-10-28,20.040001
2014-10-29,19.209999
2014-10-30,18.73
2014-10-31,18.299999
2014-11-03,18.120001000000002
2014-11-04,17.82
2014-11-05,17.690001000000002
2014-11-06,17.440001000000002
2014-11-07,17.07
2014-11-10,18.32
2014-11-11,17.959999
2014-11-12,17.799999
2014-11-13,17.610001
2014-11-14,17.48
2014-11-17,17.32
2014-11-18,16.459999
2014-11-19,16.200001
2014-11-20,15.95
2014-11-21,15.9
2014-11-24,16.16
2014-11-25,15.59
2014-11-26,16.4
2014-11-28,15.82
2014-12-01,14.9
2014-12-02,14.93
2014-12-03,14.25
2014-12-04,14.06
2014-12-05,14.11
2014-12-08,14.06
2014-12-09,14.19
2014-12-10,13.8
2014-12-11,14.01
2014-12-12,13.91
2014-12-15,13.61
2014-12-16,13.48
2014-12-17,13.33
2014-12-18,13.37
2014-12-19,14.03
2014-12-22,14.85
2014-12-23,14.64
2014-12-24,14.84
2014-12-26,14.96
2014-12-29,15.09
2014-12-30,15.09
2014-12-31,14.92
2015-01-02,14.7
2015-01-05,14.91
2015-01-06,15.04
2015-01-07,16.049999
2015-01-08,17.07
2015-01-09,17.42
2015-01-12,16.84
2015-01-13,17.120001000000002
2015-01-14,17.280001000000002
2015-01-15,16.6
2015-01-16,17.389999
2015-01-20,18.0
2015-01-21,18.040001
2015-01-22,17.75
2015-01-23,17.5
2015-01-26,17.639999
2015-01-27,17.969998999999998
2015-01-28,16.51
2015-01-29,16.610001
2015-01-30,16.24
2015-02-02,17.370001000000002
2015-02-03,17.48
2015-02-04,17.209999
2015-02-05,17.299999
2015-02-06,17.440001000000002
2015-02-09,17.98
2015-02-10,18.59
2015-02-11,18.129998999999998
2015-02-12,18.23
2015-02-13,18.51
2015-02-17,19.93
2015-02-18,19.83
2015-02-19,19.1
2015-02-20,19.52
2015-02-23,20.629998999999998
2015-02-24,20.450001
2015-02-25,21.049999
2015-02-26,20.889999
2015-02-27,21.73
2015-03-02,20.73
2015-03-03,20.959999
2015-03-04,21.51
2015-03-05,20.75
2015-03-06,20.23
2015-03-09,19.879998999999998
2015-03-10,19.9
2015-03-11,18.51
2015-03-12,19.25
2015-03-13,19.379998999999998
2015-03-16,18.959999
2015-03-17,18.620001000000002
2015-03-18,19.0
2015-03-19,19.440001000000002
2015-03-20,19.379998999999998
2015-03-23,18.950001
2015-03-24,18.110001
2015-03-25,17.120001000000002
2015-03-26,16.92
2015-03-27,17.35
2015-03-30,17.799999
2015-03-31,17.35
2015-04-01,17.139999
2015-04-02,17.27
2015-04-06,17.360001
2015-04-07,17.66
2015-04-08,17.83
2015-04-09,17.75
2015-04-10,18.01
2015-04-13,18.629998999999998
2015-04-14,18.559998999999998
2015-04-15,18.58
2015-04-16,18.6
2015-04-17,18.02
2015-04-20,18.24
2015-04-21,18.23
2015-04-22,18.41
2015-04-23,18.33
2015-04-24,18.389999
2015-04-27,17.24
2015-04-28,17.34
2015-04-29,16.950001
2015-04-30,16.0
2015-05-01,16.549999
2015-05-04,16.440001000000002
2015-05-05,16.219998999999998
2015-05-06,15.51
2015-05-07,15.27
2015-05-08,15.11
2015-05-11,14.9
2015-05-12,14.5
2015-05-13,14.93
2015-05-14,14.93
2015-05-15,14.69
2015-05-18,14.35
2015-05-19,14.03
2015-05-20,14.24
2015-05-21,14.49
2015-05-22,14.38
2015-05-26,14.17
2015-05-27,14.55
2015-05-28,14.33
2015-05-29,13.95
2015-06-01,13.83
2015-06-02,13.83
2015-06-03,13.85
