Date,FII
1998-05-14,13.208332999999998
1998-05-15,12.75
1998-05-18,12.666667
1998-05-19,13.0
1998-05-20,12.666667
1998-05-21,12.666667
1998-05-22,12.0
1998-05-26,11.791667
1998-05-27,11.958333
1998-05-28,12.0
1998-05-29,11.958333
1998-06-01,11.416667
1998-06-02,11.208333
1998-06-03,11.125
1998-06-04,11.333333
1998-06-05,11.916667
1998-06-08,11.666667
1998-06-09,11.833333
1998-06-10,11.625
1998-06-11,11.583333
1998-06-12,11.541667
1998-06-15,10.916667
1998-06-16,11.333333
1998-06-17,11.333333
1998-06-18,11.541667
1998-06-19,11.916667
1998-06-22,11.916667
1998-06-23,11.708333
1998-06-24,10.833333
1998-06-25,10.958333
1998-06-26,11.0
1998-06-29,11.333333
1998-06-30,12.333333
1998-07-01,11.166667
1998-07-02,11.041667
1998-07-06,11.125
1998-07-07,11.125
1998-07-08,11.083333
1998-07-09,11.083333
1998-07-10,11.166667
1998-07-13,10.916667
1998-07-14,11.0
1998-07-15,11.083333
1998-07-16,11.666667
1998-07-17,11.666667
1998-07-20,11.666667
1998-07-21,11.416667
1998-07-22,11.958333
1998-07-23,11.5
1998-07-24,11.375
1998-07-27,11.541667
1998-07-28,11.625
1998-07-29,11.458333
1998-07-30,11.666667
1998-07-31,11.833333
1998-08-03,11.75
1998-08-04,11.583333
1998-08-05,11.541667
1998-08-06,11.625
1998-08-07,11.916667
1998-08-10,11.958333
1998-08-11,11.625
1998-08-12,11.666667
1998-08-13,11.916667
1998-08-14,11.625
1998-08-17,11.75
1998-08-18,11.833333
1998-08-19,11.541667
1998-08-20,11.75
1998-08-21,11.583333
1998-08-24,11.5
1998-08-25,11.458333
1998-08-26,10.916667
1998-08-27,9.5
1998-08-28,9.458333
1998-08-31,8.666667
1998-09-01,9.75
1998-09-02,9.458333
1998-09-03,9.208333
1998-09-04,9.25
1998-09-08,9.541667
1998-09-09,9.583333
1998-09-10,9.375
1998-09-11,9.5
1998-09-14,10.25
1998-09-15,10.541667
1998-09-16,11.166667
1998-09-17,11.083333
1998-09-18,11.333333
1998-09-21,11.333333
1998-09-22,11.291667
1998-09-23,11.333333
1998-09-24,10.875
1998-09-25,10.5
1998-09-28,9.875
1998-09-29,9.833333
1998-09-30,9.583333
1998-10-01,8.666667
1998-10-02,9.125
1998-10-05,9.25
1998-10-06,9.083333
1998-10-07,8.416667
1998-10-08,7.375
1998-10-09,8.291667
1998-10-12,9.083333
1998-10-13,8.875
1998-10-14,8.958333
1998-10-15,9.583333
1998-10-16,10.041667
1998-10-19,11.208333
1998-10-20,11.166667
1998-10-21,10.875
1998-10-22,10.333333
1998-10-23,10.291667
1998-10-26,10.708333
1998-10-27,11.041667
1998-10-28,11.125
1998-10-29,11.916667
1998-10-30,11.958333
1998-11-02,12.583333
1998-11-03,12.125
1998-11-04,12.333333
1998-11-05,12.708333
1998-11-06,12.583333
1998-11-09,12.583333
1998-11-10,12.125
1998-11-11,12.0
1998-11-12,12.416667
1998-11-13,12.25
1998-11-16,12.125
1998-11-17,12.041667
1998-11-18,12.083333
1998-11-19,11.333333
1998-11-20,11.291667
1998-11-23,11.666667
1998-11-24,11.166667
1998-11-25,11.166667
1998-11-27,11.166667
1998-11-30,11.208333
1998-12-01,11.416667
1998-12-02,11.541667
1998-12-03,11.666667
1998-12-04,11.458333
1998-12-07,11.541667
1998-12-08,11.625
1998-12-09,11.5
1998-12-10,11.125
1998-12-11,10.791667
1998-12-14,10.666667
1998-12-15,10.75
1998-12-16,11.166667
1998-12-17,11.333333
1998-12-18,11.333333
1998-12-21,11.333333
1998-12-22,11.291667
1998-12-23,11.208333
1998-12-24,11.375
1998-12-28,11.375
1998-12-29,11.583333
1998-12-30,12.166667
1998-12-31,12.083333
1999-01-04,12.208333
1999-01-05,12.666667
1999-01-06,12.625
1999-01-07,12.083333
1999-01-08,11.5
1999-01-11,11.25
1999-01-12,10.666667
1999-01-13,10.666667
1999-01-14,10.583333
1999-01-15,11.708333
1999-01-19,11.833333
1999-01-20,11.958333
1999-01-21,11.666667
1999-01-22,11.375
1999-01-25,11.708333
1999-01-26,11.75
1999-01-27,12.333333
1999-01-28,12.375
1999-01-29,12.916667
1999-02-01,12.666667
1999-02-02,12.666667
1999-02-03,12.833333
1999-02-04,12.916667
1999-02-05,13.041667
1999-02-08,12.958333
1999-02-09,12.958333
1999-02-10,12.5
1999-02-11,12.541667
1999-02-12,12.375
1999-02-16,12.833333
1999-02-17,12.833333
1999-02-18,12.666667
1999-02-19,12.541667
1999-02-22,12.625
1999-02-23,12.333333
1999-02-24,12.25
1999-02-25,12.625
1999-02-26,12.791667
1999-03-01,12.625
1999-03-02,12.291667
1999-03-03,12.541667
1999-03-04,12.291667
1999-03-05,12.125
