Date,AR
2014-08-28,57.299999
2014-08-29,57.849998
2014-09-02,56.639998999999996
2014-09-03,56.509997999999996
2014-09-04,55.509997999999996
2014-09-05,56.169998
2014-09-08,55.959998999999996
2014-09-09,55.84
2014-09-10,56.450001
2014-09-11,56.599998
2014-09-12,56.77
2014-09-15,56.759997999999996
2014-09-16,57.799999
2014-09-17,57.630001
2014-09-18,57.98
2014-09-19,57.919998
2014-09-22,56.93
2014-09-23,56.389998999999996
2014-09-24,56.32
2014-09-25,54.52
2014-09-26,55.200001
2014-09-29,55.389998999999996
2014-09-30,54.889998999999996
2014-10-01,54.029999
2014-10-02,53.130001
2014-10-03,52.220001
2014-10-06,51.860001000000004
2014-10-07,50.07
2014-10-08,49.689999
2014-10-09,47.799999
2014-10-10,47.380001
2014-10-13,46.080002
2014-10-14,46.139998999999996
2014-10-15,48.66
2014-10-16,52.439999
2014-10-17,50.209998999999996
2014-10-20,49.459998999999996
2014-10-21,49.880001
2014-10-22,47.75
2014-10-23,48.439999
2014-10-24,48.91
2014-10-27,48.43
2014-10-28,50.07
2014-10-29,50.830002
2014-10-30,51.25
2014-10-31,52.439999
2014-11-03,52.299999
2014-11-04,51.25
2014-11-05,52.310001
2014-11-06,52.799999
2014-11-07,55.060001
2014-11-10,54.779999
2014-11-11,55.060001
2014-11-12,55.509997999999996
2014-11-13,53.18
2014-11-14,52.509997999999996
2014-11-17,52.27
2014-11-18,52.150002
2014-11-19,52.299999
2014-11-20,53.240002000000004
2014-11-21,52.810001
2014-11-24,52.599998
2014-11-25,51.470001
2014-11-26,49.299999
2014-11-28,46.919998
2014-12-01,46.709998999999996
2014-12-02,45.259997999999996
2014-12-03,46.009997999999996
2014-12-04,43.970001
2014-12-05,42.279999
2014-12-08,38.599998
2014-12-09,39.189999
2014-12-10,39.040001000000004
2014-12-11,39.220001
2014-12-12,39.889998999999996
2014-12-15,39.549999
2014-12-16,40.990002000000004
2014-12-17,43.330002
2014-12-18,43.049999
2014-12-19,44.009997999999996
2014-12-22,42.66
2014-12-23,43.139998999999996
2014-12-24,42.5
2014-12-26,41.41
2014-12-29,41.290001000000004
2014-12-30,40.68
2014-12-31,40.580002
2015-01-02,42.349998
2015-01-05,38.48
2015-01-06,38.07
2015-01-07,36.639998999999996
2015-01-08,37.830002
2015-01-09,39.330002
2015-01-12,36.529999
2015-01-13,36.279999
2015-01-14,36.099998
2015-01-15,35.18
2015-01-16,37.220001
2015-01-20,36.549999
2015-01-21,37.0
2015-01-22,35.91
2015-01-23,35.490002000000004
2015-01-26,36.650002
2015-01-27,36.82
2015-01-28,34.59
2015-01-29,34.02
2015-01-30,34.650002
2015-02-02,36.549999
2015-02-03,38.580002
2015-02-04,38.009997999999996
2015-02-05,40.41
2015-02-06,39.970001
2015-02-09,40.669998
2015-02-10,40.98
2015-02-11,39.77
2015-02-12,39.650002
2015-02-13,40.34
2015-02-17,42.02
2015-02-18,41.040001000000004
2015-02-19,41.279999
2015-02-20,40.240002000000004
2015-02-23,40.150002
2015-02-24,39.41
2015-02-25,41.029999
2015-02-26,40.52
2015-02-27,39.450001
2015-03-02,38.02
2015-03-03,37.849998
2015-03-04,38.450001
2015-03-05,37.130001
2015-03-06,36.889998999999996
2015-03-09,36.049999
2015-03-10,35.529999
2015-03-11,36.43
2015-03-12,36.380001
2015-03-13,35.16
2015-03-16,34.93
2015-03-17,35.450001
2015-03-18,36.959998999999996
2015-03-19,35.630001
2015-03-20,36.029999
2015-03-23,35.279999
2015-03-24,35.080002
2015-03-25,35.450001
2015-03-26,35.330002
2015-03-27,34.970001
2015-03-30,35.209998999999996
2015-03-31,35.32
2015-04-01,35.349998
2015-04-02,36.779999
2015-04-06,37.16
2015-04-07,38.009997999999996
2015-04-08,37.549999
2015-04-09,37.68
2015-04-10,37.349998
2015-04-13,37.59
2015-04-14,38.990002000000004
2015-04-15,41.349998
2015-04-16,41.57
2015-04-17,41.470001
2015-04-20,41.580002
2015-04-21,41.380001
2015-04-22,41.950001
2015-04-23,42.299999
2015-04-24,42.560001
2015-04-27,41.810001
2015-04-28,41.919998
2015-04-29,42.599998
2015-04-30,44.310001
2015-05-01,44.889998999999996
2015-05-04,44.450001
2015-05-05,43.919998
2015-05-06,44.049999
2015-05-07,43.580002
2015-05-08,45.650002
2015-05-11,44.490002000000004
2015-05-12,44.360001000000004
2015-05-13,43.240002000000004
2015-05-14,41.900002
2015-05-15,42.75
2015-05-18,42.52
2015-05-19,41.119999
2015-05-20,40.98
2015-05-21,41.27
2015-05-22,40.799999
2015-05-26,40.299999
2015-05-27,40.299999
2015-05-28,40.34
2015-05-29,40.009997999999996
2015-06-01,39.529999
2015-06-02,40.07
2015-06-03,39.25
2015-06-04,38.380001
2015-06-05,38.189999
2015-06-08,37.98
2015-06-09,38.130001
2015-06-10,37.599998
2015-06-11,36.669998
2015-06-12,36.200001
2015-06-15,36.52
2015-06-16,36.349998
2015-06-17,36.220001
2015-06-18,36.150002
2015-06-19,35.240002000000004
2015-06-22,35.720001
2015-06-23,35.790001000000004
2015-06-24,35.709998999999996
2015-06-25,35.200001
2015-06-26,35.119999
2015-06-29,34.220001
2015-06-30,34.34
2015-07-01,33.610001000000004
2015-07-02,33.25
2015-07-06,32.299999
2015-07-07,33.02
2015-07-08,31.23
2015-07-09,31.040001
2015-07-10,30.190001000000002
2015-07-13,31.24
2015-07-14,32.580002
2015-07-15,31.6
2015-07-16,31.549999
2015-07-17,30.43
2015-07-20,29.5
2015-07-21,29.26
2015-07-22,28.84
2015-07-23,28.549999
2015-07-24,28.24
2015-07-27,27.52
2015-07-28,28.48
2015-07-29,28.41
2015-07-30,28.049999
2015-07-31,27.51
2015-08-03,26.440001000000002
2015-08-04,26.530001000000002
2015-08-05,25.84
2015-08-06,26.5
2015-08-07,25.969998999999998
2015-08-10,27.030001000000002
2015-08-11,26.809998999999998
2015-08-12,27.940001000000002
2015-08-13,26.690001000000002
2015-08-14,27.09
2015-08-17,27.120001000000002
2015-08-18,27.42
2015-08-19,25.440001000000002
2015-08-20,25.379998999999998
2015-08-21,24.23
2015-08-24,22.309998999999998
2015-08-25,21.610001
2015-08-26,22.85
2015-08-27,24.26
2015-08-28,25.24
2015-08-31,25.84
2015-09-01,25.84
2015-09-02,25.719998999999998
2015-09-03,26.15
2015-09-04,25.27
2015-09-08,25.48
2015-09-09,25.030001000000002
2015-09-10,25.139999
2015-09-11,24.6
2015-09-14,23.690001000000002
2015-09-15,23.799999
2015-09-16,25.540001
2015-09-17,25.209999
2015-09-18,23.559998999999998
2015-09-21,23.190001000000002
2015-09-22,22.620001000000002
2015-09-23,21.9
2015-09-24,21.940001000000002
2015-09-25,21.52
2015-09-28,20.200001
2015-09-29,20.51
2015-09-30,21.16
2015-10-01,21.209999
2015-10-02,21.98
2015-10-05,23.26
2015-10-06,25.57
2015-10-07,25.200001
2015-10-08,25.83
2015-10-09,24.860001
2015-10-12,23.65
2015-10-13,23.58
2015-10-14,23.65
2015-10-15,24.219998999999998
2015-10-16,24.120001000000002
2015-10-19,23.24
2015-10-20,23.76
2015-10-21,22.4
2015-10-22,21.91
2015-10-23,21.969998999999998
2015-10-26,21.4
2015-10-27,20.700001
2015-10-28,21.18
2015-10-29,22.879998999999998
2015-10-30,23.57
2015-11-02,23.42
2015-11-03,24.34
2015-11-04,25.620001000000002
2015-11-05,25.030001000000002
2015-11-06,24.030001000000002
2015-11-09,24.58
2015-11-10,24.0
2015-11-11,22.940001000000002
2015-11-12,21.66
2015-11-13,22.870001000000002
2015-11-16,24.73
2015-11-17,23.299999
2015-11-18,23.540001
2015-11-19,22.719998999999998
2015-11-20,21.32
2015-11-23,20.959999
2015-11-24,21.27
2015-11-25,21.360001
2015-11-27,20.5
2015-11-30,20.610001
2015-12-01,20.969998999999998
2015-12-02,19.709999
2015-12-03,19.57
2015-12-04,19.790001
2015-12-07,19.120001000000002
2015-12-08,19.57
2015-12-09,19.48
2015-12-10,19.860001
2015-12-11,19.43
2015-12-14,19.58
2015-12-15,20.17
2015-12-16,20.209999
2015-12-17,20.49
2015-12-18,20.82
2015-12-21,21.24
2015-12-22,20.57
2015-12-23,22.84
2015-12-24,22.780001000000002
2015-12-28,22.540001
2015-12-29,23.209999
2015-12-30,21.51
2015-12-31,21.799999
2016-01-04,22.68
2016-01-05,22.110001
2016-01-06,19.77
2016-01-07,20.950001
2016-01-08,22.26
2016-01-11,20.18
2016-01-12,19.950001
2016-01-13,19.9
2016-01-14,20.66
2016-01-15,21.68
2016-01-19,20.889999
2016-01-20,22.99
2016-01-21,24.219998999999998
2016-01-22,23.9
2016-01-25,23.059998999999998
2016-01-26,24.959999
2016-01-27,25.5
2016-01-28,26.0
2016-01-29,27.17
2016-02-01,26.879998999999998
2016-02-02,25.85
2016-02-03,26.66
2016-02-04,27.040001
2016-02-05,27.17
2016-02-08,27.700001
2016-02-09,26.23
2016-02-10,25.959999
2016-02-11,25.16
2016-02-12,26.02
2016-02-16,24.639999
2016-02-17,26.25
2016-02-18,24.639999
2016-02-19,23.98
2016-02-22,24.290001
2016-02-23,22.799999
2016-02-24,24.040001
2016-02-25,23.52
2016-02-26,24.129998999999998
2016-02-29,22.85
2016-03-01,22.469998999999998
2016-03-02,23.139999
2016-03-03,23.889999
2016-03-04,22.889999
2016-03-07,24.02
2016-03-08,22.52
2016-03-09,22.879998999999998
2016-03-10,22.75
2016-03-11,23.73
