Date,SGP
2008-01-08,2.5
2008-01-09,
2008-01-10,
2008-01-11,
2008-01-14,
2008-01-15,
2008-01-16,
2008-01-17,
2008-01-18,
2008-01-22,
2008-01-23,
2008-01-24,
2008-01-25,
2008-01-28,
2008-01-29,
2008-01-30,
2008-01-31,
2008-02-01,
2008-02-04,
2008-02-05,
2008-02-06,
2008-02-07,
2008-02-08,
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,
2008-02-19,
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,
2008-03-03,
2008-03-04,
2008-03-05,
2008-03-06,
2008-03-07,
2008-03-10,
2008-03-11,
2008-03-12,
2008-03-13,
2008-03-14,
2008-03-17,
2008-03-18,
2008-03-19,
2008-03-20,
2008-03-24,
2008-03-25,
2008-03-26,
2008-03-27,
2008-03-28,
2008-03-31,
2008-04-01,
2008-04-02,
2008-04-03,
2008-04-04,
2008-04-07,
2008-04-08,
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-14,
2008-04-15,
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-21,
2008-04-22,
2008-04-23,
2008-04-24,
2008-04-25,
2008-04-28,
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,
2008-05-05,
2008-05-06,
2008-05-07,
2008-05-08,
2008-05-09,
2008-05-12,
2008-05-13,
2008-05-14,
2008-05-15,
2008-05-16,
2008-05-19,
2008-05-20,
2008-05-21,
2008-05-22,
2008-05-23,
2008-05-27,
2008-05-28,
2008-05-29,
2008-05-30,
2008-06-02,
2008-06-03,9.1
2008-06-04,9.0
2008-06-05,8.95
2008-06-06,8.9
2008-06-09,8.3
2008-06-10,7.05
2008-06-11,7.85
2008-06-12,7.6
2008-06-13,7.25
2008-06-16,7.4
2008-06-17,7.5
2008-06-18,7.1
2008-06-19,6.8
2008-06-20,7.0
2008-06-23,7.2
2008-06-24,7.3
2008-06-25,7.6
2008-06-26,7.5
2008-06-27,7.55
2008-06-30,7.95
2008-07-01,
2008-07-02,8.2
2008-07-03,8.0
2008-07-07,7.6
2008-07-08,7.35
2008-07-09,7.4
2008-07-10,7.7
2008-07-11,7.75
2008-07-14,7.6
2008-07-15,7.2
2008-07-16,7.1
2008-07-17,
2008-07-18,7.15
2008-07-21,7.15
2008-07-22,7.1
2008-07-23,7.15
2008-07-24,7.1
2008-07-25,7.05
2008-07-28,7.0
2008-07-29,7.1
2008-07-30,7.1
2008-07-31,7.05
2008-08-01,7.25
2008-08-04,7.1
2008-08-05,7.05
2008-08-06,7.0
2008-08-07,7.15
2008-08-08,7.05
2008-08-11,7.05
2008-08-12,
2008-08-13,7.3
2008-08-14,7.25
2008-08-15,7.1
2008-08-18,7.1
2008-08-19,6.95
2008-08-20,7.0
2008-08-21,6.8
2008-08-22,6.85
2008-08-25,6.5
2008-08-26,6.2
2008-08-27,6.3
2008-08-28,6.35
2008-08-29,6.4
2008-09-02,6.15
2008-09-03,6.15
2008-09-04,6.2
2008-09-05,6.1
2008-09-08,6.35
2008-09-09,6.3
2008-09-10,6.2
2008-09-11,6.15
2008-09-12,6.15
2008-09-15,6.0
2008-09-16,6.0
2008-09-17,6.0
2008-09-18,6.0
2008-09-19,6.1
2008-09-22,5.95
2008-09-23,6.0
2008-09-24,5.9
2008-09-25,5.85
2008-09-26,6.0
2008-09-29,5.9
2008-09-30,5.85
2008-10-01,5.75
2008-10-02,5.8
2008-10-03,5.75
2008-10-06,5.5
2008-10-07,4.82
2008-10-08,4.1
2008-10-09,4.16
2008-10-10,3.7
2008-10-13,3.7
2008-10-14,3.9
2008-10-15,3.8
2008-10-16,3.82
2008-10-17,4.0
2008-10-20,5.05
2008-10-21,4.66
2008-10-22,5.0
2008-10-23,
2008-10-24,4.4
2008-10-27,4.3
2008-10-28,4.36
2008-10-29,4.36
2008-10-30,4.44
2008-10-31,4.36
2008-11-03,4.84
2008-11-04,4.82
2008-11-05,4.6
2008-11-06,4.96
2008-11-07,5.4
2008-11-10,5.3
2008-11-11,4.9
2008-11-12,5.0
2008-11-13,5.15
2008-11-14,5.1
2008-11-17,5.1
2008-11-18,4.84
2008-11-19,4.6
2008-11-20,4.38
2008-11-21,4.48
2008-11-24,4.2
2008-11-25,4.36
2008-11-26,4.42
2008-11-28,4.46
2008-12-01,4.3
2008-12-02,4.28
2008-12-03,4.38
2008-12-04,4.38
2008-12-05,
2008-12-08,4.56
2008-12-09,4.64
2008-12-10,4.64
2008-12-11,4.68
2008-12-12,4.56
2008-12-15,4.8
2008-12-16,4.9
