Date,LONE
2008-07-01,29.0
2008-07-02,29.0
2008-07-03,29.0
2008-07-07,33.5
2008-07-08,33.5
2008-07-09,33.5
2008-07-10,28.5
2008-07-11,28.5
2008-07-14,28.5
2008-07-15,28.5
2008-07-16,27.5
2008-07-17,27.5
2008-07-18,27.0
2008-07-21,27.0
2008-07-22,27.0
2008-07-23,27.0
2008-07-24,25.0
2008-07-25,27.5
2008-07-28,27.5
2008-07-29,27.5
2008-07-30,27.0
2008-07-31,25.0
2008-08-01,26.5
2008-08-04,26.5
2008-08-05,25.0
2008-08-06,25.0
2008-08-07,23.0
2008-08-08,23.0
2008-08-11,23.0
2008-08-12,23.0
2008-08-13,23.0
2008-08-14,21.0
2008-08-15,20.0
2008-08-18,20.0
2008-08-19,21.5
2008-08-20,21.5
2008-08-21,21.5
2008-08-22,21.5
2008-08-25,19.0
2008-08-26,19.0
2008-08-27,22.5
2008-08-28,23.0
2008-08-29,21.5
2008-09-02,20.0
2008-09-03,20.0
2008-09-04,20.0
2008-09-05,21.5
2008-09-08,21.5
2008-09-09,21.0
2008-09-10,21.0
2008-09-11,21.0
2008-09-12,21.0
2008-09-15,19.0
2008-09-16,19.0
2008-09-17,16.5
2008-09-18,17.0
2008-09-19,17.0
2008-09-22,17.0
2008-09-23,17.0
2008-09-24,20.5
2008-09-25,20.5
2008-09-26,20.5
2008-09-29,20.5
2008-09-30,20.0
2008-10-01,20.0
2008-10-02,20.0
2008-10-03,20.0
2008-10-06,15.5
2008-10-07,17.5
2008-10-08,16.5
2008-10-09,16.5
2008-10-10,15.0
2008-10-13,14.5
2008-10-14,14.5
2008-10-15,14.5
2008-10-16,15.0
2008-10-17,13.0
2008-10-20,14.0
2008-10-21,13.5
2008-10-22,13.5
2008-10-23,13.5
2008-10-24,15.0
2008-10-27,15.0
2008-10-28,15.0
2008-10-29,15.0
2008-10-30,15.0
2008-10-31,15.0
2008-11-03,14.0
2008-11-04,17.0
2008-11-05,16.5
2008-11-06,16.5
2008-11-07,16.5
2008-11-10,16.5
2008-11-11,16.5
2008-11-12,16.5
2008-11-13,13.0
2008-11-14,11.5
2008-11-17,11.5
2008-11-18,11.5
2008-11-19,14.0
2008-11-20,14.0
2008-11-21,14.0
2008-11-24,14.0
2008-11-25,14.0
2008-11-26,14.0
2008-11-28,14.0
2008-12-01,14.0
2008-12-02,14.0
2008-12-03,12.0
2008-12-04,12.0
