Date,AGN
1993-02-17,7.125
1993-02-18,6.8125
1993-02-19,6.75
1993-02-22,6.125
1993-02-23,6.25
1993-02-24,7.25
1993-02-25,7.125
1993-02-26,7.125
1993-03-01,7.3125
1993-03-02,7.75
1993-03-03,8.25
1993-03-04,8.125
1993-03-05,7.875
1993-03-08,7.875
1993-03-09,8.0
1993-03-10,8.0
1993-03-11,8.375
1993-03-12,8.375
1993-03-15,8.125
1993-03-16,8.125
1993-03-17,8.1875
1993-03-18,8.25
1993-03-19,8.375
1993-03-22,8.25
1993-03-23,8.25
1993-03-24,8.25
1993-03-25,7.875
1993-03-26,8.125
1993-03-29,8.375
1993-03-30,8.375
1993-03-31,8.875
1993-04-01,8.625
1993-04-02,8.75
1993-04-05,8.75
1993-04-06,8.75
1993-04-07,8.75
1993-04-08,8.75
1993-04-12,8.625
1993-04-13,8.75
1993-04-14,8.4375
1993-04-15,8.125
1993-04-16,7.375
1993-04-19,7.375
1993-04-20,7.625
1993-04-21,8.0
1993-04-22,8.0
1993-04-23,7.875
1993-04-26,7.625
1993-04-27,7.125
1993-04-28,7.25
1993-04-29,7.5
1993-04-30,7.5
1993-05-03,7.5
1993-05-04,7.75
1993-05-05,7.375
1993-05-06,7.625
1993-05-07,7.5
1993-05-10,7.625
1993-05-11,7.625
1993-05-12,7.625
1993-05-13,7.375
1993-05-14,7.25
1993-05-17,7.4375
1993-05-18,7.25
1993-05-19,7.5
1993-05-20,7.5
1993-05-21,7.125
1993-05-24,7.125
1993-05-25,7.125
1993-05-26,7.375
1993-05-27,7.5
1993-05-28,7.5
1993-06-01,7.5
1993-06-02,7.5
1993-06-03,7.5
1993-06-04,7.625
1993-06-07,7.5
1993-06-08,7.5
1993-06-09,7.625
1993-06-10,7.625
1993-06-11,7.375
1993-06-14,7.375
1993-06-15,8.5
1993-06-16,8.25
1993-06-17,8.375
1993-06-18,8.875
1993-06-21,9.375
1993-06-22,10.5
1993-06-23,10.0
1993-06-24,10.625
1993-06-25,10.3125
1993-06-28,10.75
1993-06-29,10.25
1993-06-30,10.3125
1993-07-01,10.8125
1993-07-02,10.5
1993-07-06,10.625
1993-07-07,10.625
1993-07-08,10.4375
1993-07-09,10.4375
1993-07-12,10.4375
1993-07-13,10.75
1993-07-14,10.75
1993-07-15,11.0
1993-07-16,10.75
1993-07-19,10.625
1993-07-20,10.5625
1993-07-21,10.5625
1993-07-22,10.5
1993-07-23,10.375
1993-07-26,11.0
1993-07-27,11.25
1993-07-28,12.375
1993-07-29,11.75
1993-07-30,12.125
1993-08-02,12.875
1993-08-03,12.75
1993-08-04,12.875
1993-08-05,13.125
1993-08-06,13.0
1993-08-09,12.875
1993-08-10,12.625
1993-08-11,12.5
1993-08-12,12.6875
1993-08-13,12.625
1993-08-16,12.5
1993-08-17,12.4375
1993-08-18,12.5
1993-08-19,12.375
1993-08-20,12.375
1993-08-23,12.625
1993-08-24,12.625
1993-08-25,12.25
1993-08-26,12.25
1993-08-27,11.8125
1993-08-30,12.25
1993-08-31,13.0
1993-09-01,12.875
1993-09-02,12.875
1993-09-03,13.0
1993-09-07,14.125
1993-09-08,14.125
1993-09-09,13.75
1993-09-10,14.75
1993-09-13,14.75
1993-09-14,14.875
1993-09-15,14.75
1993-09-16,14.125
1993-09-17,14.25
1993-09-20,14.375
1993-09-21,14.625
1993-09-22,14.625
1993-09-23,14.5
1993-09-24,14.5
1993-09-27,14.875
1993-09-28,14.625
1993-09-29,14.6875
1993-09-30,14.75
1993-10-01,14.625
1993-10-04,13.75
1993-10-05,14.125
1993-10-06,14.125
1993-10-07,14.125
1993-10-08,14.0625
1993-10-11,15.25
1993-10-12,15.875
1993-10-13,17.125
1993-10-14,16.625
1993-10-15,17.25
1993-10-18,18.75
1993-10-19,17.625
1993-10-20,16.75
1993-10-21,16.375
1993-10-22,16.75
1993-10-25,16.875
1993-10-26,16.5625
1993-10-27,15.875
1993-10-28,14.4375
1993-10-29,15.125
1993-11-01,15.125
1993-11-02,15.125
1993-11-03,15.125
1993-11-04,13.75
1993-11-05,13.5
1993-11-08,14.75
1993-11-09,15.375
1993-11-10,14.875
1993-11-11,15.0
1993-11-12,14.75
1993-11-15,15.0
1993-11-16,14.625
1993-11-17,14.75
1993-11-18,14.75
1993-11-19,14.75
1993-11-22,14.25
1993-11-23,14.25
1993-11-24,14.5
1993-11-26,14.25
1993-11-29,14.25
1993-11-30,14.625
1993-12-01,13.5
1993-12-02,14.0
1993-12-03,14.125
1993-12-06,13.25
1993-12-07,12.9375
1993-12-08,12.625
1993-12-09,12.375
1993-12-10,12.375
1993-12-13,12.125
1993-12-14,12.5
1993-12-15,12.5
1993-12-16,12.3125
1993-12-17,12.5
1993-12-20,12.75
1993-12-21,13.0
1993-12-22,13.125
1993-12-23,13.375
1993-12-27,13.125
1993-12-28,12.625
1993-12-29,12.375
1993-12-30,12.5
1993-12-31,12.625
1994-01-03,11.75
1994-01-04,11.25
1994-01-05,12.25
1994-01-06,12.625
1994-01-07,12.0
1994-01-10,12.125
1994-01-11,12.0
1994-01-12,12.25
1994-01-13,12.625
1994-01-14,13.125
1994-01-17,13.125
1994-01-18,13.375
1994-01-19,13.625
1994-01-20,13.9375
1994-01-21,14.0
1994-01-24,14.0
1994-01-25,13.875
1994-01-26,14.0
1994-01-27,13.625
1994-01-28,13.625
1994-01-31,13.875
1994-02-01,13.75
1994-02-02,13.5
1994-02-03,13.25
1994-02-04,11.625
1994-02-07,12.125
1994-02-08,11.875
1994-02-09,11.75
1994-02-10,11.875
1994-02-11,11.875
1994-02-14,11.875
1994-02-15,11.75
1994-02-16,11.375
1994-02-17,10.75
1994-02-18,10.125
1994-02-22,9.375
1994-02-23,10.0
1994-02-24,10.0
1994-02-25,9.25
1994-02-28,9.875
1994-03-01,10.375
1994-03-02,10.4375
1994-03-03,10.625
1994-03-04,10.625
1994-03-07,10.0
1994-03-08,9.5
1994-03-09,9.25
1994-03-10,9.0625
1994-03-11,8.875
1994-03-14,8.9375
1994-03-15,9.25
1994-03-16,9.25
1994-03-17,8.875
1994-03-18,8.5
1994-03-21,8.8125
1994-03-22,8.5
1994-03-23,8.125
1994-03-24,8.0
1994-03-25,8.375
1994-03-28,8.375
1994-03-29,7.9375
1994-03-30,8.125
1994-03-31,7.625
1994-04-04,7.5
1994-04-05,8.0
1994-04-06,8.0
1994-04-07,7.625
1994-04-08,7.625
1994-04-11,7.875
1994-04-12,7.25
1994-04-13,7.125
1994-04-14,7.125
1994-04-15,7.0
1994-04-18,6.75
1994-04-19,6.5625
1994-04-20,6.5
1994-04-21,6.875
1994-04-22,7.625
1994-04-25,8.3125
1994-04-26,7.875
1994-04-28,7.8125
1994-04-29,8.0
1994-05-02,8.625
1994-05-03,8.375
1994-05-04,8.625
1994-05-05,8.625
1994-05-06,8.625
1994-05-09,8.375
1994-05-10,8.4375
1994-05-11,8.5
1994-05-12,8.5625
1994-05-13,8.5
1994-05-16,8.4375
1994-05-17,8.375
1994-05-18,8.5
1994-05-19,8.625
1994-05-20,8.5
1994-05-23,8.5
1994-05-24,8.375
1994-05-25,8.625
1994-05-26,8.5625
1994-05-27,8.4375
1994-05-31,8.625
1994-06-01,8.75
1994-06-02,9.25
1994-06-03,9.625
1994-06-06,9.25
1994-06-07,9.25
1994-06-08,8.875
1994-06-09,9.125
1994-06-10,9.25
1994-06-13,9.375
1994-06-14,9.125
1994-06-15,9.3125
1994-06-16,9.125
1994-06-17,9.5
1994-06-20,9.25
1994-06-21,9.5
1994-06-22,9.625
1994-06-23,9.25
1994-06-24,8.75
1994-06-27,8.75
1994-06-28,8.75
1994-06-29,8.875
1994-06-30,9.25
1994-07-01,9.375
1994-07-05,9.625
1994-07-06,9.5625
1994-07-07,9.375
1994-07-08,9.375
1994-07-11,9.25
1994-07-12,9.375
1994-07-13,9.25
1994-07-14,8.75
1994-07-15,8.625
1994-07-18,8.625
1994-07-19,8.75
1994-07-20,8.875
1994-07-21,8.5
1994-07-22,8.125
1994-07-25,8.625
1994-07-26,8.5
1994-07-27,9.0
1994-07-28,8.8125
1994-07-29,8.625
1994-08-01,8.8125
1994-08-02,8.75
1994-08-03,9.25
1994-08-04,9.375
1994-08-05,9.625
1994-08-08,9.25
1994-08-09,10.0
1994-08-10,10.0
1994-08-11,10.0
1994-08-12,9.875
1994-08-15,9.625
1994-08-16,9.875
1994-08-17,10.0
1994-08-18,10.0625
1994-08-19,10.1875
1994-08-22,10.125
1994-08-23,10.375
1994-08-24,11.375
1994-08-25,11.625
1994-08-26,11.625
1994-08-29,11.375
1994-08-30,11.375
1994-08-31,11.4375
1994-09-01,11.375
1994-09-02,11.3125
1994-09-06,11.3125
1994-09-07,12.0
1994-09-08,12.625
1994-09-09,12.6875
1994-09-12,12.4375
1994-09-13,12.5
1994-09-14,12.375
1994-09-15,12.625
1994-09-16,12.5625
1994-09-19,12.375
1994-09-20,12.5
1994-09-21,12.4375
1994-09-22,12.25
1994-09-23,12.25
1994-09-26,12.0
1994-09-27,12.0
1994-09-28,12.625
1994-09-29,12.5625
1994-09-30,12.625
1994-10-03,12.625
1994-10-04,12.5
1994-10-05,12.5625
1994-10-06,12.53125
1994-10-07,12.5625
1994-10-10,13.375
1994-10-11,13.875
1994-10-12,13.90625
1994-10-13,13.4375
1994-10-14,13.375
1994-10-17,13.625
1994-10-18,13.5625
1994-10-19,13.375
1994-10-20,13.375
1994-10-21,13.375
1994-10-24,13.375
1994-10-25,13.25
1994-10-26,13.0
1994-10-27,12.75
1994-10-28,13.25
1994-10-31,13.15625
1994-11-01,13.1875
1994-11-02,13.125
1994-11-03,13.25
1994-11-04,13.25
1994-11-07,13.0625
1994-11-08,12.875
1994-11-09,13.0
1994-11-10,13.125
1994-11-11,13.0
1994-11-14,13.0625
1994-11-15,13.125
1994-11-16,12.9375
1994-11-17,12.875
1994-11-18,12.9375
1994-11-21,12.75
1994-11-22,11.75
1994-11-23,12.0
1994-11-25,12.25
1994-11-28,12.5
1994-11-29,12.625
1994-11-30,12.75
1994-12-01,12.75
1994-12-02,13.0
1994-12-05,12.875
1994-12-06,13.0625
1994-12-07,12.875
1994-12-08,12.90625
1994-12-09,12.75
1994-12-12,12.875
1994-12-13,12.75
1994-12-14,13.0
1994-12-15,13.625
1994-12-16,14.0
1994-12-19,14.375
1994-12-20,14.3125
1994-12-21,12.75
1994-12-22,13.125
1994-12-23,13.25
1994-12-27,13.625
1994-12-28,13.1875
1994-12-29,13.0
1994-12-30,13.125
1995-01-03,12.875
1995-01-04,11.5625
1995-01-05,12.0
1995-01-06,11.875
1995-01-09,11.875
1995-01-10,10.75
1995-01-11,10.5
1995-01-12,11.0625
1995-01-13,11.0
1995-01-16,11.625
1995-01-17,11.375
1995-01-18,11.25
1995-01-19,11.5
1995-01-20,11.5
1995-01-23,11.125
1995-01-24,11.25
1995-01-25,12.5625
1995-01-26,12.625
1995-01-27,12.8125
1995-01-30,12.625
1995-01-31,12.375
1995-02-01,12.4375
1995-02-02,12.625
