Date,RSG
1998-07-01,17.0
1998-07-02,17.125
1998-07-06,17.25
1998-07-07,17.0
1998-07-08,17.125
1998-07-09,17.25
1998-07-10,17.208334
1998-07-13,17.166666
1998-07-14,17.041666
1998-07-15,17.333334
1998-07-16,17.125
1998-07-17,17.333334
1998-07-20,18.25
1998-07-21,17.708334
1998-07-22,17.083334
1998-07-23,17.0
1998-07-24,17.333334
1998-07-27,17.25
1998-07-28,16.666666
1998-07-29,16.416666
1998-07-30,16.666666
1998-07-31,16.666666
1998-08-03,16.25
1998-08-04,15.333332999999998
1998-08-05,14.625
1998-08-06,14.583332999999998
1998-08-07,14.75
1998-08-10,15.416667000000002
1998-08-11,14.666667000000002
1998-08-12,14.666667000000002
1998-08-13,14.5
1998-08-14,14.666667000000002
1998-08-17,14.666667000000002
1998-08-18,14.666667000000002
1998-08-19,14.625
1998-08-20,14.666667000000002
1998-08-21,13.666667000000002
1998-08-24,13.791667000000002
1998-08-25,13.875
1998-08-26,13.958332999999998
1998-08-27,12.583333
1998-08-28,11.25
1998-08-31,10.75
1998-09-01,10.833333
1998-09-02,10.583333
1998-09-03,10.583333
1998-09-04,10.583333
1998-09-08,11.166667
1998-09-09,10.75
1998-09-10,9.875
1998-09-11,9.958333
1998-09-14,9.958333
1998-09-15,9.166667
1998-09-16,9.666667
1998-09-17,10.125
1998-09-18,10.166667
1998-09-21,10.208333
1998-09-22,11.5
1998-09-23,13.291667000000002
1998-09-24,13.0
1998-09-25,13.125
1998-09-28,13.25
1998-09-29,12.833333
1998-09-30,13.0
1998-10-01,13.25
1998-10-02,12.666667
1998-10-05,12.958333
1998-10-06,12.625
1998-10-07,10.166667
1998-10-08,9.666667
1998-10-09,10.916667
1998-10-12,11.291667
1998-10-13,11.0
1998-10-14,10.833333
1998-10-15,10.791667
1998-10-16,10.666667
1998-10-19,11.166667
1998-10-20,11.166667
1998-10-21,11.041667
1998-10-22,11.333333
1998-10-23,11.375
1998-10-26,11.083333
1998-10-27,11.125
1998-10-28,11.333333
1998-10-29,12.583333
1998-10-30,14.583332999999998
1998-11-02,14.791667000000002
1998-11-03,15.333332999999998
1998-11-04,16.0
1998-11-05,15.5
1998-11-06,14.416667000000002
1998-11-09,13.75
1998-11-10,13.083333
1998-11-11,13.208332999999998
1998-11-12,13.125
1998-11-13,13.375
1998-11-16,13.416667000000002
1998-11-17,13.125
1998-11-18,12.75
1998-11-19,12.416667
1998-11-20,12.5
1998-11-23,12.166667
1998-11-24,12.625
1998-11-25,12.083333
1998-11-27,12.5
1998-11-30,12.416667
1998-12-01,12.375
1998-12-02,12.416667
1998-12-03,12.25
1998-12-04,12.041667
1998-12-07,12.083333
1998-12-08,11.75
1998-12-09,11.416667
1998-12-10,10.75
1998-12-11,11.25
1998-12-14,11.125
1998-12-15,11.541667
1998-12-16,12.0
1998-12-17,11.5
1998-12-18,11.375
1998-12-21,11.041667
1998-12-22,10.666667
1998-12-23,10.75
1998-12-24,10.916667
1998-12-28,10.875
1998-12-29,11.416667
1998-12-30,12.333333
1998-12-31,12.291667
1999-01-04,12.791667
1999-01-05,12.666667
1999-01-06,12.583333
1999-01-07,12.583333
1999-01-08,12.625
1999-01-11,12.583333
1999-01-12,12.291667
1999-01-13,12.125
1999-01-14,12.166667
1999-01-15,12.125
1999-01-19,12.625
1999-01-20,12.458333
1999-01-21,12.458333
1999-01-22,12.5
1999-01-25,12.666667
1999-01-26,12.875
1999-01-27,13.833332999999998
1999-01-28,14.0
1999-01-29,13.75
1999-02-01,13.791667000000002
1999-02-02,13.916667000000002
1999-02-03,14.25
1999-02-04,14.333332999999998
1999-02-05,13.583332999999998
1999-02-08,13.625
1999-02-09,13.458332999999998
1999-02-10,12.291667
1999-02-11,12.666667
1999-02-12,12.583333
1999-02-16,12.166667
1999-02-17,11.958333
1999-02-18,11.958333
1999-02-19,11.333333
1999-02-22,10.791667
1999-02-23,10.333333
1999-02-24,11.0
1999-02-25,11.25
1999-02-26,11.625
1999-03-01,11.666667
1999-03-02,11.291667
1999-03-03,11.125
1999-03-04,10.666667
1999-03-05,10.791667
1999-03-08,10.958333
1999-03-09,10.833333
1999-03-10,10.916667
1999-03-11,10.875
1999-03-12,10.666667
1999-03-15,10.041667
1999-03-16,9.833333
1999-03-17,10.208333
1999-03-18,10.375
1999-03-19,10.25
1999-03-22,10.041667
1999-03-23,9.833333
1999-03-24,9.75
1999-03-25,10.041667
1999-03-26,9.916667
1999-03-29,9.875
1999-03-30,9.958333
1999-03-31,10.791667
1999-04-01,10.5
1999-04-05,10.791667
1999-04-06,10.708333
1999-04-07,10.625
1999-04-08,10.666667
1999-04-09,11.0
1999-04-12,10.75
1999-04-13,10.875
1999-04-14,11.916667
1999-04-15,12.291667
1999-04-16,13.375
1999-04-19,13.75
1999-04-20,13.708332999999998
1999-04-21,13.0
1999-04-22,13.0
1999-04-23,12.625
1999-04-26,12.083333
1999-04-27,11.25
1999-04-28,12.666667
1999-04-29,13.333332999999998
1999-04-30,13.708332999999998
1999-05-03,14.75
1999-05-04,13.5
1999-05-05,14.375
1999-05-06,14.0
1999-05-07,13.916667000000002
1999-05-10,13.666667000000002
1999-05-11,13.833332999999998
1999-05-12,13.75
1999-05-13,13.833332999999998
1999-05-14,13.416667000000002
1999-05-17,13.541667000000002
1999-05-18,13.541667000000002
1999-05-19,14.083332999999998
1999-05-20,14.083332999999998
1999-05-21,14.083332999999998
1999-05-24,14.333332999999998
1999-05-25,14.125
1999-05-26,14.375
1999-05-27,14.458332999999998
1999-05-28,15.666667000000002
1999-06-01,15.416667000000002
1999-06-02,15.291667000000002
1999-06-03,15.083332999999998
1999-06-04,15.083332999999998
1999-06-07,14.833332999999998
1999-06-08,14.614582999999998
1999-06-09,14.666667000000002
1999-06-10,14.625
1999-06-11,14.666667000000002
1999-06-14,14.958332999999998
1999-06-15,15.041667000000002
1999-06-16,15.375
1999-06-17,15.333332999999998
1999-06-18,15.25
1999-06-21,15.208332999999998
1999-06-22,15.125
1999-06-23,15.333332999999998
1999-06-24,15.416667000000002
1999-06-25,16.041666
1999-06-28,16.0
1999-06-29,16.25
1999-06-30,16.5
1999-07-01,16.916666
1999-07-02,16.291666
1999-07-06,16.083334
1999-07-07,15.291667000000002
1999-07-08,14.625
1999-07-09,14.333332999999998
1999-07-12,14.25
1999-07-13,15.0
1999-07-14,15.0
1999-07-15,14.5
1999-07-16,14.5
1999-07-19,14.5
1999-07-20,14.25
1999-07-21,13.75
1999-07-22,13.791667000000002
1999-07-23,13.75
1999-07-26,13.5
1999-07-27,14.041667000000002
1999-07-28,14.083332999999998
1999-07-29,13.75
1999-07-30,13.458332999999998
1999-08-02,13.25
1999-08-03,13.25
1999-08-04,13.25
1999-08-05,13.333332999999998
1999-08-06,12.5
1999-08-09,12.666667
1999-08-10,12.5
1999-08-11,12.541667
1999-08-12,12.541667
1999-08-13,12.541667
1999-08-16,12.625
1999-08-17,12.625
1999-08-18,12.708333
1999-08-19,12.458333
1999-08-20,12.25
1999-08-23,12.041667
1999-08-24,11.583333
1999-08-25,11.208333
1999-08-26,10.916667
1999-08-27,11.0
1999-08-30,7.4166669999999995
1999-08-31,7.25
1999-09-01,7.0833330000000005
1999-09-02,7.3333330000000005
1999-09-03,7.25
1999-09-07,6.75
1999-09-08,7.25
1999-09-09,7.5416669999999995
1999-09-10,7.8333330000000005
1999-09-13,7.4166669999999995
1999-09-14,7.1666669999999995
1999-09-15,7.2916669999999995
1999-09-16,7.3333330000000005
1999-09-17,7.2083330000000005
1999-09-20,7.3333330000000005
1999-09-21,7.6666669999999995
1999-09-22,7.8333330000000005
1999-09-23,7.5416669999999995
1999-09-24,7.3333330000000005
1999-09-27,7.0
1999-09-28,7.0416669999999995
1999-09-29,6.875
1999-09-30,7.1666669999999995
1999-10-01,7.0
1999-10-04,7.0833330000000005
1999-10-05,7.0416669999999995
1999-10-06,6.8333330000000005
1999-10-07,6.6666669999999995
1999-10-08,6.5833330000000005
1999-10-11,6.6666669999999995
1999-10-12,6.875
1999-10-13,6.6666669999999995
1999-10-14,6.75
1999-10-15,6.5416669999999995
1999-10-18,6.4166669999999995
1999-10-19,6.25
1999-10-20,6.5
1999-10-21,6.2083330000000005
1999-10-22,6.6666669999999995
1999-10-25,6.6666669999999995
1999-10-26,6.5
1999-10-27,6.375
1999-10-28,7.9166669999999995
1999-10-29,8.166667
1999-11-01,8.75
1999-11-02,8.708333
1999-11-03,8.583333
1999-11-04,8.375
1999-11-05,8.0
1999-11-08,7.6666669999999995
1999-11-09,8.0
1999-11-10,7.9166669999999995
1999-11-11,7.7916669999999995
1999-11-12,7.875
1999-11-15,7.8333330000000005
1999-11-16,7.7083330000000005
1999-11-17,7.9166669999999995
1999-11-18,8.0
1999-11-19,8.125
1999-11-22,8.25
1999-11-23,8.458333
1999-11-24,8.125
1999-11-26,8.0
1999-11-29,7.9583330000000005
1999-11-30,8.291667
1999-12-01,8.375
1999-12-02,8.25
1999-12-03,8.5
1999-12-06,8.375
1999-12-07,8.25
1999-12-08,8.208333
1999-12-09,7.75
1999-12-10,8.333333
1999-12-13,8.583333
1999-12-14,8.791667
1999-12-15,8.583333
1999-12-16,8.583333
1999-12-17,8.458333
1999-12-20,8.333333
1999-12-21,8.541667
1999-12-22,8.416667
1999-12-23,8.333333
1999-12-27,8.375
1999-12-28,8.291667
1999-12-29,9.125
1999-12-30,9.416667
1999-12-31,9.5
2000-01-03,9.416667
2000-01-04,8.833333
2000-01-05,8.666667
2000-01-06,8.625
2000-01-07,9.083333
2000-01-10,9.125
2000-01-11,8.916667
2000-01-12,8.958333
2000-01-13,9.0
2000-01-14,8.958333
2000-01-18,8.833333
2000-01-19,8.666667
2000-01-20,8.666667
2000-01-21,8.666667
2000-01-24,8.458333
2000-01-25,8.333333
2000-01-26,7.9166669999999995
2000-01-27,8.0
2000-01-28,7.8333330000000005
2000-01-31,7.8333330000000005
2000-02-01,7.4166669999999995
2000-02-02,7.4583330000000005
2000-02-03,7.2083330000000005
2000-02-04,7.6666669999999995
2000-02-07,7.5833330000000005
2000-02-08,7.5416669999999995
2000-02-09,7.3333330000000005
