Date,STI
1985-07-01,9.125
1985-07-02,9.34375
1985-07-03,9.3125
1985-07-05,9.34375
1985-07-08,9.34375
1985-07-09,9.28125
1985-07-10,9.3125
1985-07-11,9.34375
1985-07-12,9.3125
1985-07-15,9.34375
1985-07-16,9.40625
1985-07-17,9.40625
1985-07-18,9.3125
1985-07-19,9.40625
1985-07-22,9.5
1985-07-23,9.5
1985-07-24,9.375
1985-07-25,9.34375
1985-07-26,9.21875
1985-07-29,9.125
1985-07-30,9.0625
1985-07-31,8.9375
1985-08-01,8.875
1985-08-02,8.84375
1985-08-05,8.875
1985-08-06,8.6875
1985-08-07,8.5625
1985-08-08,8.75
1985-08-09,8.625
1985-08-12,8.59375
1985-08-13,8.5625
1985-08-14,8.5
1985-08-15,8.28125
1985-08-16,8.1875
1985-08-19,8.4375
1985-08-20,8.5625
1985-08-21,8.625
1985-08-22,8.5625
1985-08-23,8.46875
1985-08-26,8.71875
1985-08-27,8.4375
1985-08-28,8.5
1985-08-29,8.4375
1985-08-30,8.53125
1985-09-03,8.5625
1985-09-04,8.5625
1985-09-05,8.65625
1985-09-06,8.625
1985-09-09,8.71875
1985-09-10,8.53125
1985-09-11,8.53125
1985-09-12,8.3125
1985-09-13,8.125
1985-09-16,8.15625
1985-09-17,7.9375
1985-09-18,7.84375
1985-09-19,7.9375
1985-09-20,7.90625
1985-09-23,7.96875
1985-09-24,7.8125
1985-09-25,7.875
1985-09-26,7.78125
1985-09-30,7.90625
1985-10-01,7.96875
1985-10-02,8.0625
1985-10-03,8.375
1985-10-04,8.3125
1985-10-07,8.15625
1985-10-08,8.125
1985-10-09,8.1875
1985-10-10,8.21875
1985-10-11,8.21875
1985-10-14,8.25
1985-10-15,8.40625
1985-10-16,8.46875
1985-10-17,8.5
1985-10-18,8.6875
1985-10-21,8.75
1985-10-22,8.8125
1985-10-23,8.78125
1985-10-24,8.71875
1985-10-25,8.8125
1985-10-28,8.75
1985-10-29,8.8125
1985-10-30,8.75
1985-10-31,8.75
1985-11-01,8.84375
1985-11-04,8.8125
1985-11-05,8.84375
1985-11-06,8.84375
1985-11-07,8.875
1985-11-08,8.84375
