Date,DBI
2005-06-29,12.05
2005-06-30,12.475
2005-07-01,12.925
2005-07-05,13.175
2005-07-06,12.705
2005-07-07,12.95
2005-07-08,13.205
2005-07-11,13.325
2005-07-12,12.995
2005-07-13,12.675
2005-07-14,12.815
2005-07-15,12.45
2005-07-18,12.45
2005-07-19,12.625
2005-07-20,13.335
2005-07-21,13.45
2005-07-22,13.4
2005-07-25,13.555
2005-07-26,13.33
2005-07-27,13.05
2005-07-28,13.095
2005-07-29,13.25
2005-08-01,13.525
2005-08-02,13.425
2005-08-03,13.35
2005-08-04,12.735
2005-08-05,12.48
2005-08-08,12.295
2005-08-09,12.455
2005-08-10,12.665
2005-08-11,12.485
2005-08-12,12.39
2005-08-15,12.465
2005-08-16,12.265
2005-08-17,12.325
2005-08-18,12.485
2005-08-19,12.245
2005-08-22,12.255
2005-08-23,12.1
2005-08-24,11.86
2005-08-25,11.47
2005-08-26,11.365
2005-08-29,11.185
2005-08-30,10.975
2005-08-31,11.25
2005-09-01,11.105
2005-09-02,11.135
2005-09-06,11.37
2005-09-07,11.0
2005-09-08,11.075
2005-09-09,11.8
2005-09-12,11.85
2005-09-13,11.755
2005-09-14,11.925
2005-09-15,12.61
2005-09-16,12.585
2005-09-19,12.375
2005-09-20,12.0
2005-09-21,11.375
2005-09-22,11.13
2005-09-23,11.23
2005-09-26,11.63
2005-09-27,11.455
2005-09-28,11.225
2005-09-29,10.85
2005-09-30,10.6
2005-10-03,10.4
2005-10-04,10.15
2005-10-05,9.895
2005-10-06,9.775
2005-10-07,10.05
2005-10-10,9.41
2005-10-11,9.195
2005-10-12,8.855
2005-10-13,8.86
2005-10-14,9.235
2005-10-17,9.38
2005-10-18,9.13
2005-10-19,9.285
2005-10-20,9.11
2005-10-21,9.35
2005-10-24,9.85
2005-10-25,10.05
2005-10-26,10.205
2005-10-27,9.73
2005-10-28,9.935
2005-10-31,10.41
2005-11-01,10.43
2005-11-02,10.475
2005-11-03,11.375
2005-11-04,11.79
2005-11-07,11.965
2005-11-08,11.485
2005-11-09,11.34
2005-11-10,11.485
2005-11-11,11.81
2005-11-14,12.07
2005-11-15,11.425
2005-11-16,11.47
2005-11-17,11.925
2005-11-18,12.125
2005-11-21,11.875
2005-11-22,11.95
2005-11-23,11.96
2005-11-25,11.945
2005-11-28,12.075
2005-11-29,12.39
2005-11-30,12.755
2005-12-01,12.95
2005-12-02,13.095
2005-12-05,13.0
2005-12-06,13.045
2005-12-07,12.97
2005-12-08,13.045
2005-12-09,12.945
2005-12-12,12.86
2005-12-13,12.82
2005-12-14,12.85
2005-12-15,12.8
2005-12-16,12.895
2005-12-19,12.425
2005-12-20,12.47
2005-12-21,12.55
2005-12-22,12.65
2005-12-23,12.615
2005-12-27,12.5
2005-12-28,12.65
2005-12-29,13.015
2005-12-30,13.11
2006-01-03,12.875
2006-01-04,13.2
2006-01-05,13.225
2006-01-06,13.39
2006-01-09,13.41
2006-01-10,13.51
2006-01-11,13.59
2006-01-12,13.52
2006-01-13,13.395
2006-01-17,13.075
2006-01-18,12.935
2006-01-19,13.255
2006-01-20,13.195
2006-01-23,13.5
2006-01-24,13.715
2006-01-25,13.85
2006-01-26,13.775
2006-01-27,13.5
