Date,EIG
2007-01-31,19.969998999999998
2007-02-01,19.9
2007-02-02,19.799999
2007-02-05,19.700001
2007-02-06,20.049999
2007-02-07,20.66
2007-02-08,20.48
2007-02-09,20.65
2007-02-12,20.75
2007-02-13,20.639999
2007-02-14,22.790001
2007-02-15,22.0
2007-02-16,22.9
2007-02-20,23.299999
2007-02-21,22.440001000000002
2007-02-22,22.5
2007-02-23,21.799999
2007-02-26,21.299999
2007-02-27,20.01
2007-02-28,20.4
2007-03-01,20.290001
2007-03-02,20.09
2007-03-05,20.25
2007-03-06,20.459999
2007-03-07,20.35
2007-03-08,20.389999
2007-03-09,20.120001000000002
2007-03-12,20.110001
2007-03-13,19.74
2007-03-14,19.459999
2007-03-15,19.379998999999998
2007-03-16,19.27
2007-03-19,19.25
2007-03-20,19.17
2007-03-21,19.959999
2007-03-22,20.0
2007-03-23,20.190001000000002
2007-03-26,19.440001000000002
2007-03-27,19.1
2007-03-28,19.6
2007-03-29,20.030001000000002
2007-03-30,20.02
2007-04-02,19.440001000000002
2007-04-03,19.799999
2007-04-04,19.950001
2007-04-05,19.93
2007-04-09,19.950001
2007-04-10,19.84
2007-04-11,20.049999
2007-04-12,20.17
2007-04-13,20.26
2007-04-16,20.860001
2007-04-17,20.49
2007-04-18,20.129998999999998
2007-04-19,20.23
2007-04-20,20.09
2007-04-23,19.91
2007-04-24,19.879998999999998
2007-04-25,19.92
2007-04-26,19.889999
2007-04-27,19.799999
2007-04-30,19.83
2007-05-01,19.959999
2007-05-02,19.91
2007-05-03,19.83
2007-05-04,19.98
2007-05-07,19.950001
2007-05-08,19.780001000000002
2007-05-09,19.52
2007-05-10,19.32
2007-05-11,19.73
2007-05-14,19.719998999999998
2007-05-15,19.700001
2007-05-16,20.49
2007-05-17,20.190001000000002
2007-05-18,20.5
2007-05-21,20.75
2007-05-22,21.059998999999998
2007-05-23,21.16
2007-05-24,20.25
2007-05-25,20.530001000000002
2007-05-29,20.639999
2007-05-30,21.18
2007-05-31,21.200001
2007-06-01,21.4
2007-06-04,21.299999
2007-06-05,21.129998999999998
2007-06-06,21.129998999999998
2007-06-07,21.07
2007-06-08,21.34
2007-06-11,21.360001
2007-06-12,21.200001
2007-06-13,21.790001
2007-06-14,22.030001000000002
2007-06-15,22.07
2007-06-18,21.969998999999998
2007-06-19,22.1
2007-06-20,22.01
2007-06-21,21.620001000000002
2007-06-22,22.209999
2007-06-25,21.639999
2007-06-26,21.809998999999998
2007-06-27,21.469998999999998
2007-06-28,21.4
2007-06-29,21.24
2007-07-02,21.25
2007-07-03,21.23
2007-07-05,20.65
2007-07-06,20.540001
2007-07-09,20.709999
2007-07-10,20.209999
2007-07-11,20.530001000000002
2007-07-12,20.76
2007-07-13,20.66
2007-07-16,20.610001
2007-07-17,20.48
2007-07-18,20.49
2007-07-19,20.200001
2007-07-20,19.959999
2007-07-23,19.73
2007-07-24,18.75
2007-07-25,19.690001000000002
2007-07-26,19.110001
2007-07-27,18.290001
2007-07-30,18.290001
2007-07-31,18.379998999999998
2007-08-01,18.389999
2007-08-02,18.0
2007-08-03,16.83
2007-08-06,17.33
2007-08-07,17.639999
2007-08-08,18.790001
2007-08-09,17.559998999999998
2007-08-10,18.42
2007-08-13,18.4
2007-08-14,17.92
2007-08-15,17.219998999999998
2007-08-16,17.67
