Date,PULS
2019-03-04,50.009997999999996
2019-03-05,50.009997999999996
2019-03-06,50.021999
2019-03-07,50.026001
2019-03-08,50.029999
2019-03-11,50.040001000000004
2019-03-12,50.035
2019-03-13,50.049999
2019-03-14,50.060001
2019-03-15,50.060001
2019-03-18,50.080002
2019-03-19,50.080002
2019-03-20,50.095001
2019-03-21,50.110001000000004
2019-03-22,50.110001000000004
2019-03-25,50.110001000000004
2019-03-26,50.119999
2019-03-27,50.125
2019-03-28,50.125999
2019-03-29,50.134997999999996
2019-04-01,50.035
2019-04-02,50.040001000000004
2019-04-03,50.040001000000004
2019-04-04,50.040001000000004
2019-04-05,50.044998
2019-04-08,50.049999
2019-04-09,50.049999
2019-04-10,50.060001
2019-04-11,50.07
2019-04-12,50.080002
2019-04-15,50.077
2019-04-16,50.080002
2019-04-17,50.09
2019-04-18,50.108002
2019-04-22,50.110001000000004
2019-04-23,50.119999
2019-04-24,50.125
2019-04-25,50.119999
2019-04-26,50.150002
2019-04-29,50.134997999999996
2019-04-30,50.146999
2019-05-01,50.036999
2019-05-02,50.043999
2019-05-03,50.040001000000004
2019-05-06,50.049999
2019-05-07,50.055
2019-05-08,50.060001
2019-05-09,50.07
2019-05-10,50.080002
2019-05-13,50.080002
2019-05-14,50.084998999999996
2019-05-15,50.09
2019-05-16,50.099998
2019-05-17,50.095001
2019-05-20,50.099998
2019-05-21,50.110001000000004
2019-05-22,50.110001000000004
2019-05-23,50.115002000000004
2019-05-24,50.119999
2019-05-28,50.115002000000004
2019-05-29,50.130001
2019-05-30,50.129002
2019-05-31,50.16
2019-06-03,50.035
2019-06-04,50.029999
2019-06-05,50.035
2019-06-06,50.055
2019-06-07,50.040001000000004
2019-06-10,50.07
2019-06-11,50.064999
2019-06-12,50.07
2019-06-13,50.075001
2019-06-14,50.084998999999996
2019-06-17,50.080002
2019-06-18,50.097
2019-06-19,50.105
2019-06-20,50.125
2019-06-21,50.119999
2019-06-24,50.139998999999996
2019-06-25,50.139998999999996
2019-06-26,50.145
2019-06-27,50.150002
2019-06-28,50.16
2019-07-01,50.080002
2019-07-02,50.063999
2019-07-03,50.07
2019-07-05,50.07
2019-07-08,50.09
2019-07-09,50.07
2019-07-10,50.084998999999996
2019-07-11,50.084998999999996
2019-07-12,50.105
2019-07-15,50.115002000000004
2019-07-16,50.119999
2019-07-17,50.110001000000004
2019-07-18,50.125
2019-07-19,50.130001
2019-07-22,50.134997999999996
2019-07-23,50.145
2019-07-24,50.145
2019-07-25,50.16
2019-07-26,50.169998
2019-07-29,50.174999
2019-07-30,50.174999
2019-07-31,50.18
2019-08-01,50.118
2019-08-02,50.080002
2019-08-05,50.080002
2019-08-06,50.049999
