Date,PBF
2012-12-13,26.25
2012-12-14,27.02
2012-12-17,28.040001
2012-12-18,27.870001000000002
2012-12-19,27.6
2012-12-20,27.83
2012-12-21,27.92
2012-12-24,27.889999
2012-12-26,28.059998999999998
2012-12-27,28.299999
2012-12-28,27.809998999999998
2012-12-31,29.049999
2013-01-02,29.35
2013-01-03,28.299999
2013-01-04,28.07
2013-01-07,27.5
2013-01-08,27.35
2013-01-09,27.469998999999998
2013-01-10,27.559998999999998
2013-01-11,28.120001000000002
2013-01-14,28.02
2013-01-15,28.77
2013-01-16,29.209999
2013-01-17,29.42
2013-01-18,28.5
2013-01-22,29.049999
2013-01-23,28.940001000000002
2013-01-24,29.469998999999998
2013-01-25,29.950001
2013-01-28,31.889999
2013-01-29,33.0
2013-01-30,33.200001
2013-01-31,33.400002
2013-02-01,33.299999
2013-02-04,33.619999
2013-02-05,35.919998
2013-02-06,35.880001
2013-02-07,36.349998
2013-02-08,38.759997999999996
2013-02-11,38.169998
2013-02-12,37.779999
2013-02-13,38.549999
2013-02-14,38.5
2013-02-15,38.43
2013-02-19,38.700001
2013-02-20,38.25
2013-02-21,38.169998
2013-02-22,40.169998
2013-02-25,39.330002
2013-02-26,40.0
2013-02-27,40.68
2013-02-28,41.75
2013-03-01,41.349998
2013-03-04,41.98
2013-03-05,41.25
2013-03-06,40.290001000000004
2013-03-07,39.990002000000004
2013-03-08,39.450001
2013-03-11,37.889998999999996
2013-03-12,39.060001
2013-03-13,37.75
2013-03-14,38.060001
2013-03-15,39.700001
2013-03-18,39.59
2013-03-19,40.0
2013-03-20,41.189999
2013-03-21,40.200001
2013-03-22,40.77
2013-03-25,39.470001
2013-03-26,38.93
2013-03-27,37.599998
2013-03-28,37.169998
2013-04-01,36.91
2013-04-02,36.23
2013-04-03,33.310001
2013-04-04,34.040001000000004
2013-04-05,34.02
2013-04-08,33.48
2013-04-09,34.009997999999996
2013-04-10,34.41
2013-04-11,32.25
2013-04-12,31.4
2013-04-15,30.4
2013-04-16,31.24
2013-04-17,29.41
2013-04-18,29.1
2013-04-19,29.950001
2013-04-22,31.33
2013-04-23,31.4
2013-04-24,31.700001
2013-04-25,32.040001000000004
2013-04-26,31.719998999999998
2013-04-29,32.25
2013-04-30,30.450001
2013-05-01,29.450001
2013-05-02,27.74
2013-05-03,28.49
2013-05-06,29.83
2013-05-07,31.5
2013-05-08,30.870001000000002
2013-05-09,31.379998999999998
2013-05-10,30.02
2013-05-13,29.389999
2013-05-14,30.129998999999998
2013-05-15,30.98
2013-05-16,31.299999
2013-05-17,31.360001
2013-05-20,32.669998
2013-05-21,31.82
2013-05-22,30.84
2013-05-23,30.59
2013-05-24,29.709999
2013-05-28,28.59
2013-05-29,29.58
2013-05-30,29.200001
2013-05-31,29.17
2013-06-03,28.41
2013-06-04,28.15
2013-06-05,27.99
2013-06-06,27.440001000000002
2013-06-07,27.040001
2013-06-10,27.0
2013-06-11,26.5
2013-06-12,26.540001
2013-06-13,26.75
2013-06-14,26.540001
2013-06-17,26.25
2013-06-18,26.690001000000002
2013-06-19,26.58
2013-06-20,25.639999
2013-06-21,24.84
2013-06-24,24.15
2013-06-25,24.809998999999998
2013-06-26,24.639999
2013-06-27,25.139999
2013-06-28,25.9
2013-07-01,24.639999
2013-07-02,23.639999
2013-07-03,23.18
2013-07-05,22.77
2013-07-08,22.82
2013-07-09,23.35
2013-07-10,22.02
2013-07-11,22.950001
2013-07-12,23.110001
2013-07-15,23.0
2013-07-16,22.76
2013-07-17,22.870001000000002
2013-07-18,21.92
2013-07-19,21.68
2013-07-22,22.17
2013-07-23,22.780001000000002
2013-07-24,22.43
2013-07-25,23.0
2013-07-26,23.09
2013-07-29,23.1
2013-07-30,23.08
2013-07-31,22.889999
2013-08-01,22.5
2013-08-02,23.0
2013-08-05,22.42
2013-08-06,24.57
2013-08-07,23.43
2013-08-08,24.040001
2013-08-09,23.41
2013-08-12,23.639999
2013-08-13,23.040001
2013-08-14,22.639999
2013-08-15,22.5
2013-08-16,22.17
2013-08-19,22.02
2013-08-20,21.84
2013-08-21,21.879998999999998
2013-08-22,22.540001
2013-08-23,22.809998999999998
2013-08-26,22.530001000000002
2013-08-27,21.93
2013-08-28,21.74
2013-08-29,21.9
2013-08-30,21.969998999999998
2013-09-03,22.83
2013-09-04,22.889999
2013-09-05,22.379998999999998
2013-09-06,21.809998999999998
2013-09-09,21.4
2013-09-10,21.42
2013-09-11,20.98
2013-09-12,21.549999
2013-09-13,22.379998999999998
2013-09-16,22.870001000000002
2013-09-17,22.92
2013-09-18,23.09
2013-09-19,22.23
2013-09-20,22.25
2013-09-23,22.59
2013-09-24,22.530001000000002
2013-09-25,22.719998999999998
2013-09-26,22.700001
2013-09-27,22.6
2013-09-30,22.450001
2013-10-01,22.200001
2013-10-02,22.15
2013-10-03,22.549999
