Date,BP
1977-01-03,4.851563
1977-01-04,4.8125
1977-01-05,4.65625
1977-01-06,4.695313
1977-01-07,4.695313
1977-01-10,4.726563
1977-01-11,4.6875
1977-01-12,4.640625
1977-01-13,4.75
1977-01-14,4.6875
1977-01-17,4.703125
1977-01-18,4.679688
1977-01-19,4.828125
1977-01-20,4.75
1977-01-21,4.726563
1977-01-24,4.78125
1977-01-25,4.789063
1977-01-26,4.8125
1977-01-27,4.804688
1977-01-28,4.8125
1977-01-31,4.78125
1977-02-01,4.796875
1977-02-02,4.796875
1977-02-03,4.789063
1977-02-04,4.820313
1977-02-07,4.890625
1977-02-08,5.046875
1977-02-09,5.21875
1977-02-10,5.265625
1977-02-11,5.265625
1977-02-14,5.234375
1977-02-15,5.25
1977-02-16,5.203125
1977-02-17,5.109375
1977-02-18,5.109375
1977-02-22,5.078125
1977-02-23,5.078125
1977-02-24,5.015625
1977-02-25,5.023438
1977-02-28,5.03125
1977-03-01,5.09375
1977-03-02,5.148438
1977-03-03,5.195313
1977-03-04,5.3125
1977-03-07,5.28125
1977-03-08,5.296875
1977-03-09,5.296875
1977-03-10,5.1875
1977-03-11,5.1875
1977-03-14,5.164063
1977-03-15,5.164063
1977-03-16,5.164063
1977-03-17,5.203125
1977-03-18,5.234375
1977-03-21,5.125
1977-03-22,5.117188
1977-03-23,5.054688
1977-03-24,4.984375
1977-03-25,4.960938
1977-03-28,4.976563
1977-03-29,5.023438
1977-03-30,5.023438
1977-03-31,5.03125
1977-04-01,5.03125
1977-04-04,5.0
1977-04-05,5.03125
1977-04-06,5.1875
1977-04-07,5.1875
1977-04-11,5.1875
1977-04-12,5.25
1977-04-13,5.46875
1977-04-14,5.4375
1977-04-15,5.359375
1977-04-18,5.34375
1977-04-19,5.304688
1977-04-20,5.3125
1977-04-21,5.453125
1977-04-22,5.4375
1977-04-25,5.4375
1977-04-26,5.4375
1977-04-27,5.515625
1977-04-28,5.46875
1977-04-29,5.460938
1977-05-02,5.460938
1977-05-03,5.453125
1977-05-04,5.492188
1977-05-05,5.515625
1977-05-06,5.5
1977-05-09,5.46875
1977-05-10,5.59375
1977-05-11,5.578125
1977-05-12,5.5625
1977-05-13,5.578125
1977-05-16,5.625
1977-05-17,5.59375
1977-05-18,5.65625
1977-05-19,5.6875
1977-05-20,5.648438
1977-05-23,5.632813
1977-05-24,5.5625
1977-05-25,5.445313
1977-05-26,5.453125
1977-05-27,5.429688
1977-05-31,5.4375
1977-06-01,5.453125
1977-06-02,5.421875
1977-06-03,5.460938
1977-06-06,5.507813
1977-06-07,5.476563
1977-06-08,5.5
1977-06-09,5.492188
1977-06-10,5.453125
1977-06-13,5.46875
1977-06-14,5.578125
1977-06-15,5.578125
1977-06-16,5.5625
1977-06-17,5.546875
1977-06-20,5.539063
1977-06-21,5.5625
1977-06-22,5.554688
1977-06-23,5.617188
1977-06-24,5.601563
1977-06-27,5.59375
1977-06-28,5.585938
1977-06-29,5.59375
1977-06-30,5.546875
1977-07-01,5.539063
1977-07-05,5.484375
1977-07-06,5.46875
1977-07-07,5.445313
1977-07-08,5.4375
1977-07-11,5.265625
1977-07-12,5.203125
1977-07-13,5.234375
1977-07-15,5.21875
1977-07-18,5.210938
1977-07-19,5.273438
1977-07-20,5.25
1977-07-21,5.1875
1977-07-22,5.265625
1977-07-25,5.1875
1977-07-26,5.03125
1977-07-27,4.890625
1977-07-28,5.0
1977-07-29,4.984375
1977-08-01,4.960938
1977-08-02,4.890625
1977-08-03,4.84375
1977-08-04,4.875
1977-08-05,4.90625
1977-08-08,4.875
1977-08-09,4.9375
1977-08-10,4.96875
1977-08-11,5.109375
1977-08-12,5.078125
1977-08-15,4.992188
1977-08-16,5.046875
1977-08-17,5.046875
1977-08-18,5.0625
1977-08-19,4.953125
1977-08-22,4.914063
1977-08-23,4.890625
1977-08-24,4.882813
1977-08-25,4.8125
1977-08-26,4.84375
1977-08-29,4.890625
1977-08-30,4.90625
1977-08-31,4.953125
1977-09-01,4.921875
1977-09-02,4.9375
1977-09-06,4.976563
1977-09-07,5.046875
1977-09-08,5.03125
1977-09-09,5.023438
1977-09-12,4.9375
1977-09-13,4.898438
1977-09-14,4.9375
1977-09-15,4.9375
1977-09-16,4.898438
1977-09-19,4.875
1977-09-20,4.828125
1977-09-21,4.796875
1977-09-22,4.765625
1977-09-23,4.78125
1977-09-26,4.78125
1977-09-27,4.773438
1977-09-28,4.828125
1977-09-29,4.984375
1977-09-30,5.03125
1977-10-03,5.023438
1977-10-04,4.90625
1977-10-05,4.867188
1977-10-06,4.90625
1977-10-07,4.875
1977-10-10,4.890625
1977-10-11,4.890625
1977-10-12,4.890625
1977-10-13,4.890625
1977-10-14,4.820313
1977-10-17,4.8125
1977-10-18,4.8125
1977-10-19,4.78125
1977-10-20,4.796875
1977-10-21,4.75
1977-10-24,4.59375
1977-10-25,4.578125
1977-10-26,4.625
1977-10-27,4.65625
1977-10-28,4.625
1977-10-31,4.601563
1977-11-01,4.578125
1977-11-02,4.539063
1977-11-03,4.546875
1977-11-04,4.625
1977-11-07,4.664063
1977-11-08,4.710938
1977-11-09,4.710938
1977-11-10,4.820313
1977-11-11,4.859375
1977-11-14,4.867188
1977-11-15,4.921875
1977-11-16,4.828125
1977-11-17,4.796875
1977-11-18,4.6875
1977-11-21,4.6875
1977-11-22,4.710938
1977-11-23,4.890625
1977-11-25,4.914063
1977-11-28,4.875
1977-11-29,4.757813
1977-11-30,4.71875
1977-12-01,4.523438
1977-12-02,4.40625
1977-12-05,4.40625
1977-12-06,4.34375
1977-12-07,4.335938
1977-12-08,4.359375
1977-12-09,4.351563
1977-12-12,4.390625
1977-12-13,4.4375
1977-12-14,4.421875
1977-12-15,4.382813
1977-12-16,4.398438
1977-12-19,4.390625
1977-12-20,4.390625
1977-12-21,4.40625
1977-12-22,4.4375
1977-12-23,4.46875
1977-12-27,4.421875
1977-12-28,4.421875
1977-12-29,4.40625
1977-12-30,4.429688
1978-01-03,4.40625
1978-01-04,4.390625
1978-01-05,4.390625
1978-01-06,4.375
1978-01-09,4.25
1978-01-10,4.125
1978-01-11,4.070313
1978-01-12,4.125
1978-01-13,4.09375
1978-01-16,4.09375
1978-01-17,4.140625
1978-01-18,4.1875
1978-01-19,4.09375
1978-01-20,4.0625
1978-01-23,4.0
1978-01-24,3.984375
1978-01-25,4.0625
1978-01-26,4.109375
1978-01-27,4.078125
1978-01-30,4.109375
1978-01-31,4.132813
1978-02-01,4.203125
1978-02-02,4.257813
1978-02-03,4.1875
1978-02-06,4.226563
1978-02-07,4.234375
1978-02-08,4.273438
1978-02-09,4.289063
1978-02-10,4.257813
1978-02-13,4.234375
1978-02-14,4.21875
1978-02-15,4.21875
1978-02-16,4.171875
1978-02-17,4.203125
1978-02-21,4.125
1978-02-22,4.117188
1978-02-23,4.125
1978-02-24,4.1875
1978-02-27,4.109375
1978-02-28,3.765625
1978-03-01,3.7890629999999996
1978-03-02,3.84375
1978-03-03,3.828125
1978-03-06,3.84375
1978-03-07,3.828125
1978-03-08,3.78125
1978-03-09,3.703125
1978-03-10,3.6953129999999996
1978-03-13,3.7109379999999996
1978-03-14,3.703125
1978-03-15,3.671875
1978-03-16,3.671875
1978-03-17,3.7109379999999996
1978-03-20,3.765625
1978-03-21,3.703125
1978-03-22,3.6640629999999996
1978-03-23,3.6875
1978-03-27,3.671875
1978-03-28,3.703125
1978-03-29,3.7578129999999996
1978-03-30,3.75
1978-03-31,3.734375
1978-04-03,3.6875
1978-04-04,3.703125
1978-04-05,3.765625
1978-04-06,3.7265629999999996
1978-04-07,3.78125
1978-04-10,3.7890629999999996
1978-04-11,3.859375
1978-04-12,3.8125
1978-04-13,3.8515629999999996
1978-04-14,3.90625
1978-04-17,4.023438
1978-04-18,3.984375
1978-04-19,3.984375
1978-04-20,3.9375
1978-04-21,3.984375
1978-04-24,4.125
1978-04-25,4.21875
1978-04-26,4.203125
1978-04-27,4.3125
1978-04-28,4.296875
1978-05-01,4.40625
1978-05-02,4.359375
1978-05-03,4.375
1978-05-04,4.375
1978-05-05,4.328125
1978-05-08,4.273438
1978-05-09,4.09375
1978-05-10,4.0625
1978-05-11,3.96875
1978-05-12,3.9609379999999996
1978-05-15,4.0625
1978-05-16,4.179688
1978-05-17,4.15625
1978-05-18,4.03125
1978-05-19,4.046875
1978-05-22,4.046875
1978-05-23,4.0
1978-05-24,3.96875
1978-05-25,3.9609379999999996
1978-05-26,3.921875
1978-05-30,3.921875
1978-05-31,3.9375
1978-06-01,3.9296879999999996
1978-06-02,3.9375
1978-06-05,4.109375
1978-06-06,4.242188
1978-06-07,4.210938
1978-06-08,4.1875
1978-06-09,4.164063
1978-06-12,4.078125
1978-06-13,4.0625
1978-06-14,4.0625
1978-06-15,4.03125
1978-06-16,4.015625
1978-06-19,3.9375
1978-06-20,3.9375
1978-06-21,3.875
1978-06-22,3.9296879999999996
1978-06-23,3.8828129999999996
1978-06-26,3.84375
1978-06-27,3.84375
1978-06-28,3.859375
1978-06-29,3.859375
1978-06-30,3.84375
1978-07-03,3.78125
1978-07-05,3.671875
1978-07-06,3.65625
1978-07-07,3.75
1978-07-10,3.75
1978-07-11,3.8125
1978-07-12,3.96875
1978-07-13,3.953125
1978-07-14,3.953125
1978-07-17,3.9375
1978-07-18,3.71875
1978-07-19,3.921875
1978-07-20,4.171875
1978-07-21,4.09375
1978-07-24,4.0
1978-07-25,4.09375
1978-07-26,4.171875
1978-07-27,4.25
