Date,HMHC
2013-11-14,15.86
2013-11-15,16.110001
2013-11-18,15.78
2013-11-19,16.24
2013-11-20,17.66
2013-11-21,17.450001
2013-11-22,16.309998999999998
2013-11-25,16.403999
2013-11-26,16.49
2013-11-27,17.35
2013-11-29,17.379998999999998
2013-12-02,17.52
2013-12-03,17.52
2013-12-04,17.4
2013-12-05,16.92
2013-12-06,17.110001
2013-12-09,16.610001
2013-12-10,16.469998999999998
2013-12-11,15.97
2013-12-12,16.389999
2013-12-13,15.89
2013-12-16,16.440001000000002
2013-12-17,17.4
2013-12-18,17.549999
2013-12-19,17.5
2013-12-20,17.9
2013-12-23,17.77
2013-12-24,17.09
2013-12-26,16.860001
2013-12-27,17.360001
2013-12-30,17.07
2013-12-31,16.959999
2014-01-02,17.34
2014-01-03,17.07
2014-01-06,17.629998999999998
2014-01-07,17.66
2014-01-08,17.83
2014-01-09,17.85
2014-01-10,17.93
2014-01-13,17.84
2014-01-14,17.879998999999998
2014-01-15,18.08
2014-01-16,18.24
2014-01-17,18.450001
2014-01-21,18.58
2014-01-22,18.809998999999998
2014-01-23,18.790001
2014-01-24,19.0
2014-01-27,19.01
2014-01-28,19.24
2014-01-29,19.120001000000002
2014-01-30,19.26
2014-01-31,19.24
2014-02-03,18.950001
2014-02-04,19.51
2014-02-05,19.26
2014-02-06,18.860001
2014-02-07,18.66
2014-02-10,19.08
2014-02-11,19.110001
2014-02-12,18.969998999999998
2014-02-13,19.389999
2014-02-14,19.25
2014-02-18,19.469998999999998
2014-02-19,20.059998999999998
2014-02-20,20.25
2014-02-21,20.120001000000002
2014-02-24,19.9
2014-02-25,20.25
2014-02-26,20.040001
2014-02-27,20.549999
2014-02-28,20.32
2014-03-03,19.629998999999998
2014-03-04,19.73
2014-03-05,19.4
2014-03-06,19.889999
2014-03-07,19.25
2014-03-10,19.33
2014-03-11,19.360001
2014-03-12,19.549999
2014-03-13,19.690001000000002
2014-03-14,19.700001
2014-03-17,19.950001
2014-03-18,19.99
2014-03-19,20.0
2014-03-20,20.110001
2014-03-21,19.870001000000002
2014-03-24,19.75
2014-03-25,19.99
2014-03-26,19.629998999999998
2014-03-27,20.049999
2014-03-28,20.43
2014-03-31,20.33
2014-04-01,20.5
2014-04-02,20.459999
2014-04-03,20.48
2014-04-04,20.57
2014-04-07,20.379998999999998
2014-04-08,20.809998999999998
2014-04-09,20.82
2014-04-10,20.5
2014-04-11,20.280001000000002
2014-04-14,20.48
2014-04-15,20.48
2014-04-16,20.43
2014-04-17,20.35
2014-04-21,20.379998999999998
2014-04-22,20.629998999999998
2014-04-23,20.65
2014-04-24,20.709999
2014-04-25,20.450001
2014-04-28,20.35
2014-04-29,20.66
2014-04-30,20.43
2014-05-01,19.99
2014-05-02,19.76
2014-05-05,19.17
2014-05-06,19.120001000000002
2014-05-07,19.01
2014-05-08,18.32
2014-05-09,18.299999
2014-05-12,18.51
2014-05-13,18.459999
2014-05-14,18.35
2014-05-15,17.99
2014-05-16,17.66
2014-05-19,17.91
2014-05-20,17.969998999999998
2014-05-21,17.93
2014-05-22,18.02
2014-05-23,18.040001
2014-05-27,18.719998999999998
2014-05-28,18.004998999999998
2014-05-29,18.26
2014-05-30,18.219998999999998
2014-06-02,18.190001000000002
2014-06-03,18.18
2014-06-04,18.280001000000002
2014-06-05,18.34
2014-06-06,18.48
2014-06-09,19.5
2014-06-10,19.799999
2014-06-11,19.450001
2014-06-12,19.360001
2014-06-13,19.540001
2014-06-16,19.52
2014-06-17,19.33
2014-06-18,19.360001
2014-06-19,19.4
2014-06-20,19.35
2014-06-23,19.32
2014-06-24,19.280001000000002
2014-06-25,19.27
2014-06-26,19.309998999999998
2014-06-27,19.120001000000002
2014-06-30,19.16
2014-07-01,19.35
2014-07-02,19.309998999999998
2014-07-03,19.33
2014-07-07,18.940001000000002
2014-07-08,18.52
2014-07-09,18.59
2014-07-10,18.440001000000002
2014-07-11,18.18
2014-07-14,18.299999
2014-07-15,18.23
2014-07-16,17.98
2014-07-17,17.66
2014-07-18,17.75
2014-07-21,17.49
2014-07-22,17.75
2014-07-23,17.700001
2014-07-24,17.379998999999998
2014-07-25,17.26
2014-07-28,17.42
2014-07-29,17.76
2014-07-30,17.74
2014-07-31,17.51
2014-08-01,17.459999
2014-08-04,17.540001
2014-08-05,17.5
2014-08-06,17.49
2014-08-07,17.379998999999998
2014-08-08,17.6
2014-08-11,17.68
2014-08-12,17.65
2014-08-13,17.950001
2014-08-14,18.84
2014-08-15,18.57
2014-08-18,18.6
2014-08-19,18.57
