Date,TAK
2010-01-05,21.370001000000002
2010-01-06,21.4
2010-01-07,21.23
2010-01-08,21.059998999999998
2010-01-11,21.299999
2010-01-12,21.700001
2010-01-13,21.610001
2010-01-14,21.950001
2010-01-15,21.93
2010-01-19,21.889999
2010-01-20,21.889999
2010-01-21,22.01
2010-01-22,22.25
2010-01-25,22.299999
2010-01-26,22.360001
2010-01-27,22.42
2010-01-28,22.24
2010-01-29,21.91
2010-02-01,22.6
2010-02-02,22.84
2010-02-03,22.549999
2010-02-04,22.549999
2010-02-05,22.309998999999998
2010-02-08,22.129998999999998
2010-02-09,21.809998999999998
2010-02-10,21.610001
2010-02-11,21.74
2010-02-12,21.549999
2010-02-16,21.73
2010-02-17,21.75
2010-02-18,21.74
2010-02-19,21.59
2010-02-22,21.85
2010-02-23,21.82
2010-02-24,22.280001000000002
2010-02-25,22.35
2010-02-26,22.6
2010-03-01,22.549999
2010-03-02,22.620001000000002
2010-03-03,22.889999
2010-03-04,22.67
2010-03-05,22.41
2010-03-08,22.4
2010-03-09,22.290001
2010-03-10,22.370001000000002
2010-03-11,22.67
2010-03-12,22.98
2010-03-15,22.75
2010-03-16,22.950001
2010-03-17,22.92
2010-03-18,23.469998999999998
2010-03-19,23.32
2010-03-22,23.389999
2010-03-23,23.450001
2010-03-24,23.09
2010-03-25,22.85
2010-03-26,22.450001
2010-03-29,22.35
2010-03-30,22.33
2010-03-31,21.9
2010-04-01,22.25
2010-04-05,21.65
2010-04-06,22.02
2010-04-07,21.99
2010-04-08,22.049999
2010-04-09,22.27
2010-04-12,22.4
2010-04-13,22.299999
2010-04-14,22.4
2010-04-15,22.25
2010-04-16,22.18
2010-04-19,21.969998999999998
2010-04-20,21.780001000000002
2010-04-21,21.75
2010-04-22,21.309998999999998
2010-04-23,21.08
2010-04-26,21.1
2010-04-27,21.01
2010-04-28,20.75
2010-04-29,21.02
2010-04-30,21.35
2010-05-03,21.35
2010-05-04,20.610001
2010-05-05,21.07
2010-05-06,21.9
2010-05-07,21.1
2010-05-10,21.25
