Date,HHC
2010-11-05,38.0
2010-11-08,38.5
2010-11-09,36.5
2010-11-10,36.900002
2010-11-11,37.349998
2010-11-12,36.959998999999996
2010-11-15,40.75
2010-11-16,40.299999
2010-11-17,39.939999
2010-11-18,40.049999
2010-11-19,42.23
2010-11-22,41.630001
2010-11-23,41.700001
2010-11-24,42.049999
2010-11-26,41.939999
2010-11-29,41.419998
2010-11-30,40.77
2010-12-01,41.950001
2010-12-02,43.150002
2010-12-03,44.34
2010-12-06,45.299999
2010-12-07,47.080002
2010-12-08,48.459998999999996
2010-12-09,49.939999
2010-12-10,51.849998
2010-12-13,54.389998999999996
2010-12-14,54.599998
2010-12-15,53.529999
2010-12-16,54.509997999999996
2010-12-17,54.950001
2010-12-20,56.0
2010-12-21,55.139998999999996
2010-12-22,53.959998999999996
2010-12-23,52.110001000000004
2010-12-27,51.93
2010-12-28,53.459998999999996
2010-12-29,54.560001
2010-12-30,54.470001
2010-12-31,54.419998
2011-01-03,54.599998
2011-01-04,54.299999
2011-01-05,54.580002
2011-01-06,54.830002
2011-01-07,54.959998999999996
2011-01-10,53.830002
2011-01-11,53.16
2011-01-12,53.25
2011-01-13,53.5
2011-01-14,53.419998
2011-01-18,53.330002
2011-01-19,52.540001000000004
2011-01-20,52.48
2011-01-21,51.98
2011-01-24,52.950001
2011-01-25,52.689999
2011-01-26,52.299999
2011-01-27,51.57
2011-01-28,50.529999
2011-01-31,50.279999
2011-02-01,50.73
2011-02-02,50.43
2011-02-03,51.720001
2011-02-04,52.32
2011-02-07,52.689999
2011-02-08,52.599998
2011-02-09,53.16
2011-02-10,53.07
2011-02-11,53.400002
2011-02-14,53.369999
2011-02-15,52.82
2011-02-16,53.560001
2011-02-17,54.459998999999996
2011-02-18,55.830002
2011-02-22,55.48
2011-02-23,54.73
2011-02-24,54.5
2011-02-25,56.32
2011-02-28,57.77
2011-03-01,59.18
2011-03-02,61.82
2011-03-03,62.919998
2011-03-04,63.0
2011-03-07,62.82
2011-03-08,63.560001
2011-03-09,63.939999
2011-03-10,63.040001000000004
2011-03-11,65.66999799999999
2011-03-14,67.129997
2011-03-15,66.709999
2011-03-16,64.800003
2011-03-17,66.339996
2011-03-18,68.33000200000001
2011-03-21,69.739998
2011-03-22,70.0
2011-03-23,68.489998
2011-03-24,68.68
2011-03-25,69.199997
2011-03-28,68.559998
2011-03-29,68.889999
2011-03-30,69.75
2011-03-31,70.639999
2011-04-01,71.93
2011-04-04,73.5
2011-04-05,72.029999
2011-04-06,69.870003
2011-04-07,68.25
2011-04-08,64.5
2011-04-11,60.59
2011-04-12,61.25
2011-04-13,63.040001000000004
2011-04-14,63.490002000000004
2011-04-15,62.790001000000004
2011-04-18,62.889998999999996
2011-04-19,62.950001
2011-04-20,64.440002
2011-04-21,64.410004
2011-04-25,64.099998
2011-04-26,64.639999
2011-04-27,64.75
2011-04-28,64.57
2011-04-29,64.769997
