Date,DXM
2018-08-28,9405.830078
2018-08-29,9510.360352
2018-08-30,9500.660156
2018-08-31,9556.790039
2018-09-04,9322.530273
2018-09-05,9235.44043
2018-09-06,9221.94043
2018-09-07,9429.19043
2018-09-10,9407.94043
2018-09-11,9156.240234
2018-09-12,9163.969727
2018-09-13,9140.759766
2018-09-14,9009.070313
2018-09-17,9231.790039
2018-09-18,9090.389648
2018-09-19,9088.419922
2018-09-20,9028.490234
2018-09-21,9096.299805
2018-09-24,8875.549805
2018-09-25,8827.150391
2018-09-26,8900.730469
2018-09-27,8881.320313
2018-09-28,8765.099609
2018-10-01,8604.429688
2018-10-02,8474.700195
2018-10-03,8279.139648
2018-10-04,8490.179688
2018-10-05,8619.900391
2018-10-08,8651.0
2018-10-09,8620.049805
2018-10-10,8571.650391
2018-10-11,8463.169922
2018-10-12,8492.150391
2018-10-15,8656.769531
2018-10-16,8558.0
2018-10-17,8461.200195
2018-10-18,8395.349609
2018-10-19,8252.120117
2018-10-22,8186.279785
2018-10-23,8350.889648
2018-10-24,8350.889648
2018-10-25,8285.049805
2018-10-26,8287.019531
2018-10-29,8309.25
2018-10-30,8226.94043
2018-10-31,8263.660156
2018-11-01,7915.009765999999
2018-11-02,8226.790039
2018-11-05,8309.099609
2018-11-06,8358.490234
2018-11-07,8343.009766
2018-11-08,8393.379883
2018-11-09,8410.830078
2018-11-12,8384.660156
2018-11-13,8392.400391
2018-11-14,8408.860352
2018-11-15,8389.44043
2018-11-16,8438.820313
2018-11-19,8208.360352
2018-11-20,8057.399901999999
2018-11-21,8304.320313
2018-11-23,8177.410156
2018-11-26,8128.029785
2018-11-27,7990.569823999999
2018-11-28,8221.030273
2018-11-29,8056.410156
2018-11-30,8137.72998
2018-12-03,8310.089844
2018-12-04,8412.650391
2018-12-06,8519.160156
2018-12-07,8503.69043
2018-12-10,8306.150391
2018-12-11,8322.610352
2018-12-12,
2018-12-13,8189.930176000001
2018-12-14,8189.930176000001
2018-12-17,8058.240234000001
2018-12-18,7923.72998
2018-12-19,7946.950195
2018-12-20,7778.540039
