Date,CMLS
2018-08-07,18.35
2018-08-08,18.98
2018-08-09,17.4
2018-08-10,17.4
2018-08-13,17.700001
2018-08-14,17.700001
2018-08-15,17.690001000000002
2018-08-16,17.700001
2018-08-17,18.120001000000002
2018-08-20,18.200001
2018-08-21,18.98
2018-08-22,19.049999
2018-08-23,19.049999
2018-08-24,19.889999
2018-08-27,19.15
2018-08-28,19.4
2018-08-29,19.43
2018-08-30,19.0
2018-08-31,20.9
2018-09-04,19.440001000000002
2018-09-05,19.34
2018-09-06,19.209999
2018-09-07,19.74
2018-09-10,18.639999
2018-09-11,19.33
2018-09-12,18.0
2018-09-13,17.85
2018-09-14,17.85
2018-09-17,17.129998999999998
2018-09-18,16.1
2018-09-19,16.610001
2018-09-20,16.700001
2018-09-21,16.610001
2018-09-24,17.75
2018-09-25,16.9
2018-09-26,16.75
2018-09-27,16.549999
2018-09-28,17.02
2018-10-01,17.01
2018-10-02,16.9
2018-10-03,16.950001
2018-10-04,17.389999
2018-10-05,16.799999
2018-10-08,17.0
2018-10-09,17.0
2018-10-10,16.799999
2018-10-11,16.51
2018-10-12,16.4
2018-10-15,16.5
2018-10-16,16.299999
2018-10-17,16.200001
2018-10-18,16.290001
2018-10-19,15.75
2018-10-22,16.25
2018-10-23,16.25
2018-10-24,15.99
2018-10-25,16.5
2018-10-26,16.25
2018-10-29,15.99
2018-10-30,15.5
2018-10-31,14.81
2018-11-01,14.81
2018-11-02,14.99
2018-11-05,14.75
2018-11-06,14.78
2018-11-07,14.6
2018-11-08,14.6
2018-11-09,14.5
2018-11-12,14.0
2018-11-13,14.0
2018-11-14,14.0
2018-11-15,14.7
2018-11-16,12.92
2018-11-19,12.6
2018-11-20,12.77
2018-11-21,12.88
2018-11-23,12.88
2018-11-26,13.16
2018-11-27,13.139
2018-11-28,12.7
2018-11-29,12.2
2018-11-30,11.3
2018-12-03,11.75
2018-12-04,11.75
2018-12-06,11.75
2018-12-07,10.75
2018-12-10,10.25
2018-12-11,10.12
2018-12-12,10.35
2018-12-13,10.83
2018-12-14,10.75
2018-12-17,10.45
2018-12-18,10.71
2018-12-19,10.78
2018-12-20,10.4
2018-12-21,10.11
2018-12-24,11.05
2018-12-26,10.831
2018-12-27,10.86
