Date,COWN
2006-07-13,63.52
2006-07-14,64.0
2006-07-17,63.200001
2006-07-18,63.200001
2006-07-19,62.040001000000004
2006-07-20,62.759997999999996
2006-07-21,62.200001
2006-07-24,62.400002
2006-07-25,64.0
2006-07-26,62.799999
2006-07-27,62.799999
2006-07-28,61.200001
2006-07-31,61.48
2006-08-01,61.16
2006-08-02,60.639998999999996
2006-08-03,62.439999
2006-08-04,62.560001
2006-08-07,61.200001
2006-08-08,57.52
2006-08-09,57.119999
2006-08-10,54.799999
2006-08-11,57.0
2006-08-14,57.639998999999996
2006-08-15,56.400002
2006-08-16,57.799999
2006-08-17,59.959998999999996
2006-08-18,58.400002
2006-08-21,56.759997999999996
2006-08-22,57.48
2006-08-23,57.200001
2006-08-24,55.48
2006-08-25,53.599998
2006-08-28,55.119999
2006-08-29,56.040001000000004
2006-08-30,56.360001000000004
2006-08-31,56.32
2006-09-01,55.599998
2006-09-05,56.560001
2006-09-06,56.560001
2006-09-07,55.799999
2006-09-08,55.799999
2006-09-11,56.919998
2006-09-12,58.959998999999996
2006-09-13,61.279999
2006-09-14,62.360001000000004
2006-09-15,64.0
2006-09-18,65.68
2006-09-19,66.91999799999999
2006-09-20,65.760002
2006-09-21,64.120003
2006-09-22,63.279999
2006-09-25,62.32
2006-09-26,63.880001
2006-09-27,63.599998
2006-09-28,63.799999
2006-09-29,63.240002000000004
2006-10-02,63.799999
2006-10-03,63.040001000000004
2006-10-04,63.200001
2006-10-05,63.48
2006-10-06,63.040001000000004
2006-10-09,63.119999
2006-10-10,63.200001
2006-10-11,62.0
2006-10-12,63.560001
2006-10-13,64.760002
2006-10-16,65.599998
2006-10-17,62.759997999999996
2006-10-18,62.400002
2006-10-19,61.68
2006-10-20,61.68
2006-10-23,60.599998
2006-10-24,59.200001
2006-10-25,58.560001
2006-10-26,58.919998
2006-10-27,58.52
2006-10-30,57.799999
2006-10-31,57.799999
2006-11-01,59.0
2006-11-02,59.52
2006-11-03,58.400002
2006-11-06,60.0
2006-11-07,59.799999
2006-11-08,60.560001
2006-11-09,62.119999
2006-11-10,61.639998999999996
2006-11-13,65.199997
2006-11-14,65.040001
2006-11-15,67.760002
2006-11-16,69.0
2006-11-17,66.68
2006-11-20,64.839996
2006-11-21,65.279999
2006-11-22,65.0
2006-11-24,66.0
2006-11-27,63.759997999999996
2006-11-28,65.360001
2006-11-29,66.160004
2006-11-30,67.720001
2006-12-01,67.239998
2006-12-04,68.959999
2006-12-05,71.199997
2006-12-06,78.68
2006-12-07,77.599998
2006-12-08,78.91999799999999
2006-12-11,77.760002
2006-12-12,80.760002
2006-12-13,78.519997
2006-12-14,78.480003
2006-12-15,78.279999
2006-12-18,78.0
2006-12-19,78.0
2006-12-20,78.800003
2006-12-21,79.040001
2006-12-22,79.040001
2006-12-26,79.839996
2006-12-27,82.120003
2006-12-28,85.599998
2006-12-29,84.599998
2007-01-03,82.400002
2007-01-04,79.519997
2007-01-05,74.440002
2007-01-08,76.440002
2007-01-09,75.160004
2007-01-10,73.91999799999999
2007-01-11,76.639999
2007-01-12,80.360001
2007-01-16,82.68
2007-01-17,82.400002
2007-01-18,78.559998
2007-01-19,76.639999
2007-01-22,76.0
2007-01-23,80.0
2007-01-24,78.959999
2007-01-25,81.120003
2007-01-26,82.800003
2007-01-29,80.0
2007-01-30,80.879997
2007-01-31,83.120003
2007-02-01,84.959999
2007-02-02,84.08000200000001
2007-02-05,83.559998
2007-02-06,80.040001
2007-02-07,80.120003
2007-02-08,82.32
2007-02-09,82.480003
2007-02-12,80.959999
2007-02-13,80.839996
2007-02-14,82.160004
2007-02-15,81.839996
2007-02-16,81.959999
2007-02-20,82.91999799999999
2007-02-21,83.199997
2007-02-22,83.599998
2007-02-23,83.599998
2007-02-26,82.800003
2007-02-27,79.639999
2007-02-28,79.360001
2007-03-01,76.639999
2007-03-02,76.0
2007-03-05,76.400002
2007-03-06,77.400002
2007-03-07,77.32
2007-03-08,78.040001
2007-03-09,78.160004
2007-03-12,78.08000200000001
2007-03-13,72.599998
2007-03-14,72.120003
2007-03-15,72.91999799999999
2007-03-16,73.480003
2007-03-19,73.239998
2007-03-20,71.639999
2007-03-21,72.68
2007-03-22,72.360001
2007-03-23,72.959999
2007-03-26,70.239998
2007-03-27,70.720001
2007-03-28,70.0
2007-03-29,69.400002
