Date,AB
1988-04-14,2.53125
1988-04-15,2.59375
1988-04-18,2.59375
1988-04-19,2.625
1988-04-20,2.65625
1988-04-21,2.6875
1988-04-22,2.65625
1988-04-25,2.5625
1988-04-26,2.5625
1988-04-27,2.59375
1988-04-28,2.5625
1988-04-29,2.5625
1988-05-02,2.59375
1988-05-03,2.5625
1988-05-04,2.5625
1988-05-05,2.5625
1988-05-06,2.59375
1988-05-09,2.5625
1988-05-10,2.59375
1988-05-11,2.53125
1988-05-12,2.59375
1988-05-13,2.59375
1988-05-16,2.625
1988-05-17,2.625
1988-05-18,2.625
1988-05-19,2.59375
1988-05-20,2.59375
1988-05-23,2.625
1988-05-24,2.59375
1988-05-25,2.625
1988-05-26,2.59375
1988-05-27,2.625
1988-05-31,2.625
1988-06-01,2.625
1988-06-02,2.65625
1988-06-03,2.65625
1988-06-06,2.6875
1988-06-07,2.6875
1988-06-08,2.71875
1988-06-09,2.75
1988-06-10,2.75
1988-06-13,2.78125
1988-06-14,2.78125
1988-06-15,2.78125
1988-06-16,2.78125
1988-06-17,2.78125
1988-06-20,2.8125
1988-06-21,2.75
1988-06-22,2.75
1988-06-23,2.71875
1988-06-24,2.65625
1988-06-27,2.6875
1988-06-28,2.71875
1988-06-29,2.71875
1988-06-30,2.71875
1988-07-01,2.6875
1988-07-05,2.65625
1988-07-06,2.71875
1988-07-07,2.71875
1988-07-08,2.78125
1988-07-11,2.75
1988-07-12,2.71875
1988-07-13,2.75
1988-07-14,2.75
1988-07-15,2.75
1988-07-18,2.6875
1988-07-19,2.65625
1988-07-20,2.65625
1988-07-21,2.625
1988-07-22,2.59375
1988-07-25,2.65625
1988-07-26,2.65625
1988-07-27,2.625
1988-07-28,2.59375
1988-07-29,2.59375
1988-08-01,2.59375
1988-08-02,2.625
1988-08-03,2.625
1988-08-04,2.625
1988-08-05,2.59375
1988-08-08,2.5625
1988-08-09,2.53125
1988-08-10,2.5
1988-08-11,2.5
1988-08-12,2.4375
1988-08-15,2.46875
1988-08-16,2.40625
1988-08-17,2.4375
1988-08-18,2.40625
1988-08-19,2.5
1988-08-22,2.46875
1988-08-23,2.4375
1988-08-24,2.46875
1988-08-25,2.46875
1988-08-26,2.4375
1988-08-29,2.4375
1988-08-30,2.46875
1988-08-31,2.46875
1988-09-01,2.46875
1988-09-02,2.5
1988-09-06,2.53125
1988-09-07,2.53125
1988-09-08,2.53125
1988-09-09,2.5
1988-09-12,2.53125
1988-09-13,2.53125
1988-09-14,2.59375
1988-09-15,2.5625
1988-09-16,2.53125
1988-09-19,2.53125
1988-09-20,2.5625
1988-09-21,2.53125
1988-09-22,2.5625
1988-09-23,2.5
1988-09-26,2.5
1988-09-27,2.5
1988-09-28,2.5
1988-09-29,2.53125
1988-09-30,2.5
1988-10-03,2.5
1988-10-04,2.53125
1988-10-05,2.59375
1988-10-06,2.59375
1988-10-07,2.625
1988-10-10,2.625
1988-10-11,2.5625
1988-10-12,2.5625
1988-10-13,2.53125
1988-10-14,2.53125
1988-10-17,2.53125
1988-10-18,2.53125
1988-10-19,2.5
1988-10-20,2.5
1988-10-21,2.53125
1988-10-24,2.53125
1988-10-25,2.53125
1988-10-26,2.5625
1988-10-27,2.5625
1988-10-28,2.53125
1988-10-31,2.5
1988-11-01,2.53125
1988-11-02,2.53125
1988-11-03,2.5625
1988-11-04,2.53125
1988-11-07,2.59375
1988-11-08,2.5625
1988-11-09,2.59375
1988-11-10,2.5625
1988-11-11,2.53125
1988-11-14,2.53125
1988-11-15,2.53125
1988-11-16,2.5
1988-11-17,2.5
1988-11-18,2.53125
1988-11-21,2.53125
1988-11-22,2.5625
1988-11-23,2.5625
1988-11-25,2.5
1988-11-28,2.5
1988-11-29,2.53125
1988-11-30,2.5625
1988-12-01,2.5625
1988-12-02,2.59375
1988-12-05,2.5625
1988-12-06,2.5625
1988-12-07,2.59375
1988-12-08,2.5625
1988-12-09,2.5625
1988-12-12,2.5625
1988-12-13,2.5625
1988-12-14,2.5625
1988-12-15,2.5625
1988-12-16,2.625
1988-12-19,2.59375
1988-12-20,2.59375
1988-12-21,2.59375
1988-12-22,2.5625
1988-12-23,2.59375
1988-12-27,2.5625
1988-12-28,2.5625
1988-12-29,2.625
1988-12-30,2.625
1989-01-03,2.625
1989-01-04,2.65625
1989-01-05,2.65625
1989-01-06,2.6875
1989-01-09,2.71875
1989-01-10,2.78125
1989-01-11,2.78125
1989-01-12,2.78125
1989-01-13,2.78125
1989-01-16,2.8125
1989-01-17,2.78125
1989-01-18,2.78125
1989-01-19,2.75
1989-01-20,2.75
1989-01-23,2.75
1989-01-24,2.78125
1989-01-25,2.84375
1989-01-26,2.8125
1989-01-27,2.90625
1989-01-30,2.78125
1989-01-31,2.84375
1989-02-01,2.875
1989-02-02,2.90625
1989-02-03,2.9375
1989-02-06,2.90625
1989-02-07,2.90625
1989-02-08,2.9375
1989-02-09,2.90625
1989-02-10,2.875
1989-02-13,2.9375
1989-02-14,2.96875
1989-02-15,2.9375
1989-02-16,2.96875
1989-02-17,2.96875
1989-02-21,3.0
1989-02-22,2.96875
1989-02-23,3.0
1989-02-24,3.0
1989-02-27,2.96875
1989-02-28,2.96875
1989-03-01,3.0
1989-03-02,3.03125
1989-03-03,3.0625
1989-03-06,3.0625
1989-03-07,3.03125
1989-03-08,3.0625
1989-03-09,3.0625
1989-03-10,3.0625
1989-03-13,3.0625
1989-03-14,3.125
1989-03-15,3.0625
1989-03-16,3.09375
1989-03-17,3.03125
1989-03-20,3.0
1989-03-21,3.0
1989-03-22,3.0
1989-03-23,3.03125
1989-03-27,2.96875
1989-03-28,2.9375
1989-03-29,2.9375
1989-03-30,2.9375
1989-03-31,2.9375
1989-04-03,2.90625
1989-04-04,2.90625
1989-04-05,2.96875
1989-04-06,2.96875
1989-04-07,2.9375
1989-04-10,2.9375
1989-04-11,2.9375
1989-04-12,2.96875
1989-04-13,2.96875
1989-04-14,3.0
1989-04-17,3.0
1989-04-18,3.0
1989-04-19,3.03125
1989-04-20,2.96875
1989-04-21,2.96875
1989-04-24,2.96875
1989-04-25,2.96875
1989-04-26,3.03125
1989-04-27,3.09375
1989-04-28,3.125
1989-05-01,2.96875
1989-05-02,2.96875
1989-05-03,3.0
1989-05-04,3.03125
1989-05-05,3.0
1989-05-08,3.0
1989-05-09,3.03125
1989-05-10,2.96875
1989-05-11,3.0
1989-05-12,3.0625
1989-05-15,3.0625
1989-05-16,3.0625
1989-05-17,3.0625
1989-05-18,3.09375
1989-05-19,3.03125
1989-05-22,3.0625
1989-05-23,3.0625
1989-05-24,3.09375
1989-05-25,3.09375
1989-05-26,3.09375
1989-05-30,3.09375
1989-05-31,3.03125
1989-06-01,3.0625
1989-06-02,3.0625
1989-06-05,3.09375
1989-06-06,3.09375
1989-06-07,3.125
1989-06-08,3.125
1989-06-09,3.21875
1989-06-12,3.21875
1989-06-13,3.1875
1989-06-14,3.15625
1989-06-15,3.15625
1989-06-16,3.1875
1989-06-19,3.15625
1989-06-20,3.15625
1989-06-21,3.125
1989-06-22,3.15625
1989-06-23,3.15625
1989-06-26,3.15625
1989-06-27,3.15625
1989-06-28,3.1875
1989-06-29,3.15625
1989-06-30,3.09375
1989-07-03,3.125
1989-07-05,3.21875
1989-07-06,3.15625
1989-07-07,3.1875
1989-07-10,3.1875
1989-07-11,3.15625
1989-07-12,3.1875
1989-07-13,3.21875
1989-07-14,3.21875
1989-07-17,3.25
1989-07-18,3.1875
1989-07-19,3.1875
1989-07-20,3.21875
1989-07-21,3.21875
1989-07-24,3.1875
1989-07-25,3.21875
1989-07-26,3.25
1989-07-27,3.34375
1989-07-28,3.46875
1989-07-31,3.40625
1989-08-01,3.40625
1989-08-02,3.4375
1989-08-03,3.5
1989-08-04,3.5
1989-08-07,3.5
1989-08-08,3.40625
1989-08-09,3.40625
1989-08-10,3.40625
1989-08-11,3.40625
1989-08-14,3.375
1989-08-15,3.4375
1989-08-16,3.5
1989-08-17,3.46875
1989-08-18,3.5
1989-08-21,3.375
1989-08-22,3.4375
1989-08-23,3.46875
1989-08-24,3.5
1989-08-25,3.53125
1989-08-28,3.59375
1989-08-29,3.65625
1989-08-30,3.75
1989-08-31,3.6875
1989-09-01,3.625
1989-09-05,3.625
1989-09-06,3.6875
1989-09-07,3.625
1989-09-08,3.625
1989-09-11,3.625
1989-09-12,3.65625
1989-09-13,3.625
1989-09-14,3.5625
1989-09-15,3.5
1989-09-18,3.46875
1989-09-19,3.5625
1989-09-20,3.5625
1989-09-21,3.5625
1989-09-22,3.5625
1989-09-25,3.59375
1989-09-26,3.5625
1989-09-27,3.53125
1989-09-28,3.59375
1989-09-29,3.6875
1989-10-02,3.65625
1989-10-03,3.75
1989-10-04,3.71875
1989-10-05,3.75
1989-10-06,3.71875
1989-10-09,3.6875
1989-10-10,3.65625
1989-10-11,3.71875
1989-10-12,3.65625
1989-10-13,3.5625
1989-10-16,3.5
1989-10-17,3.4375
1989-10-18,3.4375
1989-10-19,3.4375
1989-10-20,3.5
1989-10-23,3.5
1989-10-24,3.4375
1989-10-25,3.53125
1989-10-26,3.71875
1989-10-27,3.71875
1989-10-30,3.625
1989-10-31,3.53125
1989-11-01,3.5625
1989-11-02,3.53125
1989-11-03,3.5625
1989-11-06,3.53125
1989-11-07,3.5625
1989-11-08,3.5625
1989-11-09,3.625
1989-11-10,3.6875
1989-11-13,3.75
1989-11-14,3.71875
1989-11-15,3.75
1989-11-16,3.71875
1989-11-17,3.71875
1989-11-20,3.75
1989-11-21,3.75
1989-11-22,3.71875
1989-11-24,3.75
1989-11-27,3.78125
1989-11-28,3.875
1989-11-29,3.84375
1989-11-30,3.84375
1989-12-01,3.90625
1989-12-04,3.875
1989-12-05,3.8125
1989-12-06,3.8125
1989-12-07,3.875
1989-12-08,3.96875
1989-12-11,3.875
1989-12-12,3.9375
1989-12-13,3.96875
1989-12-14,3.9375
1989-12-15,3.9375
1989-12-18,3.875
1989-12-19,3.6875
1989-12-20,3.65625
1989-12-21,3.59375
1989-12-22,3.625
1989-12-26,3.6875
1989-12-27,3.71875
1989-12-28,3.6875
1989-12-29,3.8125
1990-01-02,3.84375
1990-01-03,4.03125
1990-01-04,4.0
1990-01-05,4.0
1990-01-08,4.0
1990-01-09,3.9375
1990-01-10,3.84375
1990-01-11,3.9375
1990-01-12,3.90625
1990-01-15,3.8125
1990-01-16,3.75
1990-01-17,3.84375
1990-01-18,3.84375
1990-01-19,3.96875
1990-01-22,3.96875
1990-01-23,3.9375
1990-01-24,3.96875
1990-01-25,3.9375
