Date,HE
1973-02-21,7.1875
1973-02-22,7.125
1973-02-23,7.1875
1973-02-26,7.0
1973-02-27,7.0
1973-02-28,7.0
1973-03-01,7.0625
1973-03-02,7.0
1973-03-05,7.0625
1973-03-06,7.03125
1973-03-07,7.03125
1973-03-08,7.0
1973-03-09,7.09375
1973-03-12,7.125
1973-03-13,7.125
1973-03-14,7.125
1973-03-15,7.0
1973-03-16,7.0
1973-03-19,7.03125
1973-03-20,7.0625
1973-03-21,7.0625
1973-03-22,7.0625
1973-03-23,7.0625
1973-03-26,7.15625
1973-03-27,7.375
1973-03-28,7.25
1973-03-29,7.375
1973-03-30,7.25
1973-04-02,7.25
1973-04-03,7.25
1973-04-04,7.25
1973-04-05,7.1875
1973-04-06,7.0625
1973-04-09,7.21875
1973-04-10,7.15625
1973-04-11,7.1875
1973-04-12,7.25
1973-04-13,7.15625
1973-04-16,7.0625
1973-04-17,7.0625
1973-04-18,7.0625
1973-04-19,7.0
1973-04-23,7.0
1973-04-24,6.9375
1973-04-25,6.84375
1973-04-26,6.75
1973-04-27,6.75
1973-04-30,6.65625
1973-05-01,6.71875
1973-05-02,6.71875
1973-05-03,6.96875
1973-05-04,6.96875
1973-05-07,6.6875
1973-05-08,6.75
1973-05-09,6.6875
1973-05-10,6.75
1973-05-11,6.75
1973-05-14,6.875
1973-05-15,6.8125
1973-05-16,6.78125
1973-05-17,6.8125
1973-05-18,6.75
1973-05-21,6.71875
1973-05-22,6.75
1973-05-23,6.75
1973-05-24,6.8125
1973-05-25,6.75
1973-05-29,6.8125
1973-05-30,6.9375
1973-05-31,6.90625
1973-06-01,7.0
1973-06-04,7.0
1973-06-05,7.0625
1973-06-06,6.875
1973-06-07,6.90625
1973-06-08,6.90625
1973-06-11,6.84375
1973-06-12,6.90625
1973-06-13,7.0625
1973-06-14,6.9375
1973-06-15,6.90625
1973-06-18,6.90625
1973-06-19,6.84375
1973-06-20,6.78125
1973-06-21,6.78125
1973-06-22,6.8125
1973-06-25,6.8125
1973-06-26,6.75
1973-06-27,6.75
1973-06-28,6.78125
1973-06-29,6.84375
1973-07-02,6.78125
1973-07-03,6.75
1973-07-05,6.75
1973-07-06,6.75
1973-07-09,6.8125
1973-07-10,6.78125
1973-07-11,6.75
1973-07-12,6.75
1973-07-13,6.75
1973-07-16,6.75
1973-07-17,6.75
1973-07-18,6.8125
1973-07-19,6.75
1973-07-20,6.71875
1973-07-23,6.6875
1973-07-24,6.6875
1973-07-25,6.71875
1973-07-26,6.6875
1973-07-27,6.625
1973-07-30,6.59375
1973-07-31,6.65625
1973-08-01,6.5625
1973-08-02,6.5
1973-08-03,6.4375
1973-08-06,6.4375
1973-08-07,6.4375
1973-08-08,6.59375
1973-08-09,6.53125
1973-08-10,6.5
1973-08-13,6.5
1973-08-14,6.46875
1973-08-15,6.28125
1973-08-16,6.28125
1973-08-17,6.40625
1973-08-20,6.4375
1973-08-21,6.4375
1973-08-22,6.4375
1973-08-23,6.34375
1973-08-24,6.3125
1973-08-27,6.25
1973-08-28,6.40625
1973-08-29,6.375
1973-08-30,6.34375
1973-08-31,6.25
1973-09-04,6.28125
1973-09-05,6.34375
1973-09-06,6.5
1973-09-07,6.46875
1973-09-10,6.40625
1973-09-11,6.3125
1973-09-12,6.3125
1973-09-13,6.375
1973-09-14,6.3125
1973-09-17,6.375
1973-09-18,6.4375
1973-09-19,6.4375
1973-09-20,6.46875
1973-09-21,6.53125
1973-09-24,6.5
1973-09-25,6.5625
1973-09-26,6.5625
1973-09-27,6.71875
1973-09-28,6.65625
1973-10-01,6.625
1973-10-02,6.6875
1973-10-03,6.59375
1973-10-04,6.59375
1973-10-05,6.75
1973-10-08,6.6875
1973-10-09,6.625
1973-10-10,6.71875
1973-10-11,6.53125
1973-10-12,6.625
1973-10-15,6.5
1973-10-16,6.5
1973-10-17,6.5
1973-10-18,6.46875
1973-10-19,6.53125
1973-10-22,6.46875
1973-10-23,6.46875
1973-10-24,6.375
1973-10-25,6.40625
1973-10-26,6.5
1973-10-29,6.40625
1973-10-30,6.375
1973-10-31,6.375
1973-11-01,6.34375
1973-11-02,6.34375
1973-11-05,6.3125
1973-11-06,6.3125
1973-11-07,6.28125
1973-11-08,6.34375
1973-11-09,6.0625
1973-11-12,5.6875
1973-11-13,5.6875
1973-11-14,5.625
1973-11-15,5.375
1973-11-16,5.34375
1973-11-19,5.34375
1973-11-20,5.34375
1973-11-21,5.28125
1973-11-23,5.28125
1973-11-26,5.28125
1973-11-27,5.1875
1973-11-28,5.1875
1973-11-29,5.15625
1973-11-30,5.125
1973-12-03,4.9375
1973-12-04,5.0
1973-12-05,4.84375
1973-12-06,4.90625
1973-12-07,5.0
1973-12-10,5.09375
1973-12-11,5.03125
1973-12-12,4.90625
1973-12-13,4.875
1973-12-14,4.90625
1973-12-17,4.84375
1973-12-18,4.84375
1973-12-19,4.78125
1973-12-20,4.6875
1973-12-21,4.6875
1973-12-24,4.6875
1973-12-26,4.75
1973-12-27,4.90625
1973-12-28,5.1875
1973-12-31,5.375
1974-01-02,5.4375
1974-01-03,5.75
1974-01-04,5.78125
1974-01-07,5.6875
1974-01-08,5.53125
1974-01-09,5.4375
1974-01-10,5.46875
1974-01-11,5.53125
1974-01-14,5.4375
1974-01-15,5.4375
1974-01-16,5.40625
1974-01-17,5.3125
1974-01-18,5.375
1974-01-21,5.40625
1974-01-22,5.3125
1974-01-23,5.25
1974-01-24,5.21875
1974-01-25,5.21875
1974-01-28,5.125
1974-01-29,5.21875
1974-01-30,5.1875
1974-01-31,5.15625
1974-02-01,5.15625
1974-02-04,5.09375
1974-02-05,4.96875
1974-02-06,5.0
1974-02-07,5.09375
1974-02-08,5.09375
1974-02-11,5.03125
1974-02-12,4.96875
1974-02-13,4.96875
1974-02-14,5.0
1974-02-15,5.03125
1974-02-19,5.0625
1974-02-20,5.03125
1974-02-21,4.96875
1974-02-22,5.0
1974-02-25,5.0
1974-02-26,5.0625
1974-02-27,5.09375
1974-02-28,5.15625
1974-03-01,5.03125
1974-03-04,5.15625
1974-03-05,5.21875
1974-03-06,5.3125
1974-03-07,5.25
1974-03-08,5.25
1974-03-11,5.1875
1974-03-12,5.28125
1974-03-13,5.28125
1974-03-14,5.34375
1974-03-15,5.34375
1974-03-18,5.3125
1974-03-19,5.46875
1974-03-20,5.375
1974-03-21,5.25
1974-03-22,5.25
1974-03-25,5.25
1974-03-26,5.25
1974-03-27,5.15625
1974-03-28,5.0625
1974-03-29,5.09375
1974-04-01,5.125
1974-04-02,5.0625
1974-04-03,5.15625
1974-04-04,5.15625
1974-04-05,5.09375
1974-04-08,5.03125
1974-04-09,5.03125
1974-04-10,5.03125
1974-04-11,5.03125
1974-04-15,5.0
1974-04-16,5.0625
1974-04-17,5.09375
1974-04-18,5.0625
1974-04-19,5.03125
1974-04-22,5.0
1974-04-23,5.0
1974-04-24,4.71875
1974-04-25,4.75
1974-04-26,4.75
1974-04-29,4.65625
1974-04-30,4.625
1974-05-01,4.75
1974-05-02,4.6875
1974-05-03,4.625
1974-05-06,4.5625
1974-05-07,4.5
1974-05-08,4.53125
1974-05-09,4.65625
1974-05-10,4.5
1974-05-13,4.53125
1974-05-14,4.5
1974-05-15,4.53125
1974-05-16,4.53125
1974-05-17,4.5
1974-05-20,4.4375
1974-05-21,4.46875
1974-05-22,4.46875
1974-05-23,4.4375
1974-05-24,4.4375
1974-05-28,4.375
1974-05-29,4.28125
1974-05-30,4.3125
1974-05-31,4.375
1974-06-03,4.3125
1974-06-04,4.375
1974-06-05,4.28125
1974-06-06,4.34375
