Date,BIG
1985-06-20,2.72
1985-06-21,2.72
1985-06-24,3.02
1985-06-25,3.08
1985-06-26,3.12
1985-06-27,3.14
1985-06-28,3.08
1985-07-01,3.16
1985-07-02,3.18
1985-07-03,3.16
1985-07-05,3.2
1985-07-08,3.06
1985-07-09,3.04
1985-07-10,3.0
1985-07-11,3.02
1985-07-12,3.0
1985-07-15,3.0
1985-07-16,3.0
1985-07-17,3.02
1985-07-18,2.98
1985-07-19,3.1
1985-07-22,3.14
1985-07-23,3.04
1985-07-24,3.14
1985-07-25,3.16
1985-07-26,3.12
1985-07-29,3.04
1985-07-30,3.04
1985-07-31,3.2
1985-08-01,3.48
1985-08-02,3.4
1985-08-05,3.32
1985-08-06,3.36
1985-08-07,3.24
1985-08-08,3.26
1985-08-09,3.22
1985-08-12,3.06
1985-08-13,3.04
1985-08-14,3.04
1985-08-15,3.02
1985-08-16,2.98
1985-08-19,2.88
1985-08-20,2.94
1985-08-21,3.0
1985-08-22,3.02
1985-08-23,2.94
1985-08-26,3.0
1985-08-27,3.0
1985-08-28,3.0
1985-08-29,3.02
1985-08-30,3.02
1985-09-03,2.98
1985-09-04,2.92
1985-09-05,2.94
1985-09-06,2.98
1985-09-09,3.02
1985-09-10,2.94
1985-09-11,3.12
1985-09-12,3.18
1985-09-13,3.16
1985-09-16,3.16
1985-09-17,3.14
1985-09-18,3.12
1985-09-19,3.16
1985-09-20,3.2
1985-09-23,3.14
1985-09-24,3.16
1985-09-25,3.1
1985-09-26,3.1
1985-09-30,3.2
1985-10-01,3.28
1985-10-02,3.36
1985-10-03,3.34
1985-10-04,3.32
1985-10-07,3.4
1985-10-08,3.34
1985-10-09,3.44
1985-10-10,3.36
1985-10-11,3.28
1985-10-14,3.38
1985-10-15,3.38
1985-10-16,3.44
1985-10-17,3.46
1985-10-18,3.46
1985-10-21,3.66
1985-10-22,3.6
1985-10-23,3.6
1985-10-24,3.6
1985-10-25,3.62
1985-10-28,3.68
1985-10-29,3.76
1985-10-30,3.84
1985-10-31,3.86
1985-11-01,4.04
1985-11-04,4.04
1985-11-05,4.1
1985-11-06,4.02
1985-11-07,3.78
1985-11-08,3.82
1985-11-11,3.9
1985-11-12,4.16
1985-11-13,4.12
1985-11-14,4.4
1985-11-15,4.42
1985-11-18,4.44
1985-11-19,4.34
1985-11-20,4.26
1985-11-21,4.34
1985-11-22,4.28
1985-11-25,4.22
1985-11-26,4.28
1985-11-27,4.04
1985-11-29,4.48
1985-12-02,4.36
1985-12-03,4.4
1985-12-04,4.48
1985-12-05,4.8
1985-12-06,4.84
1985-12-09,5.04
1985-12-10,5.44
1985-12-11,5.04
1985-12-12,5.12
1985-12-13,5.08
1985-12-16,4.84
1985-12-17,4.52
1985-12-18,4.48
1985-12-19,4.72
1985-12-20,4.6
1985-12-23,4.56
1985-12-24,4.56
1985-12-26,4.52
1985-12-27,4.64
1985-12-30,4.76
1985-12-31,5.0
1986-01-02,4.92
1986-01-03,4.84
1986-01-06,4.92
1986-01-07,5.08
1986-01-08,4.72
1986-01-09,4.76
1986-01-10,4.8
1986-01-13,4.96
1986-01-14,4.92
1986-01-15,5.16
1986-01-16,5.24
1986-01-17,5.32
1986-01-20,5.36
1986-01-21,5.24
1986-01-22,5.16
1986-01-23,5.16
1986-01-24,5.24
1986-01-27,5.52
1986-01-28,5.64
1986-01-29,5.52
1986-01-30,5.52
1986-01-31,5.64
1986-02-03,5.52
1986-02-04,5.56
1986-02-05,5.52
1986-02-06,5.6
1986-02-07,5.48
1986-02-10,5.56
1986-02-11,5.52
1986-02-12,5.68
1986-02-13,6.0
1986-02-14,6.04
1986-02-18,6.48
1986-02-19,6.92
1986-02-20,6.72
1986-02-21,6.72
1986-02-24,6.72
1986-02-25,6.6
1986-02-26,6.76
1986-02-27,6.88
1986-02-28,7.04
1986-03-03,7.12
1986-03-04,7.32
1986-03-05,7.6
1986-03-06,7.52
1986-03-07,7.68
1986-03-10,7.8
1986-03-11,7.64
1986-03-12,7.44
1986-03-13,7.36
1986-03-14,7.44
1986-03-17,7.28
1986-03-18,7.8
1986-03-19,7.68
1986-03-20,7.4
1986-03-21,7.84
1986-03-24,8.04
1986-03-25,8.16
1986-03-26,8.6
1986-03-27,8.76
1986-03-31,8.64
1986-04-01,8.68
1986-04-02,8.64
1986-04-03,8.8
1986-04-04,8.92
1986-04-07,8.4
1986-04-08,8.64
1986-04-09,8.76
1986-04-10,8.72
1986-04-11,8.48
1986-04-14,8.48
1986-04-15,8.4
1986-04-16,8.52
1986-04-17,8.44
1986-04-18,8.4
1986-04-21,8.44
1986-04-22,8.32
1986-04-23,8.32
1986-04-24,8.32
1986-04-25,8.32
1986-04-28,8.32
1986-04-29,8.16
1986-04-30,7.68
1986-05-01,7.96
1986-05-02,8.12
1986-05-05,8.44
1986-05-06,8.4
1986-05-07,8.24
1986-05-08,8.44
1986-05-09,8.64
1986-05-12,9.04
1986-05-13,9.0
1986-05-14,9.52
1986-05-15,9.44
1986-05-16,9.72
1986-05-19,9.84
1986-05-20,10.2
1986-05-21,10.6
1986-05-22,10.16
1986-05-23,11.28
1986-05-27,12.2
1986-05-28,11.72
1986-05-29,11.64
1986-05-30,11.52
1986-06-02,11.0
1986-06-03,11.12
1986-06-04,11.12
1986-06-05,11.36
1986-06-06,11.8
1986-06-09,11.36
1986-06-10,11.48
1986-06-11,12.08
1986-06-12,12.12
1986-06-13,12.76
1986-06-16,12.24
1986-06-17,12.56
1986-06-18,13.68
1986-06-19,14.16
1986-06-20,14.24
1986-06-23,13.12
1986-06-24,13.52
1986-06-25,14.24
1986-06-26,14.4
1986-06-27,13.76
1986-06-30,14.0
1986-07-01,13.44
1986-07-02,13.52
1986-07-03,13.6
1986-07-07,12.32
1986-07-08,11.44
1986-07-09,11.92
1986-07-10,10.72
1986-07-11,11.44
1986-07-14,10.8
1986-07-15,10.16
1986-07-16,10.24
1986-07-17,10.48
1986-07-18,10.48
1986-07-21,10.4
1986-07-22,10.64
1986-07-23,11.2
1986-07-24,11.2
1986-07-25,10.96
1986-07-28,10.88
1986-07-29,10.72
1986-07-30,10.4
1986-07-31,10.56
1986-08-01,10.56
1986-08-04,10.32
1986-08-05,10.32
1986-08-06,10.8
1986-08-07,10.56
1986-08-08,10.56
1986-08-11,11.04
1986-08-12,12.08
1986-08-13,11.36
1986-08-14,11.68
1986-08-15,11.68
1986-08-18,11.52
1986-08-19,11.36
1986-08-20,11.12
1986-08-21,11.2
1986-08-22,11.12
1986-08-25,10.88
1986-08-26,10.96
1986-08-27,10.96
1986-08-28,11.2
1986-08-29,11.04
1986-09-02,10.8
1986-09-03,10.56
1986-09-04,10.72
1986-09-05,10.56
1986-09-08,10.56
1986-09-09,10.4
1986-09-10,9.52
1986-09-11,8.64
1986-09-12,8.96
1986-09-15,8.72
1986-09-16,8.64
1986-09-17,8.88
1986-09-18,8.88
1986-09-19,9.28
1986-09-22,9.6
1986-09-23,10.16
1986-09-24,10.16
1986-09-25,10.24
1986-09-26,10.64
1986-09-29,10.64
1986-09-30,10.4
1986-10-01,10.32
1986-10-02,10.4
1986-10-03,10.32
1986-10-06,10.24
1986-10-07,9.92
