Date,NEM
1980-03-17,10.266666
1980-03-18,10.533334
1980-03-19,10.766666
1980-03-20,10.8
1980-03-21,10.666667
1980-03-24,9.933333
1980-03-25,10.066667
1980-03-26,9.866667
1980-03-27,9.333333
1980-03-28,10.0
1980-03-31,10.233334
1980-04-01,9.966666
1980-04-02,9.533334
1980-04-03,9.2
1980-04-07,9.066667
1980-04-08,9.666667
1980-04-09,10.0
1980-04-10,9.866667
1980-04-11,9.466666
1980-04-14,9.4
1980-04-15,9.1
1980-04-16,8.733334
1980-04-17,8.566667
1980-04-18,8.566667
1980-04-21,8.533334
1980-04-22,9.133333
1980-04-23,9.366667
1980-04-24,9.533334
1980-04-25,9.6
1980-04-28,9.333333
1980-04-29,9.366667
1980-04-30,9.433333
1980-05-01,8.8
1980-05-02,9.033334
1980-05-05,8.833333
1980-05-06,8.733334
1980-05-07,8.666667
1980-05-08,8.6
1980-05-09,8.333333
1980-05-12,8.333333
1980-05-13,8.566667
1980-05-14,8.9
1980-05-15,9.166667
1980-05-16,9.466666
1980-05-19,9.6
1980-05-20,9.6
1980-05-21,9.733334
1980-05-22,9.733334
1980-05-23,10.166667
1980-05-27,10.4
1980-05-28,10.2
1980-05-29,10.066667
1980-05-30,10.2
1980-06-02,10.3
1980-06-03,10.0
1980-06-04,10.466666
1980-06-05,10.4
1980-06-06,10.733334
1980-06-09,11.133333
1980-06-10,10.933333
1980-06-11,10.866667
1980-06-12,10.866667
1980-06-13,10.833333
1980-06-16,10.766666
1980-06-17,10.5
1980-06-18,10.333333
1980-06-19,10.266666
1980-06-20,10.066667
1980-06-23,10.066667
1980-06-24,10.066667
1980-06-25,10.533334
1980-06-26,10.666667
1980-06-27,10.966666
1980-06-30,11.1
1980-07-01,11.9
1980-07-02,11.733334
1980-07-03,11.5
1980-07-07,11.2
1980-07-08,11.466666
1980-07-09,11.366667
1980-07-10,11.233334
1980-07-11,11.4
1980-07-14,11.4
1980-07-15,11.5
1980-07-16,11.5
1980-07-17,11.866667
1980-07-18,12.2
1980-07-21,12.333333
1980-07-22,12.666667
1980-07-23,12.666667
1980-07-24,12.666667
1980-07-25,12.566667
1980-07-28,12.6
1980-07-29,12.466666
1980-07-30,12.066667
1980-07-31,12.066667
1980-08-01,12.0
1980-08-04,11.933333
1980-08-05,11.7
1980-08-06,11.833333
1980-08-07,12.533334
1980-08-08,12.533334
1980-08-11,12.766666
1980-08-12,12.233334
1980-08-13,12.266666
1980-08-14,12.433333
1980-08-15,12.566667
1980-08-18,12.166667
1980-08-19,12.1
1980-08-20,12.333333
1980-08-21,13.1
1980-08-22,13.2
1980-08-25,13.4
1980-08-26,13.333332999999998
1980-08-27,13.2
1980-08-28,12.933333
1980-08-29,13.066667
1980-09-02,13.333332999999998
1980-09-03,13.5
1980-09-04,13.466666
1980-09-05,13.466666
1980-09-08,14.4
1980-09-09,14.633332999999999
1980-09-10,15.0
1980-09-11,14.9
1980-09-12,15.0
1980-09-15,14.7
1980-09-16,15.0
1980-09-17,14.9
1980-09-18,14.866667000000001
1980-09-19,15.0
1980-09-22,16.166666
1980-09-23,15.8
1980-09-24,15.733334
1980-09-25,15.566667
1980-09-26,14.766666
1980-09-29,13.833332999999998
1980-09-30,14.4
1980-10-01,14.466666
1980-10-02,14.4
1980-10-03,14.366667000000001
1980-10-06,14.833332999999998
1980-10-07,14.533334
1980-10-08,14.5
