Date,SCHS
2008-06-06,0.25
2008-06-09,0.25
2008-06-10,0.25
2008-06-11,0.25
2008-06-12,0.25
2008-06-13,0.25
2008-06-16,0.25
2008-06-17,0.25
2008-06-18,0.25
2008-06-19,0.25
2008-06-20,0.25
2008-06-23,0.25
2008-06-24,0.25
2008-06-25,0.25
2008-06-26,0.25
2008-06-27,0.25
2008-06-30,0.25
2008-07-01,0.25
2008-07-02,0.25
2008-07-03,0.25
2008-07-07,0.25
2008-07-08,0.25
2008-07-09,0.25
2008-07-10,0.25
2008-07-11,0.25
2008-07-14,0.25
2008-07-15,0.25
2008-07-16,0.25
2008-07-17,0.25
2008-07-18,0.25
2008-07-21,0.25
2008-07-22,0.25
2008-07-23,0.25
2008-07-24,0.25
2008-07-25,0.25
2008-07-28,0.25
2008-07-29,0.25
2008-07-30,0.25
2008-07-31,0.25
2008-08-01,0.25
2008-08-04,0.25
2008-08-05,0.25
2008-08-06,0.25
2008-08-07,0.25
2008-08-08,0.25
2008-08-11,0.25
2008-08-12,0.25
2008-08-13,0.25
2008-08-14,0.25
2008-08-15,0.25
2008-08-18,0.25
2008-08-19,0.25
2008-08-20,0.25
2008-08-21,0.25
2008-08-22,0.25
2008-08-25,0.25
2008-08-26,0.25
2008-08-27,0.25
2008-08-28,0.25
2008-08-29,0.25
2008-09-02,0.25
2008-09-03,0.25
2008-09-04,0.25
2008-09-05,0.25
2008-09-08,0.25
2008-09-09,0.25
2008-09-10,0.25
2008-09-11,0.25
2008-09-12,0.25
2008-09-15,0.25
2008-09-16,0.25
2008-09-17,0.25
2008-09-18,0.25
2008-09-19,0.25
2008-09-22,0.25
2008-09-23,0.25
2008-09-24,0.25
2008-09-25,0.25
2008-09-26,0.25
2008-09-29,0.25
2008-09-30,0.25
2008-10-01,0.25
2008-10-02,0.25
2008-10-03,0.25
2008-10-06,0.25
2008-10-07,0.25
2008-10-08,0.25
2008-10-09,0.25
2008-10-10,0.25
2008-10-13,0.25
2008-10-14,0.25
2008-10-15,0.25
2008-10-16,0.25
2008-10-17,0.25
2008-10-20,0.25
2008-10-21,0.25
2008-10-22,0.25
2008-10-23,0.25
2008-10-24,0.25
2008-10-27,0.25
2008-10-28,0.25
2008-10-29,0.25
2008-10-30,0.25
2008-10-31,0.25
2008-11-03,0.25
2008-11-04,0.25
2008-11-05,0.25
2008-11-06,0.25
2008-11-07,0.25
2008-11-10,0.25
2008-11-11,0.25
2008-11-12,0.25
2008-11-13,
2008-11-14,
2008-11-17,
2008-11-18,
2008-11-19,
2008-11-20,
2008-11-21,
2008-11-24,
2008-11-25,
2008-11-26,
2008-11-28,
2008-12-01,
2008-12-02,
2008-12-03,
2008-12-04,
2008-12-05,
2008-12-08,
2008-12-09,
2008-12-10,
2008-12-11,
2008-12-12,
2008-12-15,
2008-12-16,
2008-12-17,
2008-12-18,
2008-12-19,
2008-12-22,
2008-12-23,
2008-12-24,
2008-12-26,
2008-12-29,
2008-12-30,
2008-12-31,
2009-01-02,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-12,
2009-01-13,
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-20,
2009-01-21,
2009-01-22,
2009-01-23,
2009-01-26,
2009-01-27,
2009-01-28,
2009-01-29,
2009-01-30,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-09,
2009-02-10,
2009-02-11,
2009-02-12,
2009-02-13,
2009-02-17,
2009-02-18,
2009-02-19,
2009-02-20,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,0.15
