Date,AMBA
2012-10-10,6.06
2012-10-11,6.08
2012-10-12,6.23
2012-10-15,6.15
2012-10-16,6.01
2012-10-17,6.0
2012-10-18,6.0
2012-10-19,6.0
2012-10-22,6.11
2012-10-23,6.0
2012-10-24,6.02
2012-10-25,6.24
2012-10-26,6.58
2012-10-31,7.22
2012-11-01,7.65
2012-11-02,7.7
2012-11-05,8.23
2012-11-06,8.59
2012-11-07,8.19
2012-11-08,7.82
2012-11-09,8.0
2012-11-12,7.73
2012-11-13,8.0
2012-11-14,7.88
2012-11-15,8.36
2012-11-16,8.71
2012-11-19,9.22
2012-11-20,9.31
2012-11-21,9.15
2012-11-23,9.3
2012-11-26,8.92
2012-11-27,8.88
2012-11-28,8.73
2012-11-29,8.7
2012-11-30,8.71
2012-12-03,8.67
2012-12-04,8.63
2012-12-05,8.98
2012-12-06,9.08
2012-12-07,9.02
2012-12-10,8.72
2012-12-11,8.92
2012-12-12,9.29
2012-12-13,9.35
2012-12-14,9.1
2012-12-17,10.0
2012-12-18,10.36
2012-12-19,10.18
2012-12-20,10.0
2012-12-21,9.76
2012-12-24,9.59
2012-12-26,10.0
2012-12-27,10.43
2012-12-28,11.0
2012-12-31,11.15
2013-01-02,11.95
2013-01-03,11.73
2013-01-04,11.88
2013-01-07,11.93
2013-01-08,12.06
2013-01-09,12.94
2013-01-10,13.05
2013-01-11,12.78
2013-01-14,12.81
2013-01-15,12.75
2013-01-16,12.6
2013-01-17,11.45
2013-01-18,11.67
2013-01-22,12.19
2013-01-23,11.99
2013-01-24,11.63
2013-01-25,11.84
2013-01-28,11.57
2013-01-29,11.52
2013-01-30,10.16
2013-01-31,9.96
2013-02-01,10.48
2013-02-04,10.24
2013-02-05,9.98
2013-02-06,9.99
2013-02-07,9.98
2013-02-08,9.73
2013-02-11,9.42
2013-02-12,9.7
2013-02-13,9.68
2013-02-14,9.51
2013-02-15,9.8
2013-02-19,9.87
2013-02-20,9.49
2013-02-21,9.31
2013-02-22,9.49
2013-02-25,9.59
2013-02-26,9.74
2013-02-27,9.75
2013-02-28,9.96
2013-03-01,10.58
2013-03-04,10.15
2013-03-05,10.58
2013-03-06,11.54
2013-03-07,11.97
2013-03-08,13.58
2013-03-11,13.74
2013-03-12,12.79
2013-03-13,13.31
2013-03-14,13.9
2013-03-15,13.49
2013-03-18,12.35
2013-03-19,12.62
2013-03-20,12.94
2013-03-21,12.95
2013-03-22,12.9
2013-03-25,14.13
2013-03-26,15.04
2013-03-27,14.79
2013-03-28,15.66
2013-04-01,14.87
2013-04-02,14.94
2013-04-03,13.7
2013-04-04,14.55
2013-04-05,14.0
2013-04-08,14.36
2013-04-09,14.17
2013-04-10,13.98
2013-04-11,13.3
2013-04-12,13.99
2013-04-15,12.91
2013-04-16,13.74
2013-04-17,13.0
2013-04-18,12.42
2013-04-19,13.31
2013-04-22,12.96
2013-04-23,12.99
2013-04-24,12.99
2013-04-25,13.91
2013-04-26,13.74
2013-04-29,14.19
2013-04-30,13.7
2013-05-01,13.44
2013-05-02,13.9
2013-05-03,13.96
2013-05-06,14.7
2013-05-07,13.77
2013-05-08,13.79
2013-05-09,13.81
2013-05-10,14.33
2013-05-13,15.12
2013-05-14,14.15
2013-05-15,15.21
2013-05-16,15.19
2013-05-17,15.24
2013-05-20,16.790001
2013-05-21,16.9
2013-05-22,15.72
2013-05-23,16.190001000000002
2013-05-24,15.49
2013-05-28,15.67
2013-05-29,16.290001
2013-05-30,16.17
2013-05-31,16.17
2013-06-03,15.71
2013-06-04,16.190001000000002
2013-06-05,16.65
2013-06-06,16.35
2013-06-07,16.530001000000002
2013-06-10,17.4
2013-06-11,17.440001000000002
2013-06-12,17.040001
2013-06-13,17.040001
2013-06-14,17.469998999999998
2013-06-17,18.139999
2013-06-18,17.91
2013-06-19,18.16
2013-06-20,16.93
2013-06-21,17.07
2013-06-24,15.95
2013-06-25,16.469998999999998
2013-06-26,16.41
2013-06-27,16.18
2013-06-28,16.83
2013-07-01,16.969998999999998
2013-07-02,16.889999
2013-07-03,17.07
2013-07-05,17.23
2013-07-08,16.98
2013-07-09,16.9
2013-07-10,16.889999
2013-07-11,17.799999
2013-07-12,17.790001
2013-07-15,17.870001000000002
2013-07-16,17.65
2013-07-17,19.24
2013-07-18,18.59
2013-07-19,18.959999
2013-07-22,19.24
2013-07-23,18.719998999999998
2013-07-24,18.24
2013-07-25,18.459999
2013-07-26,18.360001
2013-07-29,17.52
2013-07-30,16.139999
2013-07-31,16.6
2013-08-01,16.030001000000002
2013-08-02,16.75
2013-08-05,16.83
2013-08-06,16.049999
2013-08-07,15.95
2013-08-08,16.6
2013-08-09,16.82
2013-08-12,16.98
2013-08-13,16.85
2013-08-14,16.889999
2013-08-15,16.02
2013-08-16,16.01
2013-08-19,15.58
2013-08-20,16.120001000000002
2013-08-21,15.11
2013-08-22,14.88
2013-08-23,15.05
2013-08-26,13.42
2013-08-27,14.56
2013-08-28,14.38
2013-08-29,14.81
2013-08-30,14.34
2013-09-03,14.81
2013-09-04,15.2
2013-09-05,15.34
2013-09-06,16.66
2013-09-09,17.66
2013-09-10,17.870001000000002
2013-09-11,17.719998999999998
2013-09-12,17.440001000000002
2013-09-13,17.83
2013-09-16,17.799999
2013-09-17,17.99
2013-09-18,17.889999
2013-09-19,17.719998999999998
2013-09-20,17.879998999999998
2013-09-23,17.799999
2013-09-24,17.620001000000002
2013-09-25,19.110001
2013-09-26,19.52
2013-09-27,19.209999
2013-09-30,19.52
2013-10-01,20.57
2013-10-02,19.99
2013-10-03,19.549999
2013-10-04,19.98
2013-10-07,19.68
2013-10-08,19.110001
2013-10-09,18.09
2013-10-10,19.450001
2013-10-11,19.76
2013-10-14,19.75
2013-10-15,20.26
2013-10-16,21.030001000000002
2013-10-17,21.860001
2013-10-18,21.629998999999998
2013-10-21,22.26
2013-10-22,21.68
2013-10-23,21.23
2013-10-24,21.6
2013-10-25,20.74
2013-10-28,21.07
2013-10-29,21.5
2013-10-30,19.91
2013-10-31,20.549999
2013-11-01,20.120001000000002
2013-11-04,20.969998999999998
2013-11-05,20.58
2013-11-06,20.610001
2013-11-07,19.700001
2013-11-08,20.540001
2013-11-11,21.85
2013-11-12,21.51
2013-11-13,22.32
2013-11-14,21.780001000000002
2013-11-15,22.290001
2013-11-18,21.969998999999998
2013-11-19,21.549999
2013-11-20,21.540001
2013-11-21,22.940001000000002
2013-11-22,22.450001
2013-11-25,23.790001
2013-11-26,24.42
2013-11-27,24.790001
2013-11-29,24.799999
2013-12-02,23.690001000000002
2013-12-03,23.57
2013-12-04,24.02
2013-12-05,23.98
2013-12-06,24.719998999999998
2013-12-09,24.940001000000002
2013-12-10,24.959999
2013-12-11,23.719998999999998
2013-12-12,24.5
2013-12-13,24.809998999999998
2013-12-16,24.73
2013-12-17,24.84
2013-12-18,24.99
2013-12-19,25.07
2013-12-20,27.940001000000002
2013-12-23,28.959999
2013-12-24,28.790001
2013-12-26,30.65
2013-12-27,31.889999
2013-12-30,32.080002
2013-12-31,33.889998999999996
2014-01-02,33.07
2014-01-03,34.209998999999996
2014-01-06,34.060001
2014-01-07,35.610001000000004
2014-01-08,32.459998999999996
2014-01-09,32.169998
2014-01-10,29.309998999999998
2014-01-13,28.99
2014-01-14,31.709999
2014-01-15,32.029999
2014-01-16,32.419998
2014-01-17,31.9
2014-01-21,32.25
2014-01-22,32.009997999999996
