Date,FWP
2014-10-15,122.5
2014-10-16,133.0
2014-10-17,139.929993
2014-10-20,140.91000400000001
2014-10-21,139.580002
2014-10-22,133.979996
2014-10-23,140.0
2014-10-24,141.470001
2014-10-27,140.770004
2014-10-28,139.229996
2014-10-29,147.699997
2014-10-30,145.25
2014-10-31,151.830002
2014-11-03,144.41000400000001
2014-11-04,149.309998
2014-11-05,146.929993
2014-11-06,147.0
2014-11-07,147.350006
2014-11-10,162.470001
2014-11-11,160.860001
2014-11-12,157.5
2014-11-13,154.0
2014-11-14,156.729996
2014-11-17,152.03999299999998
2014-11-18,147.979996
2014-11-19,146.08999599999999
2014-11-20,143.850006
2014-11-21,142.58999599999999
2014-11-24,140.070007
2014-11-25,139.300003
2014-11-26,140.0
2014-11-28,139.580002
2014-12-01,136.429993
2014-12-02,136.990005
2014-12-03,145.600006
2014-12-04,145.110001
2014-12-05,142.800003
2014-12-08,141.610001
2014-12-09,138.600006
2014-12-10,142.380005
2014-12-11,139.369995
2014-12-12,139.78999299999998
2014-12-15,141.820007
2014-12-16,144.059998
2014-12-17,146.229996
2014-12-18,144.479996
2014-12-19,149.800003
2014-12-22,147.0
2014-12-23,142.100006
2014-12-24,140.91000400000001
2014-12-26,148.399994
2014-12-29,146.229996
2014-12-30,146.440002
2014-12-31,145.809998
2015-01-02,146.929993
2015-01-05,157.5
2015-01-06,148.820007
2015-01-07,155.050003
2015-01-08,151.690002
2015-01-09,145.320007
2015-01-12,147.0
2015-01-13,146.929993
2015-01-14,146.16000400000001
2015-01-15,146.229996
2015-01-16,144.690002
2015-01-20,157.360001
2015-01-21,150.009995
2015-01-22,153.229996
2015-01-23,152.740005
2015-01-26,171.5
2015-01-27,166.949997
2015-01-28,169.259995
2015-01-29,171.5
2015-01-30,172.690002
2015-02-02,173.880005
2015-02-03,168.0
2015-02-04,165.690002
2015-02-05,163.100006
2015-02-06,161.490005
2015-02-09,157.639999
2015-02-10,157.850006
2015-02-11,158.479996
2015-02-12,159.21499599999999
2015-02-13,158.619995
2015-02-17,162.399994
2015-02-18,166.25
2015-02-19,167.300003
2015-02-20,165.130005
2015-02-23,166.320007
2015-02-24,166.25
2015-02-25,160.649994
2015-02-26,162.889999
2015-02-27,162.96000700000002
2015-03-02,161.91000400000001
2015-03-03,162.679993
2015-03-04,162.119995
2015-03-05,160.509995
2015-03-06,159.669998
2015-03-09,161.0
2015-03-10,164.5
2015-03-11,165.270004
2015-03-12,163.449997
2015-03-13,165.41000400000001
2015-03-16,167.300003
2015-03-17,170.240005
2015-03-18,167.229996
2015-03-19,167.300003
2015-03-20,160.229996
2015-03-23,158.830002
2015-03-24,157.5
2015-03-25,162.75
2015-03-26,168.21000700000002
2015-03-27,187.320007
2015-03-30,198.869995
2015-03-31,198.240005
2015-04-01,199.850006
2015-04-02,197.820007
2015-04-06,192.5
2015-04-07,193.130005
2015-04-08,202.440002
2015-04-09,211.47000099999997
2015-04-10,224.27999900000003
2015-04-13,224.770004
2015-04-14,224.350006
2015-04-15,222.38999900000002
2015-04-16,224.979996
2015-04-17,226.100006
2015-04-20,223.30000299999998
2015-04-21,227.00999500000003
2015-04-22,222.38999900000002
2015-04-23,224.63000499999998
2015-04-24,224.210007
2015-04-27,221.899994
2015-04-28,219.38000499999998
2015-04-29,215.460007
