Date,WBC
2007-08-01,49.0
2007-08-02,48.099998
2007-08-03,47.990002000000004
2007-08-06,47.150002
2007-08-07,47.5
2007-08-08,47.189999
2007-08-09,46.349998
2007-08-10,46.900002
2007-08-13,48.200001
2007-08-14,48.419998
2007-08-15,46.880001
2007-08-16,44.299999
2007-08-17,44.75
2007-08-20,45.91
2007-08-21,46.93
2007-08-22,47.130001
2007-08-23,46.66
2007-08-24,46.98
2007-08-27,45.779999
2007-08-28,44.689999
2007-08-29,45.02
2007-08-30,44.93
2007-08-31,45.259997999999996
2007-09-04,46.0
2007-09-05,45.259997999999996
2007-09-06,45.189999
2007-09-07,45.310001
2007-09-10,44.470001
2007-09-11,43.59
2007-09-12,44.139998999999996
2007-09-13,44.0
2007-09-14,44.529999
2007-09-17,44.360001000000004
2007-09-18,46.349998
2007-09-19,45.98
2007-09-20,46.0
2007-09-21,46.939999
2007-09-24,46.209998999999996
2007-09-25,46.389998999999996
2007-09-26,46.259997999999996
2007-09-27,46.32
2007-09-28,46.75
2007-10-01,48.0
2007-10-02,48.950001
2007-10-03,48.5
2007-10-04,48.27
2007-10-05,49.279999
2007-10-08,50.779999
2007-10-09,51.630001
2007-10-10,50.610001000000004
2007-10-11,49.52
2007-10-12,50.700001
2007-10-15,50.939999
2007-10-16,50.419998
2007-10-17,51.619999
2007-10-18,49.75
2007-10-19,48.139998999999996
2007-10-22,47.990002000000004
2007-10-23,48.119999
2007-10-24,48.599998
2007-10-25,47.509997999999996
2007-10-26,47.369999
2007-10-29,48.25
2007-10-30,49.009997999999996
2007-10-31,50.82
2007-11-01,50.5
2007-11-02,50.950001
2007-11-05,49.970001
2007-11-06,49.43
2007-11-07,48.830002
2007-11-08,48.450001
2007-11-09,48.25
2007-11-12,48.669998
2007-11-13,49.669998
2007-11-14,49.349998
2007-11-15,49.740002000000004
2007-11-16,49.73
2007-11-19,48.970001
2007-11-20,48.110001000000004
2007-11-21,47.93
2007-11-23,47.950001
2007-11-26,46.360001000000004
2007-11-27,46.66
2007-11-28,47.299999
2007-11-29,47.25
2007-11-30,46.959998999999996
2007-12-03,46.220001
2007-12-04,46.290001000000004
2007-12-05,46.48
2007-12-06,47.139998999999996
2007-12-07,48.18
2007-12-10,48.23
2007-12-11,48.5
2007-12-12,48.970001
2007-12-13,50.439999
2007-12-14,49.259997999999996
2007-12-17,49.48
2007-12-18,49.200001
2007-12-19,48.689999
2007-12-20,49.360001000000004
2007-12-21,49.849998
2007-12-24,51.0
2007-12-26,50.07
2007-12-27,49.990002000000004
2007-12-28,49.75
2007-12-31,50.09
2008-01-02,48.98
2008-01-03,48.490002000000004
2008-01-04,46.990002000000004
2008-01-07,46.459998999999996
2008-01-08,46.5
2008-01-09,46.240002000000004
2008-01-10,45.98
2008-01-11,45.279999
2008-01-14,46.23
2008-01-15,45.150002
2008-01-16,45.080002
2008-01-17,43.189999
2008-01-18,42.75
2008-01-22,42.200001
2008-01-23,40.82
