Date,BNED
2015-07-23,14.75
2015-07-24,14.41
2015-07-27,14.41
2015-07-28,14.41
2015-07-29,13.61
2015-07-30,13.51
2015-07-31,14.35
2015-08-03,13.19
2015-08-04,12.94
2015-08-05,13.13
2015-08-06,12.59
2015-08-07,11.8
2015-08-10,12.71
2015-08-11,13.18
2015-08-12,12.88
2015-08-13,12.95
2015-08-14,13.73
2015-08-17,14.09
2015-08-18,13.36
2015-08-19,13.11
2015-08-20,12.67
2015-08-21,12.87
2015-08-24,12.56
2015-08-25,12.17
2015-08-26,12.17
2015-08-27,12.41
2015-08-28,12.86
2015-08-31,12.9
2015-09-01,13.03
2015-09-02,13.31
2015-09-03,13.3
2015-09-04,13.45
2015-09-08,13.26
2015-09-09,12.95
2015-09-10,12.94
2015-09-11,12.74
2015-09-14,13.6
2015-09-15,13.29
2015-09-16,13.02
2015-09-17,12.92
2015-09-18,12.87
2015-09-21,12.71
2015-09-22,12.65
2015-09-23,12.55
2015-09-24,13.28
2015-09-25,13.37
2015-09-28,12.71
2015-09-29,12.76
2015-09-30,12.71
2015-10-01,12.43
2015-10-02,12.68
2015-10-05,12.61
2015-10-06,12.52
2015-10-07,12.69
2015-10-08,12.61
2015-10-09,12.42
2015-10-12,12.61
2015-10-13,12.45
2015-10-14,12.4
2015-10-15,12.65
2015-10-16,12.86
2015-10-19,12.7
2015-10-20,12.43
2015-10-21,12.44
2015-10-22,12.58
2015-10-23,12.56
2015-10-26,13.24
2015-10-27,12.99
2015-10-28,13.51
2015-10-29,13.97
2015-10-30,14.75
2015-11-02,14.2
2015-11-03,14.33
2015-11-04,14.59
2015-11-05,14.56
2015-11-06,14.93
2015-11-09,14.65
2015-11-10,14.51
2015-11-11,14.11
2015-11-12,13.73
2015-11-13,13.55
2015-11-16,14.2
2015-11-17,14.3
2015-11-18,14.55
2015-11-19,14.41
2015-11-20,14.85
2015-11-23,14.93
2015-11-24,14.81
2015-11-25,15.14
2015-11-27,15.27
2015-11-30,14.45
2015-12-01,14.47
2015-12-02,14.72
2015-12-03,14.0
2015-12-04,12.97
2015-12-07,12.8
2015-12-08,9.31
2015-12-09,8.99
2015-12-10,8.76
2015-12-11,8.7
2015-12-14,9.03
2015-12-15,9.02
2015-12-16,9.35
2015-12-17,9.63
2015-12-18,10.02
2015-12-21,9.76
