Date,LNCE
2012-06-18,25.42
2012-06-19,25.370001000000002
2012-06-20,25.190001000000002
2012-06-21,24.73
2012-06-22,24.58
2012-06-25,24.450001
2012-06-26,24.43
2012-06-27,24.540001
2012-06-28,24.530001000000002
2012-06-29,25.23
2012-07-02,25.459999
2012-07-03,25.41
2012-07-05,25.424999
2012-07-06,25.459999
2012-07-09,25.27
2012-07-10,25.059998999999998
2012-07-11,24.16
2012-07-12,24.25
2012-07-13,24.32
2012-07-16,23.93
2012-07-17,23.9
2012-07-18,23.530001000000002
2012-07-19,23.17
2012-07-20,22.945
2012-07-23,22.620001000000002
2012-07-24,22.85
2012-07-25,22.950001
2012-07-26,23.110001
2012-07-27,23.4
2012-07-30,23.450001
2012-07-31,23.43
2012-08-01,22.85
2012-08-02,22.76
2012-08-03,22.91
2012-08-06,23.379998999999998
2012-08-07,24.18
2012-08-08,23.18
2012-08-09,23.200001
2012-08-10,22.870001000000002
2012-08-13,22.75
2012-08-14,22.450001
2012-08-15,22.57
2012-08-16,22.76
2012-08-17,23.040001
2012-08-20,22.950001
2012-08-21,23.01
2012-08-22,23.18
2012-08-23,23.09
2012-08-24,23.370001000000002
2012-08-27,23.52
2012-08-28,23.6
2012-08-29,23.42
2012-08-30,23.27
2012-08-31,23.389999
2012-09-04,22.459999
2012-09-05,22.5
2012-09-06,25.110001
2012-09-07,25.51
2012-09-10,25.68
2012-09-11,25.43
2012-09-12,25.469998999999998
2012-09-13,25.719998999999998
2012-09-14,25.02
2012-09-17,24.75
2012-09-18,24.709999
2012-09-19,24.58
2012-09-20,24.620001000000002
2012-09-21,24.68
2012-09-24,25.200001
2012-09-25,25.09
2012-09-26,24.870001000000002
2012-09-27,25.17
2012-09-28,24.99
2012-10-01,25.51
2012-10-02,25.43
2012-10-03,25.26
2012-10-04,25.15
2012-10-05,25.040001
2012-10-08,25.41
2012-10-09,25.030001000000002
2012-10-10,25.290001
2012-10-11,25.299999
2012-10-12,25.059998999999998
2012-10-15,25.59
2012-10-16,25.57
2012-10-17,26.030001000000002
2012-10-18,25.93
2012-10-19,25.24
2012-10-22,25.440001000000002
2012-10-23,25.040001
2012-10-24,25.08
2012-10-25,25.26
2012-10-26,25.26
2012-10-31,25.34
2012-11-01,25.860001
2012-11-02,24.99
2012-11-05,24.74
2012-11-06,25.58
2012-11-07,24.17
2012-11-08,23.41
2012-11-09,23.379998999999998
2012-11-12,23.959999
2012-11-13,23.99
2012-11-14,23.700001
2012-11-15,23.2299
2012-11-16,23.01
2012-11-19,23.469998999999998
2012-11-20,23.299999
2012-11-21,23.700001
2012-11-23,23.559998999999998
2012-11-26,23.610001
2012-11-27,23.719998999999998
2012-11-28,23.940001000000002
2012-11-29,24.110001
2012-11-30,24.08
2012-12-03,24.459999
2012-12-04,24.7314
2012-12-05,24.5896
2012-12-06,23.98
2012-12-07,24.25
2012-12-10,24.450001
2012-12-11,24.48
2012-12-12,24.450001
2012-12-13,24.17
2012-12-14,23.820498999999998
2012-12-17,24.0
2012-12-18,24.0
2012-12-19,23.969998999999998
2012-12-20,23.98
2012-12-21,24.0
2012-12-24,23.92
2012-12-26,23.709999
2012-12-27,23.709999
2012-12-28,23.68
2012-12-31,24.120199
2013-01-02,24.93
2013-01-03,25.1
2013-01-04,25.030001000000002
2013-01-07,25.040001
2013-01-08,24.760599
2013-01-09,25.01
2013-01-10,24.83
2013-01-11,24.9
2013-01-14,25.26
2013-01-15,25.66
2013-01-16,25.32
2013-01-17,25.67
2013-01-18,25.65
2013-01-22,25.389999
2013-01-23,25.32
2013-01-24,25.860001
2013-01-25,25.959999
2013-01-28,26.0
2013-01-29,26.16
2013-01-30,25.559998999999998
2013-01-31,25.43
2013-02-01,25.74
2013-02-04,25.5
2013-02-05,25.620001000000002
2013-02-06,25.959999
2013-02-07,26.02
2013-02-08,25.85
2013-02-11,26.1
2013-02-12,25.25
2013-02-13,25.440001000000002
2013-02-14,25.530001000000002
2013-02-15,25.42
2013-02-19,25.709999
2013-02-20,25.35
2013-02-21,25.43
2013-02-22,25.559998999999998
2013-02-25,24.66
2013-02-26,24.950001
2013-02-27,25.120001000000002
2013-02-28,24.76
2013-03-01,25.040001
2013-03-04,24.77
2013-03-05,24.98
2013-03-06,24.85
2013-03-07,24.950001
2013-03-08,25.17
2013-03-11,24.879998999999998
2013-03-12,24.91
2013-03-13,24.99
2013-03-14,25.09
2013-03-15,25.139999
2013-03-18,25.030001000000002
2013-03-19,25.209999
2013-03-20,25.26
2013-03-21,25.059998999999998
2013-03-22,25.02
2013-03-25,24.950001
2013-03-26,25.09
2013-03-27,25.15
2013-03-28,25.26
2013-04-01,25.059998999999998
2013-04-02,24.76
2013-04-03,24.389999
2013-04-04,24.790001
2013-04-05,24.58
2013-04-08,24.75
2013-04-09,24.59
2013-04-10,25.299999
2013-04-11,25.0
2013-04-12,25.26
2013-04-15,24.49
2013-04-16,25.059998999999998
2013-04-17,24.27
2013-04-18,24.58
2013-04-19,24.809998999999998
2013-04-22,24.879998999999998
2013-04-23,25.08
2013-04-24,24.940001000000002
2013-04-25,24.76
2013-04-26,24.76
2013-04-29,24.98
2013-04-30,25.18
2013-05-01,24.42
2013-05-02,24.709999
2013-05-03,25.370001000000002
2013-05-06,25.290001
2013-05-07,26.440001000000002
