Date,NLC
2013-12-16,28.389999
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,22.795
2014-07-15,23.094998999999998
2014-07-16,23.370001000000002
2014-07-17,24.125
2014-07-18,24.125
2014-07-21,24.125
2014-07-22,23.68
2014-07-23,23.950001
2014-07-24,24.09
2014-07-25,23.594998999999998
2014-07-28,23.75
2014-07-29,23.753
2014-07-30,24.6
2014-07-31,23.165001
2014-08-01,23.054001
2014-08-04,20.52
2014-08-05,19.799
2014-08-06,19.405001000000002
2014-08-07,19.466
2014-08-08,20.02
2014-08-11,19.827
2014-08-12,19.996
2014-08-13,19.806
2014-08-14,19.816
2014-08-15,20.061001
2014-08-18,20.142
2014-08-19,20.285999
2014-08-20,20.572001
2014-08-21,20.702999
2014-08-22,20.701
2014-08-25,20.475
2014-08-26,20.642
2014-08-27,20.805
2014-08-28,21.014
2014-08-29,20.893998999999997
2014-09-02,21.308001
2014-09-03,21.245001000000002
2014-09-04,20.91
2014-09-05,20.544001
2014-09-08,20.202999
2014-09-09,20.389999
2014-09-10,20.368
2014-09-11,20.305
2014-09-12,20.434
2014-09-15,19.549
2014-09-16,19.500999
2014-09-17,19.25
2014-09-18,18.833
2014-09-19,18.846001
2014-09-22,18.264
2014-09-23,18.318001000000002
2014-09-24,18.356001000000003
2014-09-25,18.048
2014-09-26,17.771998999999997
2014-09-29,18.110001
2014-09-30,17.569
2014-10-01,17.337999
2014-10-02,16.700001
2014-10-03,16.700001
2014-10-06,16.077999
2014-10-07,16.667999
2014-10-08,15.7
2014-10-09,16.032
2014-10-10,15.1
2014-10-13,15.018
2014-10-14,14.668
2014-10-15,14.668
2014-10-16,14.405
2014-10-17,15.231
2014-10-20,15.041
2014-10-21,15.491
2014-10-22,15.978
2014-10-23,16.195999
2014-10-24,16.094
2014-10-27,15.824
2014-10-28,15.604
2014-10-29,16.343
2014-10-30,15.517
2014-10-31,15.517
2014-11-03,16.417
2014-11-04,15.602
2014-11-05,15.308
2014-11-06,15.903
2014-11-07,16.775
2014-11-10,17.620001000000002
2014-11-11,16.792999
2014-11-12,16.664
2014-11-13,16.931998999999998
2014-11-14,17.052999
2014-11-17,16.215
2014-11-18,16.566
2014-11-19,16.229
2014-11-20,16.747999
2014-11-21,16.895
2014-11-24,16.965
2014-11-25,16.861
2014-11-26,15.618
2014-11-28,14.268
2014-12-01,14.3
2014-12-02,14.112
2014-12-03,14.353
2014-12-04,13.514
2014-12-05,13.17
2014-12-08,12.576
2014-12-09,12.567
2014-12-10,12.493
2014-12-11,12.185
2014-12-12,11.725
2014-12-15,11.677
2014-12-16,12.309
2014-12-17,11.97
2014-12-18,13.015
2014-12-19,13.822
2014-12-22,15.3
2014-12-23,14.279
2014-12-24,14.992
2014-12-26,14.992
2014-12-29,14.55
2014-12-30,14.5
2014-12-31,14.5
2015-01-02,14.5
2015-01-05,14.23
2015-01-06,12.879
2015-01-07,13.08
2015-01-08,12.98
2015-01-09,13.428
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-20,
2015-01-21,
2015-01-22,14.51
2015-01-23,14.81
2015-01-26,14.72
2015-01-27,14.534
2015-01-28,14.89
2015-01-29,14.48
2015-01-30,13.68
2015-02-02,14.787
2015-02-03,15.435
2015-02-04,15.165
2015-02-05,14.27
2015-02-06,15.23
2015-02-09,16.464001
2015-02-10,16.125
2015-02-11,15.668
2015-02-12,15.591
2015-02-13,15.6
2015-02-17,15.895
2015-02-18,16.485001
2015-02-19,16.986
2015-02-20,16.76
2015-02-23,16.355
2015-02-24,0.17
2015-02-25,0.17
2015-02-26,0.16
2015-02-27,0.16
2015-03-02,0.16
2015-03-03,0.16
2015-03-04,0.175
2015-03-05,0.175
2015-03-06,0.2
2015-03-09,0.2
2015-03-10,0.17
2015-03-11,0.17
2015-03-12,0.17
2015-03-13,0.17
2015-03-16,0.17
2015-03-17,0.17
