Date,IHG
2003-04-10,12.118489
2003-04-11,12.118489
2003-04-14,12.118489
2003-04-15,12.348322999999999
2003-04-16,11.491671
2003-04-17,11.700610000000001
2003-04-21,11.387201
2003-04-22,10.990216
2003-04-23,11.742398
2003-04-24,11.491671
2003-04-25,11.90955
2003-04-28,12.619944
2003-04-29,12.118489
2003-04-30,13.372126000000002
2003-05-01,13.267656
2003-05-02,13.581064999999999
2003-05-05,12.912459
2003-05-06,14.103415
2003-05-07,14.625763000000001
2003-05-08,14.040732
2003-05-09,14.563081
2003-05-12,14.416823
2003-05-13,14.124308
2003-05-14,14.521293
2003-05-15,15.252582
2003-05-16,15.77493
2003-05-19,15.043642000000002
2003-05-20,15.357051
2003-05-21,15.043642000000002
2003-05-22,14.939172
2003-05-23,14.792914000000001
2003-05-27,15.127217000000002
2003-05-28,15.377945
2003-05-29,15.461521
2003-05-30,15.148110999999998
2003-06-02,15.148110999999998
2003-06-03,14.792914000000001
2003-06-04,15.127217000000002
2003-06-05,14.772020000000001
2003-06-06,15.398839
2003-06-09,15.921187
2003-06-10,15.77493
2003-06-11,16.297279
2003-06-12,15.67046
2003-06-13,15.858505
2003-06-16,15.628673000000001
2003-06-17,15.921187
2003-06-18,16.297279
2003-06-19,16.151020000000003
2003-06-20,15.56599
2003-06-23,15.628673000000001
2003-06-24,15.148110999999998
2003-06-25,15.419732999999999
2003-06-26,14.855597
2003-06-27,15.210792999999999
2003-06-30,15.252582
2003-07-01,15.440627
2003-07-02,16.130126999999998
2003-07-03,16.192808
2003-07-07,16.297279
2003-07-08,16.276384
2003-07-09,16.46443
2003-07-10,16.401749
2003-07-11,16.192808
2003-07-14,16.506218
2003-07-15,16.297279
2003-07-16,16.025658
2003-07-17,15.67046
2003-07-18,16.088339
2003-07-21,16.067446
2003-07-22,15.628673000000001
2003-07-23,15.879399
2003-07-24,16.631582
2003-07-25,16.548006
2003-07-28,16.297279
2003-07-29,16.401749
2003-07-30,15.440627
2003-07-31,15.357051
2003-08-01,15.545096
2003-08-04,14.897383999999999
2003-08-05,15.712248
2003-08-06,16.339066
2003-08-07,16.506218
2003-08-08,16.485325
2003-08-11,16.924097
