Date,STNE
2018-10-25,31.35
2018-10-26,31.09
2018-10-29,29.059998999999998
2018-10-30,28.68
2018-10-31,28.690001000000002
2018-11-01,29.42
2018-11-02,30.129998999999998
2018-11-05,30.75
2018-11-06,30.469998999999998
2018-11-07,29.4
2018-11-08,27.700001
2018-11-09,27.370001000000002
2018-11-12,25.01
2018-11-13,24.799999
2018-11-14,23.440001000000002
2018-11-15,24.639999
2018-11-16,25.309998999999998
2018-11-19,22.0
2018-11-20,21.219998999999998
2018-11-21,22.34
2018-11-23,21.84
2018-11-26,21.700001
2018-11-27,22.780001000000002
2018-11-28,24.030001000000002
2018-11-29,23.85
2018-11-30,23.57
2018-12-03,22.530001000000002
2018-12-04,22.09
2018-12-06,21.67
2018-12-07,20.76
2018-12-10,19.870001000000002
2018-12-11,20.59
2018-12-12,19.860001
2018-12-13,18.540001
2018-12-14,17.709999
2018-12-17,17.629998999999998
2018-12-18,18.450001
2018-12-19,18.120001000000002
2018-12-20,17.780001000000002
2018-12-21,16.99
2018-12-24,16.709999
2018-12-26,17.459999
2018-12-27,17.209999
2018-12-28,17.6
2018-12-31,18.440001000000002
2019-01-02,19.07
2019-01-03,18.559998999999998
2019-01-04,19.99
2019-01-07,20.690001000000002
2019-01-08,21.120001000000002
2019-01-09,21.030001000000002
2019-01-10,21.43
2019-01-11,21.1
2019-01-14,20.790001
2019-01-15,20.709999
2019-01-16,20.690001000000002
2019-01-17,20.66
2019-01-18,22.190001000000002
2019-01-22,22.860001
2019-01-23,22.120001000000002
2019-01-24,22.9
2019-01-25,23.09
2019-01-28,22.190001000000002
2019-01-29,21.889999
2019-01-30,21.459999
2019-01-31,22.120001000000002
2019-02-01,22.809998999999998
2019-02-04,23.459999
2019-02-05,22.76
2019-02-06,21.379998999999998
2019-02-07,21.27
2019-02-08,21.110001
2019-02-11,21.15
2019-02-12,21.42
2019-02-13,21.370001000000002
2019-02-14,21.27
2019-02-15,22.07
2019-02-19,23.459999
2019-02-20,25.120001000000002
2019-02-21,24.43
2019-02-22,26.26
2019-02-25,29.35
2019-02-26,29.58
2019-02-27,32.200001
2019-02-28,30.41
2019-03-01,31.129998999999998
2019-03-04,32.0
2019-03-05,32.189999
2019-03-06,31.0
2019-03-07,29.030001000000002
2019-03-08,29.92
2019-03-11,31.969998999999998
2019-03-12,31.709999
2019-03-13,30.76
2019-03-14,30.34
2019-03-15,32.509997999999996
2019-03-18,34.599998
2019-03-19,40.970001
2019-03-20,37.799999
2019-03-21,42.950001
2019-03-22,41.82
2019-03-25,40.439999
2019-03-26,43.560001
2019-03-27,41.43
2019-03-28,41.049999
2019-03-29,41.110001000000004
2019-04-01,42.93
2019-04-02,42.150002
2019-04-03,38.5
2019-04-04,37.43
2019-04-05,35.900002
2019-04-08,37.77
2019-04-09,37.48
2019-04-10,36.880001
2019-04-11,35.66
2019-04-12,35.25
2019-04-15,35.950001
2019-04-16,36.23
2019-04-17,34.740002000000004
2019-04-18,26.51
2019-04-22,25.92
2019-04-23,25.139999
2019-04-24,26.82
2019-04-25,26.93
2019-04-26,26.77
2019-04-29,27.969998999999998
2019-04-30,28.790001
2019-05-01,27.0
2019-05-02,26.65
2019-05-03,27.540001
2019-05-06,27.57
2019-05-07,27.09
2019-05-08,27.34
2019-05-09,27.690001000000002
2019-05-10,27.91
2019-05-13,26.540001
2019-05-14,26.530001000000002
2019-05-15,26.209999
2019-05-16,26.870001000000002
2019-05-17,25.870001000000002
2019-05-20,26.799999
2019-05-21,28.639999
2019-05-22,27.75
2019-05-23,26.17
2019-05-24,26.059998999999998
2019-05-28,26.389999
2019-05-29,25.58
2019-05-30,25.5
2019-05-31,25.200001
2019-06-03,24.690001000000002
2019-06-04,26.23
2019-06-05,26.290001
2019-06-06,27.030001000000002
2019-06-07,26.629998999999998
2019-06-10,28.0
2019-06-11,27.879998999999998
2019-06-12,28.17
2019-06-13,28.540001
2019-06-14,28.33
2019-06-17,29.290001
2019-06-18,29.950001
2019-06-19,29.370001000000002
2019-06-20,29.440001000000002
2019-06-21,29.139999
2019-06-24,28.700001
2019-06-25,28.200001
2019-06-26,28.450001
2019-06-27,28.799999
2019-06-28,29.58
2019-07-01,28.879998999999998
2019-07-02,28.52
2019-07-03,28.450001
2019-07-05,29.35
2019-07-08,29.18
2019-07-09,30.799999
2019-07-10,32.009997999999996
2019-07-11,34.869999
2019-07-12,33.82
2019-07-15,33.869999
2019-07-16,34.009997999999996
2019-07-17,35.68
2019-07-18,35.189999
2019-07-19,34.790001000000004
2019-07-22,36.220001
2019-07-23,34.490002000000004
2019-07-24,33.310001
2019-07-25,32.389998999999996
2019-07-26,34.16
