Date,CHRS
2015-10-09,23.290001
2015-10-12,22.84
2015-10-13,21.51
2015-10-14,21.799999
2015-10-15,23.540001
2015-10-16,24.799999
2015-10-19,23.74
2015-10-20,23.190001000000002
2015-10-21,23.02
2015-10-22,23.030001000000002
2015-10-23,24.66
2015-10-26,25.040001
2015-10-27,27.15
2015-10-28,27.540001
2015-10-29,28.389999
2015-10-30,27.85
2015-11-02,28.709999
2015-11-03,28.809998999999998
2015-11-04,29.309998999999998
2015-11-05,29.09
2015-11-06,29.4
2015-11-09,29.059998999999998
2015-11-10,29.549999
2015-11-11,28.440001000000002
2015-11-12,26.940001000000002
2015-11-13,26.82
2015-11-16,26.98
2015-11-17,27.26
2015-11-18,27.23
2015-11-19,27.1
2015-11-20,27.610001
2015-11-23,29.59
2015-11-24,29.959999
2015-11-25,29.52
2015-11-27,30.559998999999998
2015-11-30,30.370001000000002
2015-12-01,29.83
2015-12-02,29.83
2015-12-03,28.299999
2015-12-04,29.23
2015-12-07,27.68
2015-12-08,28.200001
2015-12-09,24.299999
2015-12-10,25.889999
2015-12-11,24.59
2015-12-14,24.360001
2015-12-15,25.870001000000002
2015-12-16,25.35
2015-12-17,23.299999
2015-12-18,22.41
2015-12-21,22.309998999999998
2015-12-22,21.549999
2015-12-23,22.4
2015-12-24,22.969998999999998
2015-12-28,22.27
2015-12-29,23.74
2015-12-30,23.32
2015-12-31,22.959999
2016-01-04,21.07
2016-01-05,20.59
2016-01-06,18.870001000000002
2016-01-07,18.280001000000002
2016-01-08,18.27
2016-01-11,17.709999
2016-01-12,16.700001
2016-01-13,14.07
2016-01-14,16.0
2016-01-15,16.190001000000002
2016-01-19,15.1
2016-01-20,15.02
2016-01-21,14.03
2016-01-22,14.49
2016-01-25,14.69
2016-01-26,14.55
2016-01-27,13.61
2016-01-28,13.36
2016-01-29,13.26
2016-02-01,13.16
2016-02-02,13.12
2016-02-03,12.75
2016-02-04,13.24
2016-02-05,14.33
2016-02-08,12.54
2016-02-09,12.71
2016-02-10,12.85
2016-02-11,13.34
2016-02-12,13.61
2016-02-16,14.69
2016-02-17,15.41
2016-02-18,14.66
2016-02-19,14.63
2016-02-22,14.6
2016-02-23,13.94
2016-02-24,13.99
2016-02-25,13.82
2016-02-26,14.43
2016-02-29,14.19
2016-03-01,15.02
2016-03-02,17.639999
2016-03-03,18.059998999999998
2016-03-04,18.459999
2016-03-07,19.93
2016-03-08,19.27
2016-03-09,19.610001
2016-03-10,18.0
2016-03-11,19.09
2016-03-14,20.040001
2016-03-15,18.26
2016-03-16,18.41
2016-03-17,18.42
2016-03-18,19.389999
2016-03-21,20.24
2016-03-22,20.0
2016-03-23,19.110001
2016-03-24,19.41
2016-03-28,18.83
2016-03-29,19.82
2016-03-30,19.25
2016-03-31,21.23
2016-04-01,22.469998999999998
2016-04-04,22.07
2016-04-05,22.620001000000002
2016-04-06,23.85
2016-04-07,22.52
2016-04-08,22.23
2016-04-11,21.6
2016-04-12,21.559998999999998
2016-04-13,22.110001
2016-04-14,21.879998999999998
2016-04-15,21.860001
2016-04-18,21.99
2016-04-19,21.17
2016-04-20,21.059998999999998
2016-04-21,21.66
2016-04-22,21.74
2016-04-25,20.98
2016-04-26,20.459999
2016-04-27,20.09
2016-04-28,19.25
2016-04-29,18.83
2016-05-02,19.969998999999998
2016-05-03,19.110001
2016-05-04,18.65
2016-05-05,18.57
2016-05-06,19.209999
2016-05-09,19.200001
2016-05-10,18.0
2016-05-11,17.17
2016-05-12,16.02
2016-05-13,15.23
2016-05-16,16.27
2016-05-17,18.85
2016-05-18,19.49
2016-05-19,18.959999
2016-05-20,19.5
2016-05-23,18.120001000000002
2016-05-24,18.280001000000002
2016-05-25,18.26
2016-05-26,18.01
2016-05-27,17.959999
2016-05-31,18.65
2016-06-01,18.879998999999998
2016-06-02,19.469998999999998
2016-06-03,18.280001000000002
2016-06-06,17.809998999999998
2016-06-07,17.42
2016-06-08,18.040001
2016-06-09,16.950001
2016-06-10,16.01
2016-06-13,16.51
2016-06-14,16.0
2016-06-15,16.440001000000002
2016-06-16,16.01
2016-06-17,15.57
2016-06-20,15.63
2016-06-21,15.69
2016-06-22,16.02
2016-06-23,16.469998999999998
2016-06-24,15.32
2016-06-27,14.13
2016-06-28,15.64
2016-06-29,16.790001
2016-06-30,16.889999
2016-07-01,16.84
2016-07-05,16.66
2016-07-06,16.51
2016-07-07,16.43
2016-07-08,17.219998999999998
2016-07-11,21.93
2016-07-12,22.91
2016-07-13,22.6
2016-07-14,22.120001000000002
2016-07-15,23.610001
2016-07-18,23.440001000000002
2016-07-19,23.85
2016-07-20,26.1
2016-07-21,23.98
2016-07-22,24.219998999999998
2016-07-25,24.120001000000002
2016-07-26,24.700001
2016-07-27,25.780001000000002
2016-07-28,24.57
2016-07-29,25.389999
2016-08-01,25.82
2016-08-02,27.33
2016-08-03,27.92
2016-08-04,28.09
2016-08-05,29.120001000000002
2016-08-08,30.040001
2016-08-09,29.700001
2016-08-10,29.040001
2016-08-11,30.049999
2016-08-12,29.5
2016-08-15,30.1
2016-08-16,29.16
2016-08-17,29.709999
2016-08-18,30.139999
2016-08-19,30.51
2016-08-22,30.209999
2016-08-23,29.889999
2016-08-24,28.950001
2016-08-25,29.35
2016-08-26,29.389999
2016-08-29,29.25
2016-08-30,29.51
2016-08-31,29.77
2016-09-01,29.98
2016-09-02,30.809998999999998
2016-09-06,30.030001000000002
2016-09-07,30.35
2016-09-08,30.58
2016-09-09,29.780001000000002
2016-09-12,31.360001
2016-09-13,29.84
2016-09-14,30.67
2016-09-15,30.215
2016-09-16,30.98
2016-09-19,30.030001000000002
2016-09-20,31.57
2016-09-21,30.75
2016-09-22,30.879998999999998
2016-09-23,30.0
2016-09-26,29.690001000000002
2016-09-27,30.92
2016-09-28,28.790001
2016-09-29,26.290001
2016-09-30,26.780001000000002
2016-10-03,25.450001
2016-10-04,25.33
2016-10-05,25.780001000000002
2016-10-06,25.25
2016-10-07,27.040001
2016-10-10,28.709999
2016-10-11,28.52
2016-10-12,27.879998999999998
2016-10-13,28.440001000000002
2016-10-14,28.18
2016-10-17,28.879998999999998
2016-10-18,29.219998999999998
2016-10-19,29.76
2016-10-20,30.389999
2016-10-21,30.49
2016-10-24,30.690001000000002
2016-10-25,30.52
2016-10-26,29.73
2016-10-27,29.5
2016-10-28,28.700001
2016-10-31,27.35
2016-11-01,27.799999
2016-11-02,29.049999
2016-11-03,27.299999
2016-11-04,28.15
2016-11-07,25.6
2016-11-08,24.15
2016-11-09,27.1
2016-11-10,27.950001
2016-11-11,27.65
2016-11-14,28.049999
2016-11-15,28.5
2016-11-16,27.700001
2016-11-17,28.0
2016-11-18,28.25
2016-11-21,28.450001
2016-11-22,27.75
2016-11-23,28.1
2016-11-25,28.049999
2016-11-28,27.799999
2016-11-29,27.85
2016-11-30,26.9
2016-12-01,27.549999
2016-12-02,27.9
2016-12-05,28.15
2016-12-06,28.15
2016-12-07,27.5
2016-12-08,27.85
2016-12-09,28.15
2016-12-12,27.799999
2016-12-13,27.6
2016-12-14,27.799999
2016-12-15,27.75
2016-12-16,28.299999
2016-12-19,27.799999
2016-12-20,27.9
2016-12-21,27.9
2016-12-22,28.0
2016-12-23,28.049999
2016-12-27,27.9
2016-12-28,28.549999
2016-12-29,28.25
2016-12-30,28.15
2017-01-03,28.0
2017-01-04,29.049999
2017-01-05,28.0
2017-01-06,27.9
2017-01-09,27.65
2017-01-10,28.0
2017-01-11,27.25
2017-01-12,27.0
2017-01-13,27.15
2017-01-17,25.200001
2017-01-18,25.450001
2017-01-19,26.1
2017-01-20,26.049999
2017-01-23,26.200001
2017-01-24,26.5
2017-01-25,27.75
2017-01-26,27.549999
2017-01-27,27.75
2017-01-30,27.950001
2017-01-31,27.9
2017-02-01,27.200001
2017-02-02,27.0
2017-02-03,27.25
2017-02-06,26.950001
2017-02-07,26.65
2017-02-08,23.6
2017-02-09,23.549999
2017-02-10,23.25
2017-02-13,23.0
2017-02-14,23.049999
2017-02-15,22.799999
2017-02-16,23.0
2017-02-17,22.5
2017-02-21,22.700001
2017-02-22,21.700001
2017-02-23,21.65
2017-02-24,21.75
2017-02-27,22.9
2017-02-28,23.6
2017-03-01,24.9
2017-03-02,24.799999
2017-03-03,25.450001
2017-03-06,24.799999
2017-03-07,24.5
2017-03-08,24.0
2017-03-09,23.450001
2017-03-10,23.450001
2017-03-13,23.450001
2017-03-14,22.174999
2017-03-15,22.5
2017-03-16,23.200001
2017-03-17,23.25
2017-03-20,23.700001
2017-03-21,22.35
2017-03-22,22.549999
2017-03-23,21.85
2017-03-24,21.549999
2017-03-27,21.5
2017-03-28,20.9
2017-03-29,20.700001
2017-03-30,20.5
2017-03-31,21.15
2017-04-03,20.15
2017-04-04,19.549999
2017-04-05,19.5
2017-04-06,19.4
2017-04-07,19.549999
2017-04-10,19.4
2017-04-11,18.799999
2017-04-12,18.85
2017-04-13,19.35
2017-04-17,19.700001
2017-04-18,19.25
2017-04-19,18.65
2017-04-20,18.75
2017-04-21,18.35
2017-04-24,19.049999
2017-04-25,20.15
2017-04-26,20.15
2017-04-27,19.9
2017-04-28,19.200001
2017-05-01,20.299999
2017-05-02,20.049999
2017-05-03,19.549999
2017-05-04,19.299999
2017-05-05,19.75
2017-05-08,20.25
2017-05-09,19.450001
2017-05-10,21.4
2017-05-11,22.15
2017-05-12,22.35
2017-05-15,22.0
2017-05-16,22.049999
2017-05-17,23.799999
2017-05-18,24.5
2017-05-19,22.299999
2017-05-22,21.1
2017-05-23,21.85
2017-05-24,20.4
2017-05-25,20.200001
2017-05-26,20.25
2017-05-30,20.75
2017-05-31,19.75
2017-06-01,21.35
2017-06-02,22.450001
2017-06-05,21.9
2017-06-06,21.35
2017-06-07,20.65
2017-06-08,22.700001
2017-06-09,20.65
2017-06-12,15.725
2017-06-13,16.0
2017-06-14,15.5
2017-06-15,15.05
2017-06-16,14.85
2017-06-19,15.3
2017-06-20,15.15
2017-06-21,15.45
2017-06-22,15.8
2017-06-23,15.65
2017-06-26,16.0
2017-06-27,15.4
2017-06-28,14.85
2017-06-29,14.45
2017-06-30,14.35
2017-07-03,14.65
2017-07-05,14.4
2017-07-06,13.9
2017-07-07,13.5
2017-07-10,13.15
2017-07-11,13.65
2017-07-12,13.85
2017-07-13,13.85
2017-07-14,13.4
2017-07-17,13.25
2017-07-18,13.45
2017-07-19,13.65
2017-07-20,13.7
2017-07-21,13.65
2017-07-24,13.85
2017-07-25,13.7
2017-07-26,13.65
2017-07-27,13.2
2017-07-28,13.4
2017-07-31,13.1
2017-08-01,12.8
2017-08-02,12.85
2017-08-03,12.75
2017-08-04,12.7
2017-08-07,12.4
2017-08-08,13.5
2017-08-09,12.6
2017-08-10,11.525
2017-08-11,11.65
2017-08-14,12.2
2017-08-15,11.75
2017-08-16,11.5
2017-08-17,11.35
2017-08-18,11.1
2017-08-21,13.55
2017-08-22,13.8
2017-08-23,13.5
2017-08-24,14.1
2017-08-25,14.15
2017-08-28,14.25
2017-08-29,14.0
2017-08-30,14.25
2017-08-31,14.45
2017-09-01,14.4
2017-09-05,14.5
2017-09-06,14.4
2017-09-07,13.5
2017-09-08,12.55
2017-09-11,12.3
2017-09-12,12.35
2017-09-13,12.9
2017-09-14,12.9
2017-09-15,13.0
2017-09-18,12.7
2017-09-19,12.85
2017-09-20,12.95
2017-09-21,12.55
2017-09-22,12.85
2017-09-25,13.5
2017-09-26,13.4
2017-09-27,13.3
2017-09-28,13.5
2017-09-29,13.35
2017-10-02,13.75
2017-10-03,13.5
2017-10-04,13.95
2017-10-05,14.0
2017-10-06,13.55
2017-10-09,13.4
2017-10-10,13.7
2017-10-11,14.3
2017-10-12,14.4
2017-10-13,14.15
2017-10-16,13.75
2017-10-17,13.7
2017-10-18,13.85
2017-10-19,13.9
2017-10-20,13.7
2017-10-23,13.25
2017-10-24,12.6
2017-10-25,11.8
2017-10-26,10.85
2017-10-27,11.1
2017-10-30,11.5
2017-10-31,11.25
2017-11-01,11.1
2017-11-02,11.35
2017-11-03,11.95
2017-11-06,12.25
2017-11-07,11.125
2017-11-08,11.05
2017-11-09,10.6
2017-11-10,10.05
2017-11-13,9.15
2017-11-14,9.1
2017-11-15,9.3
2017-11-16,9.45
2017-11-17,8.35
2017-11-20,8.9
2017-11-21,9.05
2017-11-22,9.35
2017-11-24,8.75
2017-11-27,8.6
2017-11-28,8.9
2017-11-29,8.9
2017-11-30,8.95
2017-12-01,8.8
2017-12-04,8.9
2017-12-05,8.5
2017-12-06,8.4
2017-12-07,8.45
2017-12-08,9.05
2017-12-11,8.6
2017-12-12,8.6
2017-12-13,8.7
2017-12-14,8.6
2017-12-15,8.85
2017-12-18,8.95
2017-12-19,9.05
2017-12-20,9.45
2017-12-21,9.5
2017-12-22,9.55
2017-12-26,9.25
2017-12-27,9.3
2017-12-28,8.95
2017-12-29,8.8
2018-01-02,9.55
2018-01-03,11.4
2018-01-04,11.95
2018-01-05,12.35
2018-01-08,11.95
2018-01-09,12.3
2018-01-10,12.3
2018-01-11,13.7
2018-01-12,13.6
2018-01-16,12.6
2018-01-17,12.075
