Date,PVH
1980-03-17,1.2375
1980-03-18,1.2375
1980-03-19,1.225
1980-03-20,1.2375
1980-03-21,1.25
1980-03-24,1.1875
1980-03-25,1.15
1980-03-26,1.15
1980-03-27,1.025
1980-03-28,1.05
1980-03-31,1.125
1980-04-01,1.1875
1980-04-02,1.2125
1980-04-03,1.2375
1980-04-07,1.175
1980-04-08,1.1625
1980-04-09,1.1625
1980-04-10,1.1625
1980-04-11,1.2
1980-04-14,1.2
1980-04-15,1.2
1980-04-16,1.2
1980-04-17,1.2375
1980-04-18,1.2375
1980-04-21,1.2
1980-04-22,1.175
1980-04-23,1.225
1980-04-24,1.2625
1980-04-25,1.275
1980-04-28,1.25
1980-04-29,1.25
1980-04-30,1.2625
1980-05-01,1.25
1980-05-02,1.25
1980-05-05,1.225
1980-05-06,1.225
1980-05-07,1.2875
1980-05-08,1.25
1980-05-09,1.2625
1980-05-12,1.2125
1980-05-13,1.225
1980-05-14,1.225
1980-05-15,1.2625
1980-05-16,1.25
1980-05-19,1.275
1980-05-20,1.2625
1980-05-21,1.2625
1980-05-22,1.2625
1980-05-23,1.275
1980-05-27,1.2375
1980-05-28,1.225
1980-05-29,1.225
1980-05-30,1.2
1980-06-02,1.1375
1980-06-03,1.1375
1980-06-04,1.1375
1980-06-05,1.15
1980-06-06,1.15
1980-06-09,1.125
1980-06-10,1.125
1980-06-11,1.1375
1980-06-12,1.15
1980-06-13,1.15
1980-06-16,1.15
1980-06-17,1.1875
1980-06-18,1.1625
1980-06-19,1.15
1980-06-20,1.15
1980-06-23,1.15
1980-06-24,1.15
1980-06-25,1.15
1980-06-26,1.1625
1980-06-27,1.1625
1980-06-30,1.1625
1980-07-01,1.1625
1980-07-02,1.1625
1980-07-03,1.1625
1980-07-07,1.225
1980-07-08,1.325
1980-07-09,1.3
1980-07-10,1.275
1980-07-11,1.275
1980-07-14,1.2875
1980-07-15,1.3
1980-07-16,1.3
1980-07-17,1.2875
1980-07-18,1.3
1980-07-21,1.2875
1980-07-22,1.3375
1980-07-23,1.3125
1980-07-24,1.325
1980-07-25,1.3
1980-07-28,1.35
1980-07-29,1.3625
1980-07-30,1.375
1980-07-31,1.3875
1980-08-01,1.3875
1980-08-04,1.3875
1980-08-05,1.425
1980-08-06,1.4
1980-08-07,1.4
1980-08-08,1.35
1980-08-11,1.4
1980-08-12,1.3375
1980-08-13,1.325
1980-08-14,1.325
1980-08-15,1.325
1980-08-18,1.325
1980-08-19,1.3125
1980-08-20,1.3
1980-08-21,1.3
1980-08-22,1.275
1980-08-25,1.2625
1980-08-26,1.275
1980-08-27,1.2375
1980-08-28,1.2125
1980-08-29,1.2375
1980-09-02,1.2
1980-09-03,1.2
1980-09-04,1.1875
1980-09-05,1.175
1980-09-08,1.2
1980-09-09,1.2
1980-09-10,1.1875
1980-09-11,1.2
1980-09-12,1.2
1980-09-15,1.2
1980-09-16,1.175
1980-09-17,1.2125
1980-09-18,1.225
1980-09-19,1.1875
1980-09-22,1.2375
1980-09-23,1.275
1980-09-24,1.275
1980-09-25,1.275
1980-09-26,1.25
1980-09-29,1.25
1980-09-30,1.275
1980-10-01,1.2625
1980-10-02,1.2375
1980-10-03,1.2375
1980-10-06,1.2375
1980-10-07,1.2875
1980-10-08,1.2625
1980-10-09,1.225
1980-10-10,1.2375
1980-10-13,1.2875
1980-10-14,1.325
1980-10-15,1.2875
1980-10-16,1.325
1980-10-17,1.3125
1980-10-20,1.3375
1980-10-21,1.2875
1980-10-22,1.25
1980-10-23,1.2625
1980-10-24,1.2625
1980-10-27,1.25
1980-10-28,1.275
1980-10-29,1.275
1980-10-30,1.2
1980-10-31,1.175
1980-11-03,1.2
1980-11-05,1.1875
1980-11-06,1.175
1980-11-07,1.175
1980-11-10,1.125
1980-11-11,1.15
1980-11-12,1.125
1980-11-13,1.1125
1980-11-14,1.1
1980-11-17,1.1
1980-11-18,1.125
1980-11-19,1.1
1980-11-20,1.0875
1980-11-21,1.0875
1980-11-24,1.0875
1980-11-25,1.0875
1980-11-26,1.0875
1980-11-28,1.075
1980-12-01,1.1
1980-12-02,1.075
1980-12-03,1.0625
1980-12-04,1.05
1980-12-05,1.05
1980-12-08,1.05
1980-12-09,1.075
1980-12-10,1.075
1980-12-11,1.075
1980-12-12,1.0875
1980-12-15,1.1
1980-12-16,1.0875
1980-12-17,1.0875
1980-12-18,1.1
1980-12-19,1.1
1980-12-22,1.125
1980-12-23,1.0875
1980-12-24,1.1
1980-12-26,1.0875
1980-12-29,1.075
1980-12-30,1.0875
1980-12-31,1.0875
1981-01-02,1.0875
1981-01-05,1.175
1981-01-06,1.1875
1981-01-07,1.2
1981-01-08,1.225
1981-01-09,1.2
1981-01-12,1.175
1981-01-13,1.175
1981-01-14,1.1625
1981-01-15,1.125
1981-01-16,1.1625
1981-01-19,1.1375
1981-01-20,1.15
1981-01-21,1.1625
1981-01-22,1.15
1981-01-23,1.125
1981-01-26,1.1375
1981-01-27,1.1375
1981-01-28,1.1375
1981-01-29,1.1625
1981-01-30,1.2125
1981-02-02,1.2125
1981-02-03,1.2125
1981-02-04,1.25
1981-02-05,1.3125
1981-02-06,1.325
1981-02-09,1.3
1981-02-10,1.2875
1981-02-11,1.275
1981-02-12,1.25
1981-02-13,1.2625
1981-02-17,1.2625
1981-02-18,1.275
1981-02-19,1.3
1981-02-20,1.35
1981-02-23,1.35
1981-02-24,1.35
1981-02-25,1.325
1981-02-26,1.325
1981-02-27,1.3375
1981-03-02,1.3125
1981-03-03,1.3125
1981-03-04,1.3375
1981-03-05,1.3125
1981-03-06,1.3
1981-03-09,1.3125
1981-03-10,1.3
1981-03-11,1.3
1981-03-12,1.2875
1981-03-13,1.3
1981-03-16,1.3125
1981-03-17,1.3125
1981-03-18,1.3125
1981-03-19,1.3125
1981-03-20,1.3125
1981-03-23,1.35
1981-03-24,1.4375
1981-03-25,1.5375
1981-03-26,1.5
1981-03-27,1.4375
1981-03-30,1.425
1981-03-31,1.4875
1981-04-01,1.425
1981-04-02,1.4125
1981-04-03,1.425
1981-04-06,1.3625
1981-04-07,1.35
1981-04-08,1.3875
1981-04-09,1.375
1981-04-10,1.375
1981-04-13,1.4875
1981-04-14,1.45
1981-04-15,1.4125
1981-04-16,1.375
1981-04-20,1.375
1981-04-21,1.35
1981-04-22,1.3375
1981-04-23,1.4
1981-04-24,1.4125
1981-04-27,1.4125
1981-04-28,1.4
1981-04-29,1.375
1981-04-30,1.4
1981-05-01,1.375
1981-05-04,1.3625
1981-05-05,1.3625
1981-05-06,1.375
1981-05-07,1.3875
1981-05-08,1.4
1981-05-11,1.425
1981-05-12,1.4
1981-05-13,1.3625
1981-05-14,1.3875
1981-05-15,1.3625
1981-05-18,1.35
1981-05-19,1.2875
1981-05-20,1.3
1981-05-21,1.325
1981-05-22,1.3375
1981-05-26,1.3125
1981-05-27,1.3125
1981-05-28,1.3125
1981-05-29,1.3
1981-06-01,1.3375
1981-06-02,1.4
1981-06-03,1.4375
1981-06-04,1.45
1981-06-05,1.5125
1981-06-08,1.5625
1981-06-09,1.475
1981-06-10,1.5125
1981-06-11,1.575
1981-06-12,1.575
1981-06-15,1.6125
1981-06-16,1.5875
1981-06-17,1.625
1981-06-18,1.6125
1981-06-19,1.5875
1981-06-22,1.6375
1981-06-23,1.6875
1981-06-24,1.7125
1981-06-25,1.725
1981-06-26,1.7375
1981-06-29,1.6625
1981-06-30,1.65
1981-07-01,1.65
1981-07-02,1.625
1981-07-06,1.575
1981-07-07,1.525
1981-07-08,1.575
1981-07-09,1.5625
1981-07-10,1.5375
1981-07-13,1.55
1981-07-14,1.5125
