Date,PDRDF
2009-02-13,63.0
2009-02-17,60.580002
2009-02-18,59.450001
2009-02-19,61.669998
2009-02-20,59.220001
2009-02-23,57.599998
2009-02-24,56.060001
2009-02-25,56.060001
2009-02-26,56.060001
2009-02-27,55.029999
2009-03-02,55.029999
2009-03-03,55.029999
2009-03-04,55.029999
2009-03-05,55.029999
2009-03-06,54.099998
2009-03-09,52.349998
2009-03-10,55.549999
2009-03-11,55.549999
2009-03-12,55.549999
2009-03-13,56.849998
2009-03-16,57.799999
2009-03-17,56.150002
2009-03-18,54.400002
2009-03-19,53.75
2009-03-20,54.200001
2009-03-23,55.779999
2009-03-24,57.049999
2009-03-25,55.75
2009-03-26,54.799999
2009-03-27,52.700001
2009-03-30,52.150002
2009-03-31,56.200001
2009-04-01,56.200001
2009-04-02,60.200001
2009-04-03,59.900002
2009-04-06,58.799999
2009-04-07,58.799999
2009-04-08,54.900002
2009-04-09,54.900002
2009-04-13,54.400002
2009-04-14,55.349998
2009-04-15,56.299999
2009-04-16,56.299999
2009-04-17,53.200001
2009-04-20,53.200001
2009-04-21,55.349998
2009-04-22,54.700001
2009-04-23,55.200001
2009-04-24,56.549999
2009-04-27,54.400002
2009-04-28,56.099998
2009-04-29,60.400002
2009-04-30,59.650002
2009-05-01,60.0
2009-05-04,61.150002
2009-05-05,60.049999
2009-05-06,60.049999
2009-05-07,62.799999
2009-05-08,63.0
2009-05-11,62.400002
2009-05-12,62.299999
2009-05-13,62.299999
2009-05-14,62.299999
2009-05-15,59.849998
2009-05-18,63.049999
2009-05-19,62.950001
2009-05-20,62.970001
2009-05-21,62.950001
2009-05-22,62.709998999999996
2009-05-26,62.75
2009-05-27,61.349998
2009-05-28,61.349998
2009-05-29,61.950001
2009-06-01,62.049999
2009-06-02,62.970001
2009-06-03,62.5
2009-06-04,62.599998
2009-06-05,63.0
2009-06-08,61.27
2009-06-09,61.27
2009-06-10,61.27
2009-06-11,61.27
2009-06-12,61.700001
2009-06-15,60.400002
2009-06-16,59.299999
2009-06-17,59.900002
2009-06-18,60.299999
2009-06-19,60.299999
2009-06-22,60.299999
2009-06-23,60.650002
2009-06-24,61.799999
2009-06-25,62.849998
2009-06-26,62.849998
2009-06-29,62.900002
2009-06-30,62.900002
2009-07-01,65.400002
2009-07-02,64.18
2009-07-06,64.18
2009-07-07,64.18
2009-07-08,64.18
2009-07-09,61.5
2009-07-10,61.299999
2009-07-13,61.299999
2009-07-14,62.189999
2009-07-15,65.0
2009-07-16,65.0
2009-07-17,65.0
2009-07-20,65.0
2009-07-21,65.0
2009-07-22,69.5
2009-07-23,73.699997
2009-07-24,74.199997
2009-07-27,74.199997
2009-07-28,73.779999
2009-07-29,75.230003
2009-07-30,75.230003
2009-07-31,78.0
2009-08-03,76.779999
2009-08-04,76.779999
2009-08-05,76.629997
2009-08-06,76.849998
2009-08-07,75.199997
2009-08-10,74.849998
2009-08-11,74.849998
2009-08-12,73.550003
2009-08-13,73.550003
2009-08-14,73.599998
2009-08-17,73.599998
2009-08-18,73.599998
2009-08-19,74.58000200000001
2009-08-20,74.58000200000001
2009-08-21,75.349998
2009-08-24,75.349998
2009-08-25,75.349998
2009-08-26,78.25
2009-08-27,78.25
2009-08-28,77.050003
2009-08-31,77.540001
2009-09-01,76.099998
2009-09-02,76.099998
2009-09-03,76.099998
2009-09-04,72.800003
2009-09-08,72.800003
2009-09-09,75.5
2009-09-10,75.5
2009-09-11,74.599998
2009-09-14,76.550003
2009-09-15,77.0
2009-09-16,78.699997
2009-09-17,79.879997
2009-09-18,79.879997
2009-09-21,79.879997
2009-09-22,80.800003
2009-09-23,80.849998
2009-09-24,80.849998
2009-09-25,80.849998
2009-09-28,80.849998
2009-09-29,80.849998
2009-09-30,78.980003
2009-10-01,78.650002
2009-10-02,78.650002
2009-10-05,78.650002
2009-10-06,78.650002
2009-10-07,78.650002
2009-10-08,82.5
2009-10-09,83.0
2009-10-12,83.0
2009-10-13,82.199997
2009-10-14,82.199997
2009-10-15,81.849998
2009-10-16,80.150002
2009-10-19,81.849998
2009-10-20,81.849998
2009-10-21,81.849998
2009-10-22,81.849998
2009-10-23,85.660004
2009-10-26,83.379997
2009-10-27,85.699997
2009-10-28,85.699997
2009-10-29,85.699997
2009-10-30,85.699997
2009-11-02,84.199997
2009-11-03,83.300003
2009-11-04,83.300003
2009-11-05,83.800003
2009-11-06,84.5
2009-11-09,84.5
2009-11-10,84.5
2009-11-11,84.5
2009-11-12,84.0
