Date,WTRH
2016-08-18,9.7
2016-08-19,9.7
2016-08-22,9.7
2016-08-23,9.7
2016-08-24,9.7
2016-08-25,9.7
2016-08-26,9.7
2016-08-29,9.7
2016-08-30,9.7
2016-08-31,9.7
2016-09-01,9.7
2016-09-02,9.7
2016-09-06,9.7
2016-09-07,9.7
2016-09-08,9.7
2016-09-09,9.7
2016-09-12,9.7
2016-09-13,9.739
2016-09-14,9.739
2016-09-15,9.75
2016-09-16,9.75
2016-09-19,9.75
2016-09-20,9.77
2016-09-21,9.77
2016-09-22,9.77
2016-09-23,9.75
2016-09-26,9.849
2016-09-27,9.849
2016-09-28,9.65
2016-09-29,9.65
2016-09-30,9.77
2016-10-03,9.77
2016-10-04,9.77
2016-10-05,9.8
2016-10-06,9.8
2016-10-07,9.8
2016-10-10,9.8
2016-10-11,9.75
2016-10-12,9.75
2016-10-13,9.75
2016-10-14,9.75
2016-10-17,9.75
2016-10-18,9.82
2016-10-19,9.82
2016-10-20,9.82
2016-10-21,9.82
2016-10-24,9.82
2016-10-25,9.75
2016-10-26,9.75
2016-10-27,9.75
2016-10-28,9.75
2016-10-31,9.75
2016-11-01,9.75
2016-11-02,9.75
2016-11-03,9.8
2016-11-04,9.8
2016-11-07,9.8
2016-11-08,9.8
2016-11-09,9.8
2016-11-10,9.8
2016-11-11,9.8
2016-11-14,9.8
2016-11-15,9.8
2016-11-16,9.8
2016-11-17,9.8
2016-11-18,9.8
2016-11-21,9.8
2016-11-22,9.8
2016-11-23,9.8
2016-11-25,9.8
2016-11-28,9.8
2016-11-29,9.8
2016-11-30,9.8
2016-12-01,9.8
2016-12-02,9.8
2016-12-05,9.8
2016-12-06,9.8
2016-12-07,9.8
2016-12-08,9.8
2016-12-09,9.8
2016-12-12,9.8
2016-12-13,9.8
2016-12-14,9.8
2016-12-15,9.8
2016-12-16,9.8
2016-12-19,9.8
2016-12-20,9.8
2016-12-21,9.8
2016-12-22,9.73
2016-12-23,9.73
2016-12-27,9.73
2016-12-28,9.78
2016-12-29,9.78
2016-12-30,9.78
2017-01-03,9.78
2017-01-04,9.84
2017-01-05,9.84
2017-01-06,9.82
2017-01-09,9.82
2017-01-10,9.82
2017-01-11,9.85
2017-01-12,9.85
2017-01-13,9.9
2017-01-17,9.9
2017-01-18,9.9
2017-01-19,9.9
2017-01-20,9.9
2017-01-23,9.9
2017-01-24,9.87
2017-01-25,9.87
2017-01-26,9.87
2017-01-27,9.903
2017-01-30,9.88
2017-01-31,9.88
2017-02-01,9.88
2017-02-02,9.9
2017-02-03,9.901
2017-02-06,9.9
2017-02-07,9.9
2017-02-08,9.9
2017-02-09,10.0
2017-02-10,10.05
2017-02-13,10.05
2017-02-14,10.05
2017-02-15,10.05
2017-02-16,10.05
2017-02-17,9.98
2017-02-21,9.97
2017-02-22,9.97
2017-02-23,9.97
2017-02-24,9.97
2017-02-27,9.97
2017-02-28,9.97
2017-03-01,9.97
2017-03-02,9.97
2017-03-03,10.2
2017-03-06,10.15
2017-03-07,10.15
2017-03-08,10.0
2017-03-09,10.0
2017-03-10,10.0
2017-03-13,10.0
2017-03-14,10.0
2017-03-15,10.0
2017-03-16,10.0
2017-03-17,10.0
2017-03-20,10.0
2017-03-21,10.0
2017-03-22,10.0
2017-03-23,9.95
2017-03-24,9.95
2017-03-27,9.97
2017-03-28,9.98
2017-03-29,10.0
2017-03-30,9.97
2017-03-31,9.97
2017-04-03,9.97
2017-04-04,9.98
2017-04-05,9.98
2017-04-06,9.98
2017-04-07,9.98
2017-04-10,9.97
2017-04-11,9.97
2017-04-12,9.97
2017-04-13,9.97
2017-04-17,9.97
2017-04-18,9.97
2017-04-19,9.97
2017-04-20,9.97
2017-04-21,9.97
2017-04-24,9.97
2017-04-25,9.97
2017-04-26,9.97
2017-04-27,9.97
2017-04-28,9.98
2017-05-01,9.98
2017-05-02,9.98
2017-05-03,9.98
2017-05-04,9.98
2017-05-05,9.98
2017-05-08,9.99
2017-05-09,9.99
2017-05-10,9.95
2017-05-11,9.95
2017-05-12,9.95
2017-05-15,9.95
2017-05-16,9.9
2017-05-17,9.9
2017-05-18,9.9
2017-05-19,9.92
2017-05-22,9.93
2017-05-23,9.92
2017-05-24,9.92
2017-05-25,9.91
2017-05-26,9.9
2017-05-30,9.93
2017-05-31,9.96
2017-06-01,9.96
2017-06-02,9.96
2017-06-05,9.973
2017-06-06,9.97
2017-06-07,9.97
2017-06-08,9.97
2017-06-09,9.99
2017-06-12,10.034
2017-06-13,10.02
2017-06-14,10.02
2017-06-15,9.98
2017-06-16,10.0
2017-06-19,10.0
2017-06-20,10.0
2017-06-21,10.02
2017-06-22,10.02
2017-06-23,10.02
2017-06-26,10.0
2017-06-27,10.0
2017-06-28,10.0
2017-06-29,10.17
2017-06-30,10.12
2017-07-03,10.1
2017-07-05,10.1
2017-07-06,10.1
2017-07-07,10.01
2017-07-10,10.01
2017-07-11,10.04
2017-07-12,9.99
2017-07-13,10.02
2017-07-14,10.02
2017-07-17,10.02
2017-07-18,10.12
2017-07-19,10.11
2017-07-20,10.19
2017-07-21,10.1
2017-07-24,10.13
2017-07-25,10.12
2017-07-26,10.12
2017-07-27,10.15
2017-07-28,10.14
2017-07-31,10.023
2017-08-01,10.021
2017-08-02,10.02
2017-08-03,10.03
2017-08-04,10.05
2017-08-07,10.05
2017-08-08,10.05
2017-08-09,10.02
2017-08-10,10.02
2017-08-11,10.02
2017-08-14,10.02
2017-08-15,10.05
2017-08-16,10.04
2017-08-17,10.03
2017-08-18,10.06
2017-08-21,10.06
2017-08-22,10.06
2017-08-23,10.06
2017-08-24,10.06
2017-08-25,10.06
2017-08-28,10.05
2017-08-29,10.05
2017-08-30,10.05
2017-08-31,10.05
2017-09-01,10.05
2017-09-05,10.05
2017-09-06,10.04
2017-09-07,10.04
2017-09-08,10.02
2017-09-11,10.04
2017-09-12,10.03
2017-09-13,10.03
2017-09-14,10.03
2017-09-15,10.03
2017-09-18,10.02
2017-09-19,10.0
2017-09-20,9.99
2017-09-21,10.02
2017-09-22,10.02
2017-09-25,10.02
2017-09-26,10.02
2017-09-27,10.02
2017-09-28,10.02
2017-09-29,10.02
2017-10-02,10.02
2017-10-03,9.99
2017-10-04,9.98
2017-10-05,10.0
2017-10-06,10.01
2017-10-09,10.02
2017-10-10,9.99
2017-10-11,9.99
2017-10-12,10.02
2017-10-13,10.02
2017-10-16,9.99
2017-10-17,10.04
2017-10-18,10.05
2017-10-19,10.02
2017-10-20,10.05
2017-10-23,10.05
2017-10-24,10.08
2017-10-25,10.1
2017-10-26,10.08
2017-10-27,10.08
2017-10-30,10.08
2017-10-31,10.065
2017-11-01,10.01
2017-11-02,10.019
2017-11-03,10.015
2017-11-06,10.01
2017-11-07,10.0
2017-11-08,10.0
2017-11-09,10.04
2017-11-10,9.99
2017-11-13,10.03
2017-11-14,10.05
2017-11-15,10.035
2017-11-16,10.0
2017-11-17,10.04
2017-11-20,10.04
2017-11-21,10.021
2017-11-22,10.05
2017-11-24,10.04
2017-11-27,9.99
2017-11-28,9.98
2017-11-29,9.97
2017-11-30,9.97
2017-12-01,9.94
2017-12-04,9.94
2017-12-05,9.94
2017-12-06,9.93
2017-12-07,9.939
2017-12-08,9.92
2017-12-11,9.92
2017-12-12,9.929
2017-12-13,9.94
2017-12-14,9.94
2017-12-15,9.95
2017-12-18,9.95
2017-12-19,9.95
2017-12-20,9.97
2017-12-21,9.97
2017-12-22,9.97
2017-12-26,9.95
2017-12-27,9.95
2017-12-28,9.94
2017-12-29,9.94
2018-01-02,9.94
2018-01-03,9.94
2018-01-04,9.97
2018-01-05,9.97
2018-01-08,9.99
2018-01-09,9.99
2018-01-10,9.981
2018-01-11,9.99
2018-01-12,9.99
2018-01-16,9.99
2018-01-17,10.0
2018-01-18,10.0
2018-01-19,10.0
2018-01-22,10.0
2018-01-23,9.97
2018-01-24,9.97
2018-01-25,9.97
2018-01-26,9.97
2018-01-29,9.97
2018-01-30,9.96
2018-01-31,9.97
2018-02-01,10.0
2018-02-02,9.98
2018-02-05,9.99
2018-02-06,9.96
2018-02-07,9.96
2018-02-08,9.96
2018-02-09,9.95
2018-02-12,9.96
2018-02-13,9.96
