Date,RTH
2002-04-04,32.333332
2002-04-05,32.723331
2002-04-08,33.196667
2002-04-09,33.453334999999996
2002-04-10,33.75
2002-04-11,33.203334999999996
2002-04-12,33.666668
2002-04-15,33.333332
2002-04-16,33.669998
2002-04-17,33.366665000000005
2002-04-18,33.406665999999994
2002-04-19,33.513332
2002-04-22,33.106667
2002-04-23,33.209998999999996
2002-04-24,32.849998
2002-04-25,32.816666
2002-04-26,32.413334000000006
2002-04-29,32.213333
2002-04-30,32.189999
2002-05-01,32.183334
2002-05-02,32.5
2002-05-03,32.023334999999996
2002-05-06,31.623333000000002
2002-05-07,32.073334
2002-05-08,32.536667
2002-05-09,32.166668
2002-05-10,31.566668
2002-05-13,31.916665999999996
2002-05-14,33.016666
2002-05-15,32.796665000000004
2002-05-16,32.966667
2002-05-17,33.266666
2002-05-20,33.333332
2002-05-21,32.299999
2002-05-22,32.183334
2002-05-23,32.266666
2002-05-24,32.143333
2002-05-28,31.483334000000003
2002-05-29,31.34
2002-05-30,31.110001
2002-05-31,31.573334000000003
2002-06-03,31.0
2002-06-04,30.716666999999998
2002-06-05,31.379998999999998
2002-06-06,30.690001000000002
2002-06-07,30.75
2002-06-10,31.276667
2002-06-11,30.983334000000003
2002-06-12,31.026667
2002-06-13,30.326665999999996
2002-06-14,30.046667
2002-06-17,31.0
2002-06-18,30.646666999999997
2002-06-19,30.58
2002-06-20,29.896666999999997
2002-06-21,29.316668
2002-06-24,29.333334000000004
2002-06-25,29.086665999999997
2002-06-26,29.273333
2002-06-27,29.916665999999996
2002-06-28,29.6
2002-07-01,28.973333
2002-07-02,28.283333000000002
2002-07-03,28.91
2002-07-05,29.799999
2002-07-08,29.5
2002-07-09,28.963333000000002
2002-07-10,28.18
2002-07-11,27.889999
2002-07-12,27.026667
2002-07-15,27.129998999999998
2002-07-16,26.139999
2002-07-17,25.84
2002-07-18,25.516666
2002-07-19,24.676666
2002-07-22,24.09
2002-07-23,23.876667
2002-07-24,25.716667
2002-07-25,25.066668
2002-07-26,25.5
2002-07-29,26.666665999999996
2002-07-30,26.35
2002-07-31,26.233334000000003
2002-08-01,25.216667
2002-08-02,24.476667000000003
2002-08-05,24.033333
2002-08-06,24.916666
2002-08-07,25.299999
2002-08-08,25.059998999999998
2002-08-09,25.343334
2002-08-12,24.719998999999998
2002-08-13,24.616667
2002-08-14,26.110001
2002-08-15,27.066668
2002-08-16,26.616667
2002-08-19,27.386667
2002-08-20,27.366667
2002-08-21,27.726667
2002-08-22,28.073334000000003
2002-08-23,27.423334000000004
2002-08-26,27.573334000000003
2002-08-27,27.0
2002-08-28,26.766665999999997
2002-08-29,26.666665999999996
2002-08-30,26.75
2002-09-03,26.030001000000002
2002-09-04,26.433332
2002-09-05,26.139999
2002-09-06,27.049999
2002-09-09,27.370001000000002
2002-09-10,27.566668
2002-09-11,27.616667
2002-09-12,27.030001000000002
2002-09-13,27.466666999999998
