Date,MHK
1992-04-01,6.8333330000000005
1992-04-02,6.777778
1992-04-03,6.777778
1992-04-06,6.777778
1992-04-07,6.777778
1992-04-08,6.444445
1992-04-09,6.777778
1992-04-10,6.777778
1992-04-13,6.722222
1992-04-14,6.888889
1992-04-15,7.0
1992-04-16,7.0
1992-04-20,7.0
1992-04-21,7.222222
1992-04-22,7.444445
1992-04-23,7.222222
1992-04-24,7.1666669999999995
1992-04-27,7.111111
1992-04-28,7.111111
1992-04-29,7.111111
1992-04-30,7.111111
1992-05-01,7.111111
1992-05-04,7.388889
1992-05-05,7.111111
1992-05-06,7.111111
1992-05-07,7.1666669999999995
1992-05-08,7.111111
1992-05-11,7.388889
1992-05-12,7.3333330000000005
1992-05-13,7.3333330000000005
1992-05-14,7.222222
1992-05-15,7.222222
1992-05-18,7.222222
1992-05-19,7.3333330000000005
1992-05-20,7.222222
1992-05-21,7.3333330000000005
1992-05-22,7.3333330000000005
1992-05-26,7.111111
1992-05-27,7.1666669999999995
1992-05-28,7.111111
1992-05-29,7.111111
1992-06-01,6.888889
1992-06-02,6.777778
1992-06-03,6.944445
1992-06-04,6.944445
1992-06-05,6.944445
1992-06-08,6.944445
1992-06-09,6.555555
1992-06-10,6.555555
1992-06-11,6.444445
1992-06-12,6.444445
1992-06-15,6.444445
1992-06-16,6.444445
1992-06-17,6.444445
1992-06-18,6.111111
1992-06-19,5.8333330000000005
1992-06-22,5.222222
1992-06-23,5.444445
1992-06-24,5.888889
1992-06-25,5.888889
1992-06-26,5.6666669999999995
1992-06-29,5.111111
1992-06-30,5.111111
1992-07-01,5.277778
1992-07-02,5.777778
1992-07-06,5.777778
1992-07-07,5.6666669999999995
1992-07-08,5.6666669999999995
1992-07-09,5.444445
1992-07-10,5.444445
1992-07-13,5.6666669999999995
1992-07-14,5.6666669999999995
1992-07-15,5.444445
1992-07-16,5.6666669999999995
1992-07-17,5.6666669999999995
1992-07-20,5.3333330000000005
1992-07-21,5.6666669999999995
1992-07-22,6.0
1992-07-23,6.3333330000000005
1992-07-24,6.3333330000000005
1992-07-27,6.555555
1992-07-28,6.555555
1992-07-29,6.444445
1992-07-30,6.222222
1992-07-31,5.888889
1992-08-03,5.6666669999999995
1992-08-04,5.777778
1992-08-05,5.777778
1992-08-06,5.777778
1992-08-07,5.6666669999999995
1992-08-10,6.0
1992-08-11,6.0
1992-08-12,5.777778
1992-08-13,5.555555
1992-08-14,5.555555
1992-08-17,5.611111
1992-08-18,5.6666669999999995
1992-08-19,5.777778
1992-08-20,5.444445
1992-08-21,5.777778
1992-08-24,5.722222
1992-08-25,5.444445
1992-08-26,5.777778
1992-08-27,5.888889
1992-08-28,6.1666669999999995
1992-08-31,6.222222
1992-09-01,6.388889
1992-09-02,6.6666669999999995
1992-09-03,6.555555
1992-09-04,6.3333330000000005
1992-09-08,6.277778
1992-09-09,6.111111
1992-09-10,6.111111
1992-09-11,6.111111
1992-09-14,6.444445
1992-09-15,6.222222
1992-09-16,6.0
1992-09-17,6.444445
1992-09-18,6.444445
1992-09-21,6.222222
1992-09-22,6.222222
1992-09-23,6.111111
1992-09-24,6.111111
1992-09-25,6.0
1992-09-28,5.888889
1992-09-29,5.777778
1992-09-30,5.444445
1992-10-01,5.555555
1992-10-02,5.444445
1992-10-05,5.1666669999999995
1992-10-06,5.388889
1992-10-07,5.3333330000000005
1992-10-08,5.3333330000000005
1992-10-09,5.222222
1992-10-12,5.111111
1992-10-13,5.444445
1992-10-14,5.277778
1992-10-15,5.222222
1992-10-16,5.222222
1992-10-19,5.277778
1992-10-20,5.388889
1992-10-21,5.555555
1992-10-22,5.555555
1992-10-23,5.611111
1992-10-26,5.6666669999999995
1992-10-27,5.722222
1992-10-28,5.777778
1992-10-29,5.777778
1992-10-30,5.555555
1992-11-02,5.722222
1992-11-03,5.777778
1992-11-04,5.777778
1992-11-05,5.3333330000000005
1992-11-06,5.555555
1992-11-09,5.3333330000000005
1992-11-10,5.6666669999999995
1992-11-11,5.6666669999999995
1992-11-12,5.6666669999999995
1992-11-13,5.6666669999999995
1992-11-16,5.6666669999999995
1992-11-17,5.888889
1992-11-18,5.888889
1992-11-19,6.277778
1992-11-20,6.277778
1992-11-23,6.6666669999999995
1992-11-24,6.6666669999999995
1992-11-25,7.0
1992-11-27,7.111111
1992-11-30,7.6666669999999995
1992-12-01,7.555555
1992-12-02,7.444445
1992-12-03,7.444445
1992-12-04,7.3333330000000005
1992-12-07,7.3333330000000005
1992-12-08,8.555555
1992-12-09,8.444445
1992-12-10,8.333333
1992-12-11,8.555555
1992-12-14,8.444445
1992-12-15,8.333333
1992-12-16,8.111111
1992-12-17,8.222222
1992-12-18,8.388889
1992-12-21,8.444445
1992-12-22,8.444445
1992-12-23,8.888889
1992-12-24,9.222222
1992-12-28,9.333333
1992-12-29,9.333333
1992-12-30,9.444445
1992-12-31,9.444445
1993-01-04,9.0
1993-01-05,9.111111
1993-01-06,9.055555
1993-01-07,9.0
1993-01-08,9.111111
1993-01-11,9.111111
1993-01-12,9.222222
1993-01-13,9.111111
1993-01-14,9.111111
1993-01-15,9.666667
1993-01-18,10.0
1993-01-19,9.722222
