Date,SE
2017-10-20,16.26
2017-10-23,15.26
2017-10-24,15.24
2017-10-25,13.73
2017-10-26,14.02
2017-10-27,14.01
2017-10-30,14.1
2017-10-31,15.08
2017-11-01,15.43
2017-11-02,15.24
2017-11-03,14.99
2017-11-06,15.01
2017-11-07,15.0
2017-11-08,14.84
2017-11-09,14.5
2017-11-10,14.72
2017-11-13,14.73
2017-11-14,15.01
2017-11-15,14.71
2017-11-16,15.03
2017-11-17,15.0
2017-11-20,15.49
2017-11-21,14.78
2017-11-22,13.85
2017-11-24,13.33
2017-11-27,12.67
2017-11-28,11.45
2017-11-29,10.97
2017-11-30,11.6
2017-12-01,12.43
2017-12-04,11.98
2017-12-05,12.73
2017-12-06,12.13
2017-12-07,12.92
2017-12-08,13.29
2017-12-11,13.41
2017-12-12,13.19
2017-12-13,12.72
2017-12-14,11.77
2017-12-15,12.0
2017-12-18,11.92
2017-12-19,11.87
2017-12-20,12.22
2017-12-21,12.77
2017-12-22,13.24
2017-12-26,13.0
2017-12-27,13.38
2017-12-28,13.5
2017-12-29,13.33
2018-01-02,13.01
2018-01-03,13.5
2018-01-04,13.0
2018-01-05,13.89
2018-01-08,13.87
2018-01-09,13.82
2018-01-10,13.59
2018-01-11,14.23
2018-01-12,12.97
2018-01-16,12.78
2018-01-17,12.63
2018-01-18,12.58
2018-01-19,12.31
2018-01-22,12.59
2018-01-23,12.9
2018-01-24,12.76
2018-01-25,12.75
2018-01-26,13.29
2018-01-29,12.22
2018-01-30,12.03
2018-01-31,12.26
2018-02-01,11.92
2018-02-02,11.93
2018-02-05,11.5
2018-02-06,11.18
2018-02-07,11.2
2018-02-08,10.88
2018-02-09,11.33
2018-02-12,11.49
2018-02-13,11.6
2018-02-14,11.73
2018-02-15,12.38
2018-02-16,12.33
2018-02-20,12.33
2018-02-21,12.52
2018-02-22,11.96
2018-02-23,12.16
2018-02-26,12.15
2018-02-27,12.26
2018-02-28,10.96
2018-03-01,11.03
2018-03-02,10.67
2018-03-05,10.78
2018-03-06,10.93
2018-03-07,11.59
2018-03-08,11.19
2018-03-09,11.08
2018-03-12,11.46
2018-03-13,11.3
2018-03-14,11.15
2018-03-15,11.15
2018-03-16,11.19
2018-03-19,10.76
2018-03-20,10.72
2018-03-21,10.83
2018-03-22,10.81
2018-03-23,10.78
2018-03-26,11.0
2018-03-27,10.87
2018-03-28,10.93
2018-03-29,11.27
2018-04-02,11.25
2018-04-03,11.11
2018-04-04,11.09
2018-04-05,11.01
2018-04-06,10.66
2018-04-09,10.79
2018-04-10,10.7
2018-04-11,10.5
2018-04-12,10.47
2018-04-13,10.35
2018-04-16,10.53
2018-04-17,10.87
2018-04-18,11.91
2018-04-19,11.59
2018-04-20,11.38
2018-04-23,10.79
2018-04-24,10.97
2018-04-25,10.62
2018-04-26,10.49
2018-04-27,10.61
2018-04-30,10.49
2018-05-01,10.48
2018-05-02,10.9
2018-05-03,10.89
2018-05-04,10.82
2018-05-07,10.48
2018-05-08,10.39
2018-05-09,10.34
2018-05-10,10.96
2018-05-11,10.52
2018-05-14,10.45
2018-05-15,10.64
2018-05-16,11.98
2018-05-17,11.74
2018-05-18,13.07
2018-05-21,13.61
2018-05-22,13.37
2018-05-23,14.26
2018-05-24,14.61
2018-05-25,14.56
2018-05-29,14.9
2018-05-30,14.61
2018-05-31,14.79
2018-06-01,16.309998999999998
2018-06-04,15.31
2018-06-05,16.4
2018-06-06,16.0
2018-06-07,15.92
2018-06-08,16.0
2018-06-11,15.87
2018-06-12,16.4
2018-06-13,14.94
2018-06-14,15.96
2018-06-15,15.51
2018-06-18,15.56
2018-06-19,15.1
2018-06-20,15.13
2018-06-21,14.82
2018-06-22,15.39
2018-06-25,14.85
2018-06-26,15.22
2018-06-27,14.82
2018-06-28,14.65
2018-06-29,15.0
2018-07-02,14.51
2018-07-03,14.87
2018-07-05,15.6
2018-07-06,16.530001000000002
2018-07-09,16.25
2018-07-10,15.68
2018-07-11,15.49
2018-07-12,16.08
2018-07-13,15.91
2018-07-16,15.62
2018-07-17,15.66
2018-07-18,15.56
2018-07-19,15.75
2018-07-20,15.31
2018-07-23,15.25
2018-07-24,14.3
2018-07-25,14.46
2018-07-26,14.35
2018-07-27,13.46
2018-07-30,13.55
2018-07-31,14.1
2018-08-01,14.62
2018-08-02,14.87
2018-08-03,14.51
2018-08-06,14.75
2018-08-07,14.46
2018-08-08,14.34
2018-08-09,14.3
2018-08-10,13.84
2018-08-13,14.19
2018-08-14,13.95
2018-08-15,13.42
2018-08-16,13.47
2018-08-17,13.58
2018-08-20,13.84
2018-08-21,14.26
2018-08-22,13.57
2018-08-23,14.35
2018-08-24,14.74
2018-08-27,15.16
2018-08-28,15.1
2018-08-29,14.91
2018-08-30,13.88
2018-08-31,14.25
2018-09-04,13.84
2018-09-05,13.49
2018-09-06,13.65
2018-09-07,13.49
2018-09-10,12.77
2018-09-11,12.41
2018-09-12,13.24
2018-09-13,13.92
2018-09-14,13.63
2018-09-17,13.66
2018-09-18,13.66
2018-09-19,13.44
2018-09-20,13.92
2018-09-21,14.6
2018-09-24,14.24
2018-09-25,14.47
2018-09-26,14.22
2018-09-27,14.16
2018-09-28,13.83
2018-10-01,14.49
2018-10-02,13.9
2018-10-03,13.89
2018-10-04,12.82
2018-10-05,12.92
2018-10-08,12.67
2018-10-09,12.69
2018-10-10,11.91
2018-10-11,11.9
2018-10-12,12.77
2018-10-15,13.09
2018-10-16,13.67
2018-10-17,13.69
2018-10-18,13.19
2018-10-19,12.94
2018-10-22,13.1
2018-10-23,13.04
2018-10-24,12.51
2018-10-25,12.75
2018-10-26,12.62
2018-10-29,12.1
2018-10-30,12.39
2018-10-31,13.05
2018-11-01,13.02
2018-11-02,12.86
2018-11-05,12.21
2018-11-06,12.65
2018-11-07,13.19
2018-11-08,13.05
2018-11-09,12.33
2018-11-12,12.78
2018-11-13,12.44
2018-11-14,12.24
2018-11-15,12.46
2018-11-16,12.51
2018-11-19,12.7
2018-11-20,12.11
2018-11-21,12.8
2018-11-23,12.9
2018-11-26,12.63
2018-11-27,13.33
2018-11-28,13.25
2018-11-29,12.9
2018-11-30,13.34
2018-12-03,13.29
2018-12-04,12.45
2018-12-06,12.44
2018-12-07,12.1
2018-12-10,11.81
2018-12-11,12.0
2018-12-12,12.23
2018-12-13,12.16
2018-12-14,11.87
2018-12-17,11.71
2018-12-18,11.66
2018-12-19,11.41
2018-12-20,10.99
2018-12-21,10.74
2018-12-24,10.74
2018-12-26,11.39
2018-12-27,11.4
2018-12-28,11.15
2018-12-31,11.32
2019-01-02,11.05
2019-01-03,10.72
2019-01-04,11.56
2019-01-07,11.95
2019-01-08,12.3
2019-01-09,12.5
2019-01-10,12.57
2019-01-11,12.57
2019-01-14,12.05
2019-01-15,12.18
2019-01-16,12.38
2019-01-17,12.39
2019-01-18,12.6
2019-01-22,13.05
2019-01-23,12.71
2019-01-24,13.12
2019-01-25,13.63
2019-01-28,13.51
2019-01-29,13.45
2019-01-30,13.56
2019-01-31,14.01
2019-02-01,15.33
2019-02-04,14.96
2019-02-05,15.02
2019-02-06,14.8
2019-02-07,14.75
2019-02-08,15.1
2019-02-11,15.51
2019-02-12,16.0
2019-02-13,15.88
2019-02-14,16.0
2019-02-15,16.0
2019-02-19,16.0
2019-02-20,15.84
2019-02-21,15.71
