Date,PRMW
2019-09-20,13.02
2019-09-23,12.98
2019-09-24,12.77
2019-09-25,12.72
2019-09-26,12.96
2019-09-27,12.36
2019-09-30,12.28
2019-10-01,12.24
2019-10-02,11.9
2019-10-03,12.02
2019-10-04,12.01
2019-10-07,12.22
2019-10-08,12.1
2019-10-09,12.16
2019-10-10,12.0
2019-10-11,12.26
2019-10-14,12.09
2019-10-15,12.16
2019-10-16,12.04
2019-10-17,11.86
2019-10-18,11.55
2019-10-21,11.73
2019-10-22,11.71
2019-10-23,11.57
2019-10-24,11.56
2019-10-25,11.59
2019-10-28,11.97
2019-10-29,12.16
2019-10-30,12.22
2019-10-31,12.1
2019-11-01,12.29
2019-11-04,12.34
2019-11-05,12.33
2019-11-06,11.26
2019-11-07,10.75
2019-11-08,10.56
2019-11-11,10.27
2019-11-12,10.03
2019-11-13,9.79
2019-11-14,9.98
2019-11-15,10.07
2019-11-18,9.695
2019-11-19,9.59
2019-11-20,9.795
2019-11-21,9.96
2019-11-22,9.87
2019-11-25,10.09
2019-11-26,10.04
2019-11-27,10.32
2019-11-29,10.2
2019-12-02,10.275
2019-12-03,10.485
2019-12-04,10.61
2019-12-05,10.47
2019-12-06,10.695
2019-12-09,10.36
2019-12-10,10.17
2019-12-11,10.13
2019-12-12,10.3
2019-12-13,10.66
2019-12-16,10.38
2019-12-17,10.32
2019-12-18,10.34
2019-12-19,10.62
2019-12-20,11.06
2019-12-23,11.21
2019-12-24,11.53
2019-12-26,11.55
2019-12-27,11.52
2019-12-30,11.38
2019-12-31,11.225
2020-01-02,10.97
2020-01-03,11.125
2020-01-06,11.23
2020-01-07,11.23
2020-01-08,11.24
2020-01-09,11.18
2020-01-10,11.09
2020-01-13,13.91
2020-01-14,14.16
2020-01-15,14.425
2020-01-16,14.705
2020-01-17,14.67
2020-01-21,14.56
2020-01-22,14.51
2020-01-23,14.74
2020-01-24,14.75
2020-01-27,14.7
2020-01-28,14.79
2020-01-29,14.75
2020-01-30,14.65
2020-01-31,15.07
2020-02-03,15.16
2020-02-04,15.185
2020-02-05,15.34
2020-02-06,15.34
2020-02-07,15.3
2020-02-10,15.38
2020-02-11,15.38
2020-02-12,15.35
2020-02-13,15.44
2020-02-14,15.31
2020-02-18,15.1
2020-02-19,15.315
2020-02-20,15.39
2020-02-21,15.39
2020-02-24,15.23
2020-02-25,14.93
2020-02-26,14.91
2020-02-27,14.88
2020-02-28,14.0
2020-03-02,14.0
2020-03-03,
2020-03-04,15.41
2020-03-05,15.3
2020-03-06,15.09
2020-03-09,14.09
2020-03-10,14.67
2020-03-11,13.58
2020-03-12,11.7
2020-03-13,13.32
2020-03-16,10.39
2020-03-17,8.57
2020-03-18,7.14
2020-03-19,8.78
2020-03-20,8.21
2020-03-23,8.24
2020-03-24,8.61
2020-03-25,8.75
2020-03-26,8.92
2020-03-27,8.77
2020-03-30,9.0
2020-03-31,9.06
2020-04-01,8.92
2020-04-02,9.28
2020-04-03,8.64
2020-04-06,8.82
2020-04-07,8.87
2020-04-08,9.13
2020-04-09,9.43
2020-04-13,9.58
2020-04-14,9.66
2020-04-15,9.06
2020-04-16,9.36
2020-04-17,9.66
2020-04-20,9.64
2020-04-21,9.31
2020-04-22,9.25
2020-04-23,9.5
2020-04-24,9.73
2020-04-27,9.92
2020-04-28,10.2
2020-04-29,10.41
2020-04-30,10.26
2020-05-01,10.06
2020-05-04,9.76
2020-05-05,9.85
2020-05-06,9.49
2020-05-07,10.75
2020-05-08,11.31
