Date,BCEI
2011-12-15,1518.7126460000002
2011-12-16,1517.596802
2011-12-19,1468.498047
2011-12-20,1509.785645
2011-12-21,1537.682617
2011-12-22,1543.262085
2011-12-23,1522.060303
2011-12-27,1489.699829
2011-12-28,1439.485229
2011-12-29,1395.96582
2011-12-30,1394.849976
2012-01-03,1460.68689
2012-01-04,1499.742676
2012-01-05,1576.7384029999998
2012-01-06,1592.360718
2012-01-09,1603.5195310000001
2012-01-10,1602.403687
2012-01-11,1601.287842
2012-01-12,1593.4766849999999
2012-01-13,1581.201904
2012-01-17,1592.360718
2012-01-18,1576.7384029999998
2012-01-19,1630.300659
2012-01-20,1636.9959720000002
2012-01-23,1645.922974
2012-01-24,1680.515259
2012-01-25,1725.1505129999998
2012-01-26,1730.729858
2012-01-27,1790.987427
2012-01-30,1776.480957
2012-01-31,1821.116211
2012-02-01,1844.5496829999997
2012-02-02,1882.489502
2012-02-03,1899.2277829999998
2012-02-06,1874.678345
2012-02-07,1900.343628
2012-02-08,1966.1805420000003
2012-02-09,1957.25354
2012-02-10,1855.7084960000002
2012-02-13,1879.141968
2012-02-14,1899.2277829999998
2012-02-15,1885.8371579999998
2012-02-16,1892.532471
2012-02-17,1947.210571
2012-02-21,2015.2792969999998
2012-02-22,2087.811523
2012-02-23,2154.76416
2012-02-24,2156.996094
2012-02-27,2167.0390629999997
2012-02-28,2125.751465
2012-02-29,2075.536865
2012-03-01,2042.060425
2012-03-02,1986.266357
2012-03-05,1978.4552
2012-03-06,2010.815796
2012-03-07,2100.086182
2012-03-08,2124.635498
2012-03-09,2122.403809
2012-03-12,2164.807129
2012-03-13,2167.0390629999997
2012-03-14,2131.330811
2012-03-15,2135.794434
2012-03-16,2175.966064
2012-03-19,2151.416748
2012-03-20,2113.476807
2012-03-21,2110.12915
2012-03-22,2023.090454
2012-03-23,2141.373779
2012-03-26,2287.553955
2012-03-27,2398.026123
2012-03-28,2363.433838
2012-03-29,2316.566895
2012-03-30,2438.197754
2012-04-02,2459.399414
2012-04-03,2454.936035
2012-04-04,2377.940186
2012-04-05,2404.721436
2012-04-09,2325.493896
2012-04-10,2229.52832
2012-04-11,2233.9916989999997
2012-04-12,2329.95752
2012-04-13,2329.95752
2012-04-16,2323.262207
2012-04-17,2307.639893
2012-04-18,2283.090576
2012-04-19,2248.498291
2012-04-20,2219.485352
2012-04-23,2217.253662
2012-04-24,2231.76001
2012-04-25,2230.644043
