Date,NSC
1982-06-02,4.763889
1982-06-03,4.694445
1982-06-04,4.597222
1982-06-07,4.6666669999999995
1982-06-08,4.597222
1982-06-09,4.597222
1982-06-10,4.597222
1982-06-11,4.625
1982-06-14,4.5833330000000005
1982-06-15,4.611111
1982-06-16,4.611111
1982-06-17,4.513889
1982-06-18,4.513889
1982-06-21,4.569445
1982-06-22,4.722222
1982-06-23,5.0
1982-06-24,4.9166669999999995
1982-06-25,4.930555
1982-06-28,4.944445
1982-06-29,5.027778
1982-06-30,5.055555
1982-07-01,5.055555
1982-07-02,5.1666669999999995
1982-07-06,5.1666669999999995
1982-07-07,5.125
1982-07-08,5.0416669999999995
1982-07-09,5.0
1982-07-12,4.986111
1982-07-13,5.0
1982-07-14,4.986111
1982-07-15,4.819445
1982-07-16,4.805555
1982-07-19,4.75
1982-07-20,4.875
1982-07-21,4.930555
1982-07-22,4.972222
1982-07-23,5.125
1982-07-26,5.0416669999999995
1982-07-27,5.0416669999999995
1982-07-28,5.027778
1982-07-29,5.027778
1982-07-30,5.0416669999999995
1982-08-02,5.069445
1982-08-03,5.055555
1982-08-04,4.986111
1982-08-05,4.819445
1982-08-06,4.8333330000000005
1982-08-09,4.861111
1982-08-10,4.875
1982-08-11,4.902778
1982-08-12,4.888889
1982-08-13,5.027778
1982-08-16,5.055555
1982-08-17,5.25
1982-08-18,5.263889
1982-08-19,5.305555
1982-08-20,5.347222
1982-08-23,5.5833330000000005
1982-08-24,5.625
1982-08-25,5.847222
1982-08-26,5.9166669999999995
1982-08-27,5.847222
1982-08-30,5.847222
1982-08-31,6.027778
1982-09-01,6.069445
1982-09-02,6.1666669999999995
1982-09-03,6.111111
1982-09-07,5.9166669999999995
1982-09-08,5.875
1982-09-09,5.861111
1982-09-10,5.861111
1982-09-13,5.972222
1982-09-14,6.125
1982-09-15,6.097222
1982-09-16,5.944445
1982-09-17,5.875
1982-09-20,5.944445
1982-09-21,6.111111
1982-09-22,6.069445
1982-09-23,6.027778
1982-09-24,6.0
1982-09-27,6.055555
1982-09-28,6.1666669999999995
1982-09-29,6.25
1982-09-30,6.1666669999999995
1982-10-01,6.222222
1982-10-04,6.180555
1982-10-05,6.194445
1982-10-06,6.236111
1982-10-07,6.375
1982-10-08,6.375
1982-10-11,6.263889
1982-10-12,6.180555
1982-10-13,6.3333330000000005
1982-10-14,6.347222
1982-10-15,6.527778
1982-10-18,6.805555
1982-10-19,6.805555
1982-10-20,6.75
1982-10-21,7.027778
1982-10-22,7.152778
1982-10-25,6.944445
1982-10-26,6.680555
1982-10-27,6.402778
1982-10-28,6.2916669999999995
1982-10-29,6.236111
1982-11-01,6.236111
1982-11-02,6.402778
1982-11-03,6.7083330000000005
1982-11-04,6.638889
1982-11-05,6.555555
1982-11-08,6.513889
1982-11-09,6.625
1982-11-10,6.638889
1982-11-11,6.5833330000000005
1982-11-12,6.5416669999999995
1982-11-15,6.388889
1982-11-16,6.180555
1982-11-17,6.194445
1982-11-18,6.2083330000000005
1982-11-19,6.194445
1982-11-22,6.180555
1982-11-23,6.277778
1982-11-24,6.4583330000000005
1982-11-26,6.611111
1982-11-29,6.472222
1982-11-30,6.5833330000000005
1982-12-01,6.5416669999999995
1982-12-02,6.4166669999999995
1982-12-03,6.430555
1982-12-06,6.569445
1982-12-07,6.527778
1982-12-08,6.430555
1982-12-09,6.263889
1982-12-10,6.236111
1982-12-13,6.263889
1982-12-14,6.055555
1982-12-15,6.097222
1982-12-16,6.027778
1982-12-17,5.972222
1982-12-20,5.805555
1982-12-21,5.847222
1982-12-22,5.888889
1982-12-23,5.972222
1982-12-27,6.1666669999999995
1982-12-28,6.097222
1982-12-29,6.138889
1982-12-30,6.097222
1982-12-31,6.0833330000000005
1983-01-03,5.902778
1983-01-04,5.888889
1983-01-05,5.777778
1983-01-06,6.013889
1983-01-07,6.111111
1983-01-10,6.222222
1983-01-11,6.2083330000000005
1983-01-12,6.305555
1983-01-13,6.222222
1983-01-14,6.194445
1983-01-17,6.125
1983-01-18,6.0833330000000005
1983-01-19,6.027778
1983-01-20,6.027778
1983-01-21,5.9166669999999995
1983-01-24,5.722222
