Date,EQNR
2001-06-18,7.47
2001-06-19,7.62
2001-06-20,7.64
2001-06-21,7.57
2001-06-22,7.51
2001-06-25,7.5
2001-06-26,7.5
2001-06-27,7.44
2001-06-28,7.12
2001-06-29,7.37
2001-07-02,7.2
2001-07-03,7.19
2001-07-05,7.05
2001-07-06,7.27
2001-07-09,7.05
2001-07-10,6.86
2001-07-11,6.79
2001-07-12,6.8
2001-07-13,6.79
2001-07-16,6.86
2001-07-17,6.55
2001-07-18,6.58
2001-07-19,6.87
2001-07-20,6.9
2001-07-23,7.05
2001-07-24,6.99
2001-07-25,7.05
2001-07-26,6.95
2001-07-27,7.2
2001-07-30,7.05
2001-07-31,7.05
2001-08-01,7.2
2001-08-02,7.3
2001-08-03,7.05
2001-08-06,7.07
2001-08-07,6.9
2001-08-08,6.75
2001-08-09,6.91
2001-08-10,6.85
2001-08-13,6.95
2001-08-14,6.9
2001-08-15,7.02
2001-08-16,6.96
2001-08-17,6.95
2001-08-20,6.93
2001-08-21,7.04
2001-08-22,6.92
2001-08-23,6.8
2001-08-24,6.81
2001-08-27,6.82
2001-08-28,6.81
2001-08-29,6.91
2001-08-30,6.96
2001-08-31,6.9
2001-09-04,6.8
2001-09-05,6.75
2001-09-06,6.87
2001-09-07,6.9
2001-09-10,6.8
2001-09-17,6.98
2001-09-18,7.0
2001-09-19,6.89
2001-09-20,6.78
2001-09-21,6.45
2001-09-24,6.25
2001-09-25,6.23
2001-09-26,6.23
2001-09-27,6.3
2001-09-28,6.46
2001-10-01,6.3
2001-10-02,6.17
2001-10-03,6.3
2001-10-04,6.35
2001-10-05,6.16
2001-10-08,6.17
2001-10-09,6.27
2001-10-10,6.5
2001-10-11,6.62
2001-10-12,6.64
2001-10-15,6.44
2001-10-16,6.49
2001-10-17,6.5
2001-10-18,6.32
2001-10-19,6.22
2001-10-22,6.29
2001-10-23,6.33
2001-10-24,6.49
2001-10-25,6.15
2001-10-26,6.3
2001-10-29,6.73
2001-10-30,6.85
2001-10-31,6.8
2001-11-01,6.75
2001-11-02,6.65
2001-11-05,6.8
2001-11-06,6.81
2001-11-07,6.78
2001-11-08,6.76
2001-11-09,7.0
2001-11-12,6.93
2001-11-13,7.1
2001-11-14,6.87
2001-11-15,6.6
2001-11-16,6.65
2001-11-19,6.39
2001-11-20,6.47
2001-11-21,6.4
2001-11-23,6.35
2001-11-26,6.34
2001-11-27,6.28
2001-11-28,6.26
2001-11-29,6.38
2001-11-30,6.44
2001-12-03,6.55
2001-12-04,6.8
2001-12-05,6.62
2001-12-06,6.66
2001-12-07,6.68
2001-12-10,6.57
2001-12-11,6.56
2001-12-12,6.76
2001-12-13,6.51
2001-12-14,6.52
2001-12-17,6.48
2001-12-18,6.62
2001-12-19,6.67
2001-12-20,6.54
2001-12-21,6.54
2001-12-24,6.44
2001-12-26,6.64
2001-12-27,6.53
2001-12-28,6.58
2001-12-31,6.55
2002-01-02,6.85
2002-01-03,6.99
2002-01-04,6.89
2002-01-07,6.73
2002-01-08,6.82
2002-01-09,6.96
2002-01-10,6.91
2002-01-11,6.84
2002-01-14,6.59
2002-01-15,6.5
2002-01-16,6.45
2002-01-17,6.5
2002-01-18,6.7
2002-01-22,6.51
2002-01-23,6.45
2002-01-24,6.35
2002-01-25,6.46
2002-01-28,6.48
2002-01-29,6.35
2002-01-30,6.38
2002-01-31,6.36
2002-02-01,6.45
2002-02-04,6.67
2002-02-05,6.49
2002-02-06,6.59
2002-02-07,6.37
2002-02-08,6.31
2002-02-11,6.57
2002-02-12,6.47
2002-02-13,6.74
2002-02-14,6.85
2002-02-15,6.87
2002-02-19,6.74
2002-02-20,6.7
2002-02-21,6.66
2002-02-22,6.87
2002-02-25,6.96
2002-02-26,7.0
2002-02-27,7.19
2002-02-28,7.14
2002-03-01,7.29
2002-03-04,7.26
2002-03-05,7.37
2002-03-06,7.36
2002-03-07,7.5
2002-03-08,7.55
2002-03-11,7.51
2002-03-12,7.5
2002-03-13,7.49
2002-03-14,7.49
2002-03-15,7.4
2002-03-18,7.47
2002-03-19,7.59
2002-03-20,7.57
2002-03-21,7.64
2002-03-22,7.76
2002-03-25,7.73
2002-03-26,7.72
2002-03-27,7.9
2002-03-28,7.83
2002-04-01,7.9
2002-04-02,8.28
2002-04-03,8.19
2002-04-04,8.07
2002-04-05,7.85
2002-04-08,8.02
2002-04-09,7.92
2002-04-10,7.93
2002-04-11,7.96
2002-04-12,7.9
2002-04-15,8.05
2002-04-16,8.21
2002-04-17,8.41
2002-04-18,8.4
2002-04-19,8.32
2002-04-22,8.3
2002-04-23,8.26
2002-04-24,8.41
2002-04-25,8.38
2002-04-26,8.3
2002-04-29,8.27
2002-04-30,8.38
2002-05-01,8.45
2002-05-02,8.46
2002-05-03,8.49
2002-05-06,8.3
2002-05-07,8.05
2002-05-08,8.05
2002-05-09,7.98
2002-05-10,8.33
2002-05-13,8.49
2002-05-14,8.43
2002-05-15,8.36
2002-05-16,8.48
2002-05-17,8.54
2002-05-20,8.52
2002-05-21,8.61
2002-05-22,8.61
2002-05-23,8.81
2002-05-24,8.8
2002-05-28,8.8
2002-05-29,8.74
2002-05-30,8.7
2002-05-31,8.48
2002-06-03,8.72
2002-06-04,8.5
2002-06-05,8.35
2002-06-06,8.4
2002-06-07,8.3
2002-06-10,8.29
2002-06-11,8.43
2002-06-12,8.65
2002-06-13,8.65
2002-06-14,8.4
2002-06-17,8.53
2002-06-18,8.5
2002-06-19,8.58
2002-06-20,8.54
2002-06-21,8.52
2002-06-24,8.56
2002-06-25,8.59
2002-06-26,8.48
2002-06-27,8.53
2002-06-28,8.82
2002-07-01,8.71
2002-07-02,8.72
2002-07-03,8.78
2002-07-05,9.2
2002-07-08,9.13
2002-07-09,9.1
2002-07-10,9.01
2002-07-11,8.65
2002-07-12,8.64
2002-07-15,8.41
2002-07-16,8.4
2002-07-17,8.32
2002-07-18,8.43
2002-07-19,8.34
2002-07-22,7.85
2002-07-23,7.31
2002-07-24,7.33
2002-07-25,7.3
2002-07-26,7.46
2002-07-29,7.76
2002-07-30,7.8
2002-07-31,8.17
2002-08-01,7.98
2002-08-02,8.09
2002-08-05,7.81
2002-08-06,8.1
2002-08-07,8.24
2002-08-08,8.56
2002-08-09,8.4
2002-08-12,8.53
2002-08-13,8.43
2002-08-14,8.42
2002-08-15,8.51
2002-08-16,8.65
2002-08-19,8.67
2002-08-20,8.65
2002-08-21,8.83
2002-08-22,8.5
2002-08-23,8.5
2002-08-26,8.31
2002-08-27,8.5
2002-08-28,8.49
2002-08-29,8.32
2002-08-30,8.45
2002-09-03,8.4
2002-09-04,8.32
2002-09-05,8.12
2002-09-06,8.27
2002-09-09,8.55
2002-09-10,8.42
2002-09-11,8.3
2002-09-12,8.22
2002-09-13,8.24
2002-09-16,8.18
2002-09-17,7.99
2002-09-18,8.05
2002-09-19,7.65
2002-09-20,7.77
2002-09-23,7.72
