Date,NCLH
2013-01-18,24.790001
2013-01-22,26.950001
2013-01-23,27.49
2013-01-24,27.35
2013-01-25,27.35
2013-01-28,27.76
2013-01-29,27.110001
2013-01-30,26.290001
2013-01-31,26.370001000000002
2013-02-01,27.65
2013-02-04,28.41
2013-02-05,28.540001
2013-02-06,27.98
2013-02-07,27.549999
2013-02-08,27.91
2013-02-11,27.68
2013-02-12,28.32
2013-02-13,28.92
2013-02-14,29.25
2013-02-15,30.27
2013-02-19,31.190001000000002
2013-02-20,30.799999
2013-02-21,30.469998999999998
2013-02-22,29.99
2013-02-25,30.780001000000002
2013-02-26,30.209999
2013-02-27,30.26
2013-02-28,30.98
2013-03-01,30.99
2013-03-04,30.450001
2013-03-05,30.030001000000002
2013-03-06,30.02
2013-03-07,30.290001
2013-03-08,30.299999
2013-03-11,30.66
2013-03-12,30.85
2013-03-13,30.780001000000002
2013-03-14,30.0
2013-03-15,29.82
2013-03-18,30.290001
2013-03-19,30.26
2013-03-20,30.5
2013-03-21,30.030001000000002
2013-03-22,30.18
2013-03-25,29.48
2013-03-26,29.540001
2013-03-27,30.15
2013-03-28,29.65
2013-04-01,29.93
2013-04-02,29.92
2013-04-03,29.190001000000002
2013-04-04,29.27
2013-04-05,29.299999
2013-04-08,29.99
2013-04-09,30.34
2013-04-10,30.530001000000002
2013-04-11,30.639999
2013-04-12,30.5
2013-04-15,30.07
2013-04-16,30.0
2013-04-17,29.549999
2013-04-18,29.34
2013-04-19,29.43
2013-04-22,29.379998999999998
2013-04-23,29.34
2013-04-24,28.9
2013-04-25,30.059998999999998
2013-04-26,30.389999
2013-04-29,30.360001
2013-04-30,31.01
2013-05-01,31.09
2013-05-02,31.360001
2013-05-03,31.530001000000002
2013-05-06,31.82
2013-05-07,31.66
2013-05-08,31.9
2013-05-09,31.709999
2013-05-10,31.01
2013-05-13,30.459999
2013-05-14,30.76
2013-05-15,31.360001
2013-05-16,31.42
2013-05-17,31.559998999999998
2013-05-20,32.029999
2013-05-21,32.0
2013-05-22,31.799999
2013-05-23,31.959999
2013-05-24,32.150002
2013-05-28,31.75
2013-05-29,31.57
2013-05-30,30.82
2013-05-31,30.75
2013-06-03,31.35
2013-06-04,31.41
2013-06-05,30.85
2013-06-06,30.790001
2013-06-07,31.24
2013-06-10,31.17
2013-06-11,31.65
2013-06-12,31.110001
2013-06-13,31.08
2013-06-14,31.280001000000002
2013-06-17,31.190001000000002
2013-06-18,31.549999
2013-06-19,31.299999
2013-06-20,31.280001000000002
