Date,RYN
1994-02-17,5.84896
1994-02-18,5.7324470000000005
1994-02-22,6.035381
1994-02-23,6.151894
1994-02-24,6.151894
1994-02-25,6.151894
1994-02-28,6.1985
1994-03-01,6.1985
1994-03-02,5.965473
1994-03-03,6.3150129999999995
1994-03-04,6.3150129999999995
1994-03-07,6.151894
1994-03-08,6.0586839999999995
1994-03-09,6.1985
1994-03-10,6.175197
1994-03-11,6.128592
1994-03-14,5.9887760000000005
1994-03-15,6.035381
1994-03-16,5.942171
1994-03-17,5.8955660000000005
1994-03-18,5.84896
1994-03-21,5.825657
1994-03-22,5.779052
1994-03-23,5.802355
1994-03-24,5.7324470000000005
1994-03-25,5.615933999999999
1994-03-28,5.476118
1994-03-29,5.196486
1994-03-30,5.243092
1994-03-31,5.219789
1994-04-04,5.149881
1994-04-05,5.243092
1994-04-06,5.429513
1994-04-07,5.476118
1994-04-08,5.40621
1994-04-11,5.546026
1994-04-12,5.522723
1994-04-13,5.40621
1994-04-14,5.359605
1994-04-15,5.336302
1994-04-18,5.313
1994-04-19,5.266394999999999
1994-04-20,5.266394999999999
1994-04-21,5.219789
1994-04-22,5.173184
1994-04-25,5.243092
1994-04-26,5.219789
1994-04-28,5.219789
1994-04-29,5.266394999999999
1994-05-02,5.219789
1994-05-03,5.219789
1994-05-04,5.079973000000001
1994-05-05,5.103276
1994-05-06,5.103276
1994-05-09,5.056671
1994-05-10,5.126579
1994-05-11,5.033368
1994-05-12,5.010066
1994-05-13,5.079973000000001
1994-05-16,5.010066
1994-05-17,5.010066
1994-05-18,5.056671
1994-05-19,5.196486
1994-05-20,5.382907
1994-05-23,5.266394999999999
1994-05-24,5.266394999999999
1994-05-25,5.219789
1994-05-26,5.289697
1994-05-27,5.266394999999999
1994-05-31,5.243092
1994-06-01,5.149881
1994-06-02,5.219789
1994-06-03,5.40621
1994-06-06,5.382907
1994-06-07,5.40621
1994-06-08,5.359605
1994-06-09,5.40621
1994-06-10,5.592631
1994-06-13,5.592631
1994-06-14,5.615933999999999
1994-06-15,5.522723
1994-06-16,5.592631
1994-06-17,5.615933999999999
1994-06-20,5.476118
1994-06-21,5.219789
1994-06-22,5.243092
1994-06-23,5.196486
1994-06-24,5.149881
1994-06-27,5.173184
1994-06-28,5.219789
1994-06-29,5.336302
1994-06-30,5.382907
1994-07-01,5.336302
1994-07-05,5.382907
1994-07-06,5.359605
1994-07-07,5.313
1994-07-08,5.313
1994-07-11,5.359605
