Date,TV
1993-12-14,15.9375
1993-12-15,15.875
1993-12-16,15.96875
1993-12-17,16.1875
1993-12-20,16.46875
1993-12-21,16.5625
1993-12-22,17.21875
1993-12-23,17.625
1993-12-27,17.8125
1993-12-28,17.75
1993-12-29,17.4375
1993-12-30,17.40625
1993-12-31,17.5
1994-01-03,16.96875
1994-01-04,17.28125
1994-01-05,17.5625
1994-01-06,17.25
1994-01-07,16.9375
1994-01-10,16.46875
1994-01-11,16.78125
1994-01-12,16.6875
1994-01-13,16.6875
1994-01-14,16.59375
1994-01-17,16.71875
1994-01-18,17.0625
1994-01-19,17.3125
1994-01-20,17.5
1994-01-21,17.5625
1994-01-24,17.625
1994-01-25,17.375
1994-01-26,17.21875
1994-01-27,17.59375
1994-01-28,17.53125
1994-01-31,17.75
1994-02-01,18.0625
1994-02-02,18.3125
1994-02-03,18.25
1994-02-04,18.0
1994-02-07,18.15625
1994-02-08,18.125
1994-02-09,17.9375
1994-02-10,17.28125
1994-02-11,17.25
1994-02-14,17.28125
1994-02-15,17.4375
1994-02-16,17.5625
1994-02-17,17.125
1994-02-18,16.59375
1994-02-22,16.625
1994-02-23,16.46875
1994-02-24,16.09375
1994-02-25,16.03125
1994-02-28,16.09375
1994-03-01,15.5
1994-03-02,15.5
1994-03-03,15.34375
1994-03-04,15.40625
1994-03-07,15.75
1994-03-08,15.5
1994-03-09,14.875
1994-03-10,14.875
1994-03-11,14.46875
1994-03-14,14.375
1994-03-15,14.0
1994-03-16,14.03125
1994-03-17,14.09375
1994-03-18,13.875
1994-03-21,13.5
1994-03-22,14.40625
1994-03-23,14.6875
1994-03-24,14.09375
1994-03-25,14.21875
1994-03-28,13.65625
1994-03-29,13.1875
1994-03-30,12.6875
1994-03-31,12.75
1994-04-04,12.1875
1994-04-05,12.3125
1994-04-06,12.125
1994-04-07,12.46875
1994-04-08,12.21875
1994-04-11,12.15625
1994-04-12,12.1875
1994-04-13,12.1875
1994-04-14,12.15625
1994-04-15,12.125
1994-04-18,12.0
1994-04-19,11.34375
1994-04-20,10.96875
1994-04-21,11.5
1994-04-22,12.3125
1994-04-25,12.28125
1994-04-26,12.75
1994-04-28,13.09375
1994-04-29,13.25
1994-05-02,12.6875
1994-05-03,12.5625
1994-05-04,12.4375
1994-05-05,12.28125
1994-05-06,11.78125
1994-05-09,11.5
1994-05-10,11.71875
1994-05-11,11.4375
1994-05-12,11.59375
1994-05-13,11.375
1994-05-16,11.4375
1994-05-17,11.65625
1994-05-18,12.46875
1994-05-19,12.8125
1994-05-20,13.15625
1994-05-23,13.25
1994-05-24,13.875
1994-05-25,13.84375
1994-05-26,13.96875
1994-05-27,14.34375
1994-05-31,14.4375
1994-06-01,13.875
1994-06-02,14.1875
1994-06-03,14.09375
1994-06-06,14.25
1994-06-07,14.03125
1994-06-08,13.53125
1994-06-09,13.5
1994-06-10,13.34375
1994-06-13,12.75
1994-06-14,12.90625
1994-06-15,12.8125
1994-06-16,13.28125
1994-06-17,13.125
1994-06-20,12.96875
1994-06-21,12.78125
1994-06-22,12.753906
1994-06-23,12.59375
1994-06-24,12.0
1994-06-27,12.3125
1994-06-28,12.25
1994-06-29,12.625
1994-06-30,12.6875
1994-07-01,12.8125
1994-07-05,13.0
1994-07-06,13.125
1994-07-07,13.4375
1994-07-08,13.25
1994-07-11,13.0
1994-07-12,13.0625
1994-07-13,12.96875
1994-07-14,13.28125
1994-07-15,13.375
1994-07-18,13.25
1994-07-19,12.3125
1994-07-20,12.03125
1994-07-21,12.5625
1994-07-22,12.875
1994-07-25,12.90625
1994-07-26,13.46875
1994-07-27,13.84375
1994-07-28,13.625
1994-07-29,14.0
1994-08-01,14.28125
1994-08-02,14.5
1994-08-03,14.3125
1994-08-04,14.25
1994-08-05,14.4375
1994-08-08,14.1875
1994-08-09,14.21875
1994-08-10,13.96875
1994-08-11,13.875
1994-08-12,14.125
1994-08-15,14.25
1994-08-16,14.46875
1994-08-17,14.65625
1994-08-18,14.75
1994-08-19,14.84375
1994-08-22,15.3125
1994-08-23,15.15625
1994-08-24,15.625
1994-08-25,15.25
1994-08-26,15.25
1994-08-29,15.0
1994-08-30,14.78125
1994-08-31,14.65625
1994-09-01,14.5625
1994-09-02,14.4375
1994-09-06,14.53125
1994-09-07,14.6875
1994-09-08,14.75
1994-09-09,14.65625
1994-09-12,14.3125
1994-09-13,14.34375
1994-09-14,14.3125
1994-09-15,14.6875
1994-09-16,14.625
1994-09-19,14.75
1994-09-20,14.8125
1994-09-21,14.8125
1994-09-22,14.96875
1994-09-23,15.28125
1994-09-26,15.21875
1994-09-27,14.9375
1994-09-28,14.71875
1994-09-29,14.4375
1994-09-30,14.46875
1994-10-03,14.15625
1994-10-04,13.96875
1994-10-05,13.84375
1994-10-06,13.78125
1994-10-07,13.65625
1994-10-10,11.84375
1994-10-11,11.65625
1994-10-12,11.84375
1994-10-13,12.0
1994-10-14,12.4375
1994-10-17,12.34375
1994-10-18,12.0625
1994-10-19,11.84375
1994-10-20,11.6875
1994-10-21,11.25
1994-10-24,10.65625
1994-10-25,10.53125
1994-10-26,11.0
1994-10-27,11.25
1994-10-28,11.28125
1994-10-31,11.09375
1994-11-01,10.9375
1994-11-02,10.90625
1994-11-03,10.9375
1994-11-04,11.0
1994-11-07,11.09375
1994-11-08,11.3125
1994-11-09,10.9375
1994-11-10,10.6875
1994-11-11,11.34375
1994-11-14,11.03125
1994-11-15,10.875
1994-11-16,10.8125
1994-11-17,10.53125
1994-11-18,10.125
