Date,CI
1982-03-31,5.805555
1982-04-01,5.805555
1982-04-02,6.0
1982-04-05,6.055555
1982-04-06,6.027778
1982-04-07,6.055555
1982-04-08,6.111111
1982-04-12,6.027778
1982-04-13,6.0833330000000005
1982-04-14,6.055555
1982-04-15,6.0416669999999995
1982-04-16,6.0416669999999995
1982-04-19,6.055555
1982-04-20,6.0416669999999995
1982-04-21,5.972222
1982-04-22,5.986111
1982-04-23,5.694445
1982-04-26,5.569445
1982-04-27,5.472222
1982-04-28,5.444445
1982-04-29,5.4166669999999995
1982-04-30,5.347222
1982-05-03,5.2916669999999995
1982-05-04,5.305555
1982-05-05,5.2916669999999995
1982-05-06,5.305555
1982-05-07,5.222222
1982-05-10,5.236111
1982-05-11,5.347222
1982-05-12,5.0833330000000005
1982-05-13,4.569445
1982-05-14,4.694445
1982-05-17,4.694445
1982-05-18,4.6666669999999995
1982-05-19,4.5833330000000005
1982-05-20,4.555555
1982-05-21,4.486111
1982-05-24,4.375
1982-05-25,4.388889
1982-05-26,4.319445
1982-05-27,4.305555
1982-05-28,4.263889
1982-06-01,4.222222
1982-06-02,4.25
1982-06-03,4.236111
1982-06-04,4.0833330000000005
1982-06-07,3.972222
1982-06-08,3.833333
1982-06-09,3.722222
1982-06-10,3.75
1982-06-11,3.833333
1982-06-14,3.666667
1982-06-15,3.75
1982-06-16,3.763889
1982-06-17,3.666667
1982-06-18,3.5555559999999997
1982-06-21,3.5555559999999997
1982-06-22,3.708333
1982-06-23,3.75
1982-06-24,3.75
1982-06-25,3.791667
1982-06-28,3.791667
1982-06-29,3.777778
1982-06-30,3.777778
1982-07-01,3.722222
1982-07-02,3.666667
1982-07-06,3.583333
1982-07-07,3.472222
1982-07-08,3.638889
1982-07-09,3.638889
1982-07-12,3.611111
1982-07-13,3.583333
1982-07-14,3.611111
1982-07-15,3.652778
1982-07-16,3.6805559999999997
1982-07-19,3.6805559999999997
1982-07-20,3.652778
1982-07-21,3.6944440000000003
1982-07-22,3.8194440000000003
1982-07-23,3.847222
1982-07-26,3.75
1982-07-27,3.75
1982-07-28,3.6944440000000003
1982-07-29,3.763889
1982-07-30,3.722222
1982-08-02,3.791667
1982-08-03,3.763889
1982-08-04,3.8055559999999997
1982-08-05,3.75
1982-08-06,3.722222
1982-08-09,3.666667
1982-08-10,3.625
1982-08-11,3.777778
1982-08-12,3.8055559999999997
1982-08-13,3.9305559999999997
1982-08-16,3.875
1982-08-17,4.097222
1982-08-18,4.138889
1982-08-19,4.0
1982-08-20,4.194445
1982-08-23,4.1666669999999995
1982-08-24,4.194445
1982-08-25,4.152778
1982-08-26,4.2916669999999995
1982-08-27,4.194445
1982-08-30,4.180555
1982-08-31,4.277778
1982-09-01,4.222222
1982-09-02,4.222222
1982-09-03,4.125
1982-09-07,4.013889
1982-09-08,3.916667
1982-09-09,3.9305559999999997
1982-09-10,3.916667
1982-09-13,4.069445
1982-09-14,4.013889
1982-09-15,4.1666669999999995
1982-09-16,4.097222
1982-09-17,4.0833330000000005
1982-09-20,4.0833330000000005
1982-09-21,4.180555
1982-09-22,4.194445
1982-09-23,4.1666669999999995
1982-09-24,4.194445
1982-09-27,4.25
1982-09-28,4.236111
1982-09-29,4.2083330000000005
1982-09-30,4.1666669999999995
1982-10-01,4.277778
1982-10-04,4.347222
1982-10-05,4.347222
1982-10-06,4.5
1982-10-07,4.680555
1982-10-08,4.7083330000000005
1982-10-11,4.805555
1982-10-12,4.8333330000000005
