Date,CNI
1996-11-26,3.208333
1996-11-27,3.28125
1996-11-29,3.427083
1996-12-02,3.395833
1996-12-03,3.40625
1996-12-04,3.208333
1996-12-05,3.135417
1996-12-06,3.083333
1996-12-09,3.229167
1996-12-10,3.1875
1996-12-11,3.104167
1996-12-12,3.03125
1996-12-13,2.979167
1996-12-16,2.895833
1996-12-17,3.041667
1996-12-18,3.083333
1996-12-19,3.135417
1996-12-20,3.25
1996-12-23,3.239583
1996-12-24,3.239583
1996-12-26,3.25
1996-12-27,3.197917
1996-12-30,3.166667
1996-12-31,3.166667
1997-01-02,3.145833
1997-01-03,3.166667
1997-01-06,3.135417
1997-01-07,3.135417
1997-01-08,3.114583
1997-01-09,3.09375
1997-01-10,3.135417
1997-01-13,3.135417
1997-01-14,3.21875
1997-01-15,3.291667
1997-01-16,3.25
1997-01-17,3.25
1997-01-20,3.239583
1997-01-21,3.229167
1997-01-22,3.3125
1997-01-23,3.395833
1997-01-24,3.375
1997-01-27,3.354167
1997-01-28,3.375
1997-01-29,3.34375
1997-01-30,3.354167
1997-01-31,3.3125
1997-02-03,3.302083
1997-02-04,3.3125
1997-02-05,3.239583
1997-02-06,3.229167
1997-02-07,3.239583
1997-02-10,3.15625
1997-02-11,3.15625
1997-02-12,3.208333
1997-02-13,3.229167
1997-02-14,3.208333
1997-02-18,3.229167
1997-02-19,3.208333
1997-02-20,3.1875
1997-02-21,3.145833
1997-02-24,3.145833
1997-02-25,3.135417
1997-02-26,3.09375
1997-02-27,3.03125
1997-02-28,3.03125
1997-03-03,3.041667
1997-03-04,3.052083
1997-03-05,3.072917
1997-03-06,3.125
1997-03-07,3.15625
1997-03-10,3.1875
1997-03-11,3.166667
1997-03-12,3.177083
1997-03-13,3.145833
1997-03-14,3.145833
1997-03-17,3.104167
1997-03-18,3.104167
1997-03-19,3.072917
1997-03-20,3.010417
1997-03-21,2.989583
1997-03-24,3.052083
1997-03-25,3.083333
1997-03-26,3.072917
1997-03-27,3.072917
1997-03-31,2.947917
1997-04-01,2.947917
1997-04-02,2.875
1997-04-03,2.90625
