Date,SAIC
2013-09-16,31.43
2013-09-17,30.82
2013-09-18,30.59
2013-09-19,29.51
2013-09-20,29.790001
2013-09-23,30.0
2013-09-24,30.18
2013-09-25,31.0
2013-09-26,34.0
2013-09-27,35.25
2013-09-30,33.75
2013-10-01,33.799999
2013-10-02,33.150002
2013-10-03,33.689999
2013-10-04,32.759997999999996
2013-10-07,32.84
2013-10-08,32.490002000000004
2013-10-09,32.860001000000004
2013-10-10,33.279999
2013-10-11,33.209998999999996
2013-10-14,33.560001
2013-10-15,33.52
2013-10-16,33.41
2013-10-17,33.48
2013-10-18,33.560001
2013-10-21,33.880001
2013-10-22,34.25
2013-10-23,34.66
2013-10-24,34.919998
2013-10-25,35.18
2013-10-28,36.099998
2013-10-29,36.099998
2013-10-30,36.32
2013-10-31,35.25
2013-11-01,35.439999
2013-11-04,35.549999
2013-11-05,35.610001000000004
2013-11-06,35.389998999999996
2013-11-07,36.139998999999996
2013-11-08,36.200001
2013-11-11,36.470001
2013-11-12,36.669998
2013-11-13,38.380001
2013-11-14,38.639998999999996
2013-11-15,38.73
2013-11-18,38.240002000000004
2013-11-19,38.330002
2013-11-20,38.619999
2013-11-21,39.029999
2013-11-22,38.66
2013-11-25,38.48
2013-11-26,36.57
2013-11-27,37.400002
2013-11-29,36.849998
2013-12-02,36.810001
2013-12-03,34.759997999999996
2013-12-04,33.889998999999996
2013-12-05,34.490002000000004
2013-12-06,34.43
2013-12-09,33.209998999999996
2013-12-10,34.439999
2013-12-11,35.650002
2013-12-12,34.779999
2013-12-13,33.709998999999996
2013-12-16,32.029999
2013-12-17,32.110001000000004
2013-12-18,30.940001000000002
2013-12-19,31.07
2013-12-20,31.469998999999998
2013-12-23,31.610001
2013-12-24,31.469998999999998
2013-12-26,32.099998
2013-12-27,32.200001
2013-12-30,32.43
2013-12-31,33.07
2014-01-02,32.639998999999996
2014-01-03,33.709998999999996
2014-01-06,33.66
2014-01-07,34.549999
2014-01-08,35.040001000000004
2014-01-09,35.639998999999996
2014-01-10,36.080002
2014-01-13,36.16
2014-01-14,36.77
2014-01-15,37.049999
2014-01-16,37.099998
2014-01-17,36.889998999999996
2014-01-21,37.599998
2014-01-22,38.009997999999996
2014-01-23,38.259997999999996
2014-01-24,37.610001000000004
2014-01-27,36.610001000000004
2014-01-28,36.790001000000004
2014-01-29,36.709998999999996
2014-01-30,37.25
2014-01-31,37.009997999999996
2014-02-03,35.970001
2014-02-04,36.509997999999996
2014-02-05,35.959998999999996
2014-02-06,35.950001
2014-02-07,36.52
2014-02-10,36.900002
2014-02-11,37.189999
2014-02-12,36.740002000000004
2014-02-13,37.220001
2014-02-14,36.970001
2014-02-18,37.07
2014-02-19,36.560001
2014-02-20,37.529999
2014-02-21,37.32
2014-02-24,36.580002
2014-02-25,36.84
2014-02-26,37.130001
2014-02-27,36.93
2014-02-28,37.299999
2014-03-03,37.919998
2014-03-04,38.5
2014-03-05,37.549999
2014-03-06,37.57
2014-03-07,37.779999
2014-03-10,37.830002
2014-03-11,36.939999
2014-03-12,35.43
2014-03-13,34.650002
2014-03-14,35.049999
2014-03-17,36.34
2014-03-18,36.990002000000004
2014-03-19,36.509997999999996
2014-03-20,37.049999
2014-03-21,37.310001
2014-03-24,37.41
2014-03-25,36.68
2014-03-26,36.810001
2014-03-27,36.419998
2014-03-28,36.580002
2014-03-31,37.389998999999996
2014-04-01,36.310001
2014-04-02,36.349998
2014-04-03,35.619999
2014-04-04,34.970001
2014-04-07,35.43
2014-04-08,35.959998999999996
2014-04-09,39.029999
2014-04-10,38.77
2014-04-11,37.779999
2014-04-14,38.419998
2014-04-15,38.779999
2014-04-16,38.650002
2014-04-17,39.029999
2014-04-21,39.080002
2014-04-22,39.689999
2014-04-23,39.73
2014-04-24,39.240002000000004
2014-04-25,39.419998
2014-04-28,39.049999
2014-04-29,38.509997999999996
2014-04-30,39.0
2014-05-01,38.779999
2014-05-02,38.259997999999996
