Date,BIDU
2005-08-05,12.254
2005-08-08,11.55
2005-08-09,9.61
2005-08-10,9.175
2005-08-11,9.79
2005-08-12,9.5
2005-08-15,9.3
2005-08-16,9.151
2005-08-17,8.581
2005-08-18,8.248
2005-08-19,7.955
2005-08-22,7.269
2005-08-23,8.2
2005-08-24,7.78
2005-08-25,7.9
2005-08-26,7.888
2005-08-29,7.86
2005-08-30,8.1
2005-08-31,8.1
2005-09-01,7.892
2005-09-02,7.802
2005-09-06,7.78
2005-09-07,8.258
2005-09-08,8.354
2005-09-09,9.63
2005-09-12,11.225
2005-09-13,11.359
2005-09-14,8.132
2005-09-15,8.2
2005-09-16,7.835
2005-09-19,7.953
2005-09-20,8.05
2005-09-21,8.03
2005-09-22,7.919
2005-09-23,7.915
2005-09-26,7.728
2005-09-27,7.25
2005-09-28,6.571
2005-09-29,6.5
2005-09-30,6.402
2005-10-03,6.611
2005-10-04,7.039
2005-10-05,6.83
2005-10-06,6.826
2005-10-07,6.72
2005-10-10,6.545
2005-10-11,6.525
2005-10-12,6.36
2005-10-13,6.222
2005-10-14,6.727
2005-10-17,6.66
2005-10-18,6.737
2005-10-19,6.58
2005-10-20,6.6
2005-10-21,7.0
2005-10-24,8.099
2005-10-25,7.981
2005-10-26,8.105
2005-10-27,7.035
2005-10-28,6.809
2005-10-31,6.944
2005-11-01,6.87
2005-11-02,6.85
2005-11-03,6.825
2005-11-04,6.83
2005-11-07,7.26
2005-11-08,7.179
2005-11-09,6.999
2005-11-10,7.043
2005-11-11,7.005
2005-11-14,7.0
2005-11-15,6.882
2005-11-16,6.95
2005-11-17,7.318
2005-11-18,7.092
2005-11-21,7.16
2005-11-22,7.472
2005-11-23,8.049
2005-11-25,8.377
2005-11-28,7.846
2005-11-29,7.639
2005-11-30,7.798
2005-12-01,7.972
2005-12-02,7.89
2005-12-05,7.8
2005-12-06,7.818
2005-12-07,7.768
2005-12-08,7.722
2005-12-09,7.584
2005-12-12,7.587
2005-12-13,7.418
2005-12-14,6.94
2005-12-15,6.885
2005-12-16,6.571
2005-12-19,6.654
2005-12-20,6.506
2005-12-21,6.449
2005-12-22,6.472
2005-12-23,6.675
2005-12-27,6.54
2005-12-28,6.477
2005-12-29,6.365
2005-12-30,6.292
2006-01-03,6.35
2006-01-04,6.63
2006-01-05,6.62
2006-01-06,6.584
2006-01-09,6.613
2006-01-10,6.668
2006-01-11,6.535
2006-01-12,6.465
2006-01-13,6.553
2006-01-17,6.474
2006-01-18,6.25
2006-01-19,6.23
2006-01-20,6.086
2006-01-23,5.63
2006-01-24,5.642
2006-01-25,5.25
2006-01-26,5.186
2006-01-27,5.172
2006-01-30,5.251
2006-01-31,5.451
2006-02-01,5.101
2006-02-02,4.905
2006-02-03,4.612
2006-02-06,4.563
2006-02-07,4.515
2006-02-08,4.921
2006-02-09,4.932
2006-02-10,4.85
2006-02-13,4.916
2006-02-14,4.893
2006-02-15,4.925
2006-02-16,4.901
2006-02-17,5.006
2006-02-21,5.169
2006-02-22,5.473
2006-02-23,5.23
2006-02-24,5.286
2006-02-27,5.43
2006-02-28,5.142
2006-03-01,5.124
2006-03-02,5.26
2006-03-03,5.221
2006-03-06,5.376
2006-03-07,5.341
2006-03-08,5.149
2006-03-09,4.832
2006-03-10,4.91
2006-03-13,4.966
2006-03-14,4.87
2006-03-15,4.85
2006-03-16,4.832
2006-03-17,4.902
2006-03-20,5.078
2006-03-21,4.94
2006-03-22,5.1
2006-03-23,5.06
2006-03-24,5.02
2006-03-27,5.211
2006-03-28,5.11
2006-03-29,5.446
2006-03-30,5.8
2006-03-31,5.607
2006-04-03,5.49
2006-04-04,5.573
2006-04-05,5.55
2006-04-06,5.727
2006-04-07,5.74
2006-04-10,5.914
2006-04-11,5.558
2006-04-12,5.68
2006-04-13,5.746
2006-04-17,5.68
2006-04-18,5.755
2006-04-19,6.133
2006-04-20,6.06
2006-04-21,6.05
2006-04-24,6.005
2006-04-25,5.913
2006-04-26,5.815
2006-04-27,5.728
2006-04-28,5.796
2006-05-01,5.926
2006-05-02,5.894
2006-05-03,6.0
2006-05-04,6.33
2006-05-05,6.289
2006-05-08,6.367
2006-05-09,6.138
2006-05-10,8.398
2006-05-11,8.151
2006-05-12,7.851
2006-05-15,8.435
2006-05-16,8.267
2006-05-17,8.4
2006-05-18,7.804
2006-05-19,8.2
2006-05-22,7.884
2006-05-23,8.241
2006-05-24,8.398
2006-05-25,7.933
2006-05-26,7.945
2006-05-30,7.766
2006-05-31,7.782
2006-06-01,8.343
2006-06-02,8.283
2006-06-05,8.326
2006-06-06,8.985
2006-06-07,8.765
2006-06-08,8.627
2006-06-09,8.66
2006-06-12,8.419
2006-06-13,7.82
2006-06-14,7.94
2006-06-15,8.248
2006-06-16,8.27
2006-06-19,7.875
2006-06-20,7.915
2006-06-21,8.44
2006-06-22,8.02
2006-06-23,8.1
2006-06-26,8.188
2006-06-27,8.196
2006-06-28,8.005
2006-06-29,8.357
2006-06-30,8.253
2006-07-03,8.589
2006-07-05,8.399
2006-07-06,8.754
2006-07-07,8.718
2006-07-10,8.415
2006-07-11,8.608
2006-07-12,8.5
2006-07-13,8.341
2006-07-14,8.77
2006-07-17,9.304
2006-07-18,9.266
2006-07-19,9.162
2006-07-20,8.876
2006-07-21,8.865
2006-07-24,8.94
2006-07-25,8.976
2006-07-26,9.197
2006-07-27,7.278
2006-07-28,7.262
2006-07-31,7.17
2006-08-01,7.071
2006-08-02,6.87
2006-08-03,7.35
2006-08-04,7.474
