Date,IPMLF
2012-08-03,8.28
2012-08-06,8.28
2012-08-07,8.7
2012-08-08,8.726
2012-08-09,9.2284
2012-08-10,9.236
2012-08-13,9.236
2012-08-14,9.236
2012-08-15,9.236
2012-08-16,9.236
2012-08-17,8.99
2012-08-20,8.99
2012-08-21,9.4994
2012-08-22,10.06
2012-08-23,11.316
2012-08-24,11.5007
2012-08-27,11.5007
2012-08-28,11.25
2012-08-29,11.25
2012-08-30,11.067
2012-08-31,11.067
2012-09-04,11.8036
2012-09-05,11.8036
2012-09-06,11.8036
2012-09-07,12.0805
2012-09-10,12.0805
2012-09-11,12.0805
2012-09-12,12.0805
2012-09-13,12.273
2012-09-14,12.9025
2012-09-17,12.9025
2012-09-18,12.9025
2012-09-19,12.9025
2012-09-20,12.8
2012-09-21,13.59
2012-09-24,13.59
2012-09-25,13.59
2012-09-26,13.59
2012-09-27,12.734
2012-09-28,12.734
2012-10-01,12.734
2012-10-02,12.734
2012-10-03,12.734
2012-10-04,12.9322
2012-10-05,12.974
2012-10-08,12.974
2012-10-09,12.974
2012-10-10,12.095
2012-10-11,12.45
2012-10-12,12.45
2012-10-15,12.45
2012-10-16,12.25
2012-10-17,12.5
2012-10-18,12.5
2012-10-19,12.649
2012-10-22,12.649
2012-10-23,12.649
2012-10-24,12.2095
2012-10-25,12.6433
2012-10-26,12.74
2012-10-31,12.725
2012-11-01,13.24
2012-11-02,13.24
2012-11-05,13.24
2012-11-06,13.16
2012-11-07,13.04
2012-11-08,12.9945
2012-11-09,12.9945
2012-11-12,12.6835
2012-11-13,12.585
2012-11-14,12.29
2012-11-15,12.27
2012-11-16,12.27
2012-11-19,12.0345
2012-11-20,12.2
2012-11-21,12.46
2012-11-23,12.79
2012-11-26,12.91
2012-11-27,13.0077
2012-11-28,13.0077
2012-11-29,13.0077
2012-11-30,12.5397
2012-12-03,12.5397
2012-12-04,12.53
2012-12-05,12.7
2012-12-06,12.7
2012-12-07,12.43
2012-12-10,12.74
2012-12-11,12.74
2012-12-12,12.74
2012-12-13,12.5038
2012-12-14,12.6108
2012-12-17,12.6
2012-12-18,12.24
2012-12-19,12.36
2012-12-20,12.02
2012-12-21,11.8104
2012-12-24,11.94
2012-12-26,11.94
2012-12-27,11.97
2012-12-28,11.84
2012-12-31,12.04
2013-01-02,12.44
2013-01-03,12.84
2013-01-04,12.98
2013-01-07,13.65
2013-01-08,14.741
2013-01-09,14.92
2013-01-10,14.929
2013-01-11,14.929
2013-01-14,14.929
2013-01-15,14.78
2013-01-16,14.78
2013-01-17,14.78
2013-01-18,14.78
2013-01-22,13.59
2013-01-23,13.72
2013-01-24,13.79
2013-01-25,13.79
2013-01-28,13.41
